"LateScoringAverage_RANKTHISWEEK_2014","LateScoringAverage_RANKLASTWEEK_2014","LateScoringAverage_PLAYERNAME_2014","LateScoringAverage_ROUNDS_2014","LateScoringAverage_AVG_2014","LateScoringAverage_TOTALSTROKES_2014","LateScoringAverage_TOTALLATEROUNDS_2014","stat_name","year"
1,1,"Sergio Garcia",61,69.08,2487,36,"LateScoringAverage",2014
2,2,"Rory McIlroy",66,69.14,2973,43,"LateScoringAverage",2014
3,3,"Jerry Kelly",80,69.46,2431,35,"LateScoringAverage",2014
4,4,"Jim Furyk",84,69.6,3619,52,"LateScoringAverage",2014
5,5,"Ryan Palmer",85,69.63,3203,46,"LateScoringAverage",2014
6,6,"Zach Johnson",97,69.76,3558,51,"LateScoringAverage",2014
7,7,"Adam Scott",68,69.79,3280,47,"LateScoringAverage",2014
8,8,"Chad Campbell",57,69.88,1817,26,"LateScoringAverage",2014
8,8,"Bubba Watson",76,69.88,2935,42,"LateScoringAverage",2014
10,10,"Brian Harman",111,69.89,3704,53,"LateScoringAverage",2014
10,10,"Matt Kuchar",91,69.89,3984,57,"LateScoringAverage",2014
10,10,"Chris Stroud",88,69.89,3215,46,"LateScoringAverage",2014
13,13,"Carl Pettersson",91,69.95,3078,44,"LateScoringAverage",2014
14,14,"Kevin Na",94,70,3570,51,"LateScoringAverage",2014
15,15,"Tim Clark",75,70.03,2591,37,"LateScoringAverage",2014
15,15,"Charl Schwartzel",64,70.03,2451,35,"LateScoringAverage",2014
17,17,"Shawn Stefani",60,70.04,1751,25,"LateScoringAverage",2014
17,17,"Brendon Todd",108,70.04,3922,56,"LateScoringAverage",2014
19,19,"Bill Haas",107,70.09,3715,53,"LateScoringAverage",2014
20,20,"Graham DeLaet",80,70.14,3086,44,"LateScoringAverage",2014
20,20,"Marc Leishman",81,70.14,2946,42,"LateScoringAverage",2014
20,20,"David Toms",64,70.14,2034,29,"LateScoringAverage",2014
20,20,"Will Wilcox",51,70.14,1964,28,"LateScoringAverage",2014
24,24,"Charles Howell III",106,70.18,3579,51,"LateScoringAverage",2014
25,25,"Jason Day",54,70.23,2177,31,"LateScoringAverage",2014
26,26,"Robert Streb",75,70.26,2670,38,"LateScoringAverage",2014
27,27,"Jimmy Walker",98,70.27,3654,52,"LateScoringAverage",2014
28,28,"Rickie Fowler",91,70.33,2954,42,"LateScoringAverage",2014
28,28,"Dustin Johnson",58,70.33,2532,36,"LateScoringAverage",2014
30,30,"Charley Hoffman",93,70.36,3096,44,"LateScoringAverage",2014
31,31,"Brian Stuard",91,70.38,3167,45,"LateScoringAverage",2014
32,32,"Jason Kokrak",65,70.39,2675,38,"LateScoringAverage",2014
32,32,"John Senden",99,70.39,3590,51,"LateScoringAverage",2014
34,34,"Harris English",95,70.4,3168,45,"LateScoringAverage",2014
35,35,"Justin Hicks",103,70.41,3098,44,"LateScoringAverage",2014
36,36,"Webb Simpson",87,70.42,2676,38,"LateScoringAverage",2014
37,37,"Ricky Barnes",92,70.43,2817,40,"LateScoringAverage",2014
37,37,"Billy Horschel",92,70.43,3310,47,"LateScoringAverage",2014
39,39,"Freddie Jacobson",91,70.44,3170,45,"LateScoringAverage",2014
39,39,"Jordan Spieth",102,70.44,4156,59,"LateScoringAverage",2014
41,41,"Scott Brown",100,70.46,3382,48,"LateScoringAverage",2014
41,41,"Ryan Moore",86,70.46,3523,50,"LateScoringAverage",2014
43,43,"Graeme McDowell",66,70.47,2255,32,"LateScoringAverage",2014
43,43,"William McGirt",96,70.47,3312,47,"LateScoringAverage",2014
45,45,"Jim Herman",62,70.48,1903,27,"LateScoringAverage",2014
46,46,"Jason Bohn",81,70.49,2890,41,"LateScoringAverage",2014
46,46,"Jhonattan Vegas",77,70.49,2608,37,"LateScoringAverage",2014
48,48,"Andrew Svoboda",77,70.5,2679,38,"LateScoringAverage",2014
49,49,"Hideki Matsuyama",82,70.51,2891,41,"LateScoringAverage",2014
