"StrokesGainedPutting_RANKTHISWEEK_2015","StrokesGainedPutting_RANKLASTWEEK_2015","StrokesGainedPutting_PLAYERNAME_2015","StrokesGainedPutting_ROUNDS_2015","StrokesGainedPutting_AVERAGE_2015","StrokesGainedPutting_TOTALPUTTSGAINED_2015","StrokesGainedPutting_MEASUREDROUNDS_2015","stat_name","year"
1,1,"Aaron Baddeley",76,0.722,47.649,66,"StrokesGainedPutting",2015
2,2,"Jimmy Walker",89,0.692,44.265,64,"StrokesGainedPutting",2015
3,3,"Daniel Summerhays",101,0.644,57.333,89,"StrokesGainedPutting",2015
4,4,"Lee Westwood",56,0.595,19.046,32,"StrokesGainedPutting",2015
5,5,"Brandt Snedeker",98,0.588,44.074,75,"StrokesGainedPutting",2015
6,6,"Jason Day",75,0.586,33.407,57,"StrokesGainedPutting",2015
7,7,"Brendon Todd",96,0.582,44.219,76,"StrokesGainedPutting",2015
8,8,"Russell Henley",87,0.579,38.773,67,"StrokesGainedPutting",2015
9,9,"Jordan Spieth",91,0.571,37.665,66,"StrokesGainedPutting",2015
10,10,"Harris English",105,0.56,49.298,88,"StrokesGainedPutting",2015
11,11,"Greg Chalmers",58,0.529,19.028,36,"StrokesGainedPutting",2015
12,12,"Zac Blair",108,0.527,46.359,88,"StrokesGainedPutting",2015
13,13,"Andrew Putnam",68,0.525,28.357,54,"StrokesGainedPutting",2015
14,14,"Bryce Molder",91,0.508,39.105,77,"StrokesGainedPutting",2015
15,15,"Erik Compton",86,0.469,32.862,70,"StrokesGainedPutting",2015
16,16,"Henrik Stenson",63,0.436,19.205,44,"StrokesGainedPutting",2015
17,17,"Brooks Koepka",84,0.421,27.372,65,"StrokesGainedPutting",2015
18,18,"KJ Choi",66,0.415,23.677,57,"StrokesGainedPutting",2015
19,19,"Matt Jones",89,0.401,26.87,67,"StrokesGainedPutting",2015
20,20,"Patrick Reed",103,0.394,29.919,76,"StrokesGainedPutting",2015
21,21,"Hunter Mahan",88,0.39,25.348,65,"StrokesGainedPutting",2015
22,22,"Troy Merritt",91,0.384,31.459,82,"StrokesGainedPutting",2015
23,23,"Robert Streb",110,0.381,36.561,96,"StrokesGainedPutting",2015
24,24,"Danny Lee",120,0.374,37.446,100,"StrokesGainedPutting",2015
25,25,"Pat Perez",96,0.364,30.224,83,"StrokesGainedPutting",2015
26,26,"Hudson Swafford",97,0.36,29.896,83,"StrokesGainedPutting",2015
27,27,"David Hearn",97,0.358,30.442,85,"StrokesGainedPutting",2015
28,28,"Jamie Donaldson",50,0.349,11.182,32,"StrokesGainedPutting",2015
29,29,"Colt Knost",90,0.348,25.734,74,"StrokesGainedPutting",2015
30,30,"Steve Wheatcroft",87,0.345,24.849,72,"StrokesGainedPutting",2015
31,31,"Carl Pettersson",106,0.335,32.204,96,"StrokesGainedPutting",2015
32,32,"Will Wilcox",58,0.322,13.22,41,"StrokesGainedPutting",2015
33,33,"Matt Kuchar",97,0.316,24.322,77,"StrokesGainedPutting",2015
34,34,"Blayne Barber",76,0.313,19.696,63,"StrokesGainedPutting",2015
35,35,"Billy Hurley III",83,0.311,19.597,63,"StrokesGainedPutting",2015
36,36,"Rickie Fowler",76,0.309,17.616,57,"StrokesGainedPutting",2015
37,37,"Derek Fathauer",81,0.301,19.834,66,"StrokesGainedPutting",2015
38,38,"Scott Pinckney",88,0.294,21.766,74,"StrokesGainedPutting",2015
39,39,"Luke Donald",71,0.289,15.579,54,"StrokesGainedPutting",2015
40,40,"John Huh",102,0.279,24.869,89,"StrokesGainedPutting",2015
41,41,"Phil Mickelson",70,0.262,14.421,55,"StrokesGainedPutting",2015
42,42,"Sangmoon Bae",98,0.26,22.865,88,"StrokesGainedPutting",2015
43,43,"Jerry Kelly",79,0.25,16.49,66,"StrokesGainedPutting",2015
44,44,"Billy Horschel",99,0.244,17.841,73,"StrokesGainedPutting",2015
