"BestYTDStreakwoa3Putt_RANKTHISWEEK_2014","BestYTDStreakwoa3Putt_RANKLASTWEEK_2014","BestYTDStreakwoa3Putt_PLAYERNAME_2014","BestYTDStreakwoa3Putt_EVENTS_2014","BestYTDStreakwoa3Putt_BESTSTREAK_2014","BestYTDStreakwoa3Putt_CURRENTSTREAK_2014","stat_name","year"
1,1,"Brian Stuard",29,395,78,"BestYTDStreakwoa3Putt",2014
2,2,"Jason Bohn",25,338,10,"BestYTDStreakwoa3Putt",2014
3,3,"Graeme McDowell",17,303,303,"BestYTDStreakwoa3Putt",2014
4,4,"Bubba Watson",21,296,1,"BestYTDStreakwoa3Putt",2014
5,5,"Steve Stricker",11,288,288,"BestYTDStreakwoa3Putt",2014
6,6,"Freddie Jacobson",27,275,39,"BestYTDStreakwoa3Putt",2014
7,7,"Jimmy Walker",27,247,27,"BestYTDStreakwoa3Putt",2014
8,8,"Ben Martin",26,241,56,"BestYTDStreakwoa3Putt",2014
9,9,"Aaron Baddeley",24,235,26,"BestYTDStreakwoa3Putt",2014
10,10,"Chris Kirk",28,233,43,"BestYTDStreakwoa3Putt",2014
11,11,"Jim Herman",21,226,20,"BestYTDStreakwoa3Putt",2014
12,12,"Jim Furyk",21,223,NA,"BestYTDStreakwoa3Putt",2014
12,12,"Brian Harman",32,223,23,"BestYTDStreakwoa3Putt",2014
14,14,"David Toms",20,221,10,"BestYTDStreakwoa3Putt",2014
15,15,"Dustin Johnson",17,218,90,"BestYTDStreakwoa3Putt",2014
16,16,"Brendon de Jonge",31,214,22,"BestYTDStreakwoa3Putt",2014
17,17,"Rickie Fowler",26,209,5,"BestYTDStreakwoa3Putt",2014
17,17,"Justin Leonard",22,209,94,"BestYTDStreakwoa3Putt",2014
19,19,"Retief Goosen",26,207,25,"BestYTDStreakwoa3Putt",2014
20,20,"Richard Lee",27,204,11,"BestYTDStreakwoa3Putt",2014
21,21,"Jerry Kelly",23,201,87,"BestYTDStreakwoa3Putt",2014
22,22,"Ernie Els",24,198,26,"BestYTDStreakwoa3Putt",2014
22,22,"William McGirt",29,198,82,"BestYTDStreakwoa3Putt",2014
24,24,"Matt Bettencourt",14,194,11,"BestYTDStreakwoa3Putt",2014
24,24,"Scott Langley",29,194,4,"BestYTDStreakwoa3Putt",2014
26,26,"Dicky Pride",13,193,12,"BestYTDStreakwoa3Putt",2014
27,27,"Brandt Snedeker",25,192,1,"BestYTDStreakwoa3Putt",2014
28,28,"Jonas Blixt",21,190,97,"BestYTDStreakwoa3Putt",2014
28,28,"David Hearn",28,190,50,"BestYTDStreakwoa3Putt",2014
28,28,"Brendon Todd",29,190,34,"BestYTDStreakwoa3Putt",2014
31,31,"Matt Kuchar",24,189,37,"BestYTDStreakwoa3Putt",2014
32,32,"Charley Hoffman",25,188,9,"BestYTDStreakwoa3Putt",2014
32,32,"Sean OHair",25,188,17,"BestYTDStreakwoa3Putt",2014
34,34,"Jason Allred",9,186,43,"BestYTDStreakwoa3Putt",2014
34,34,"Bronson La Cassie",18,186,16,"BestYTDStreakwoa3Putt",2014
36,36,"David Duval",15,185,10,"BestYTDStreakwoa3Putt",2014
36,36,"Lee Westwood",18,185,27,"BestYTDStreakwoa3Putt",2014
38,38,"Bill Haas",28,184,54,"BestYTDStreakwoa3Putt",2014
39,39,"Erik Compton",28,179,16,"BestYTDStreakwoa3Putt",2014
39,39,"Russell Henley",29,179,28,"BestYTDStreakwoa3Putt",2014
41,41,"Jason Day",15,178,70,"BestYTDStreakwoa3Putt",2014
41,41,"Tim Wilkinson",25,178,63,"BestYTDStreakwoa3Putt",2014
43,43,"Justin Rose",19,177,35,"BestYTDStreakwoa3Putt",2014
44,44,"Billy Horschel",27,175,175,"BestYTDStreakwoa3Putt",2014
45,45,"Scott Hend",3,173,28,"BestYTDStreakwoa3Putt",2014
46,46,"Jamie Donaldson",12,172,172,"BestYTDStreakwoa3Putt",2014
46,46,"Justin Hicks",30,172,13,"BestYTDStreakwoa3Putt",2014
46,46,"Kevin Kisner",26,172,57,"BestYTDStreakwoa3Putt",2014
49,49,"Stuart Appleby",29,170,21,"BestYTDStreakwoa3Putt",2014
50,50,"Paul Casey",16,169,169,"BestYTDStreakwoa3Putt",2014
50,50,"Greg Chalmers",27,169,126,"BestYTDStreakwoa3Putt",2014
50,50,"Tyrone Van Aswegen",25,169,7,"BestYTDStreakwoa3Putt",2014
