"Percentageofpotentialmoneywon_RANKTHISWEEK_2007","Percentageofpotentialmoneywon_RANKLASTWEEK_2007","Percentageofpotentialmoneywon_PLAYERNAME_2007","Percentageofpotentialmoneywon_EVENTS_2007","Percentageofpotentialmoneywon_Pct_2007","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2007","Percentageofpotentialmoneywon_POTENTIALMONEY_2007","stat_name","year"
1,1,"Tiger Woods",16,54.23,10867052,20037450,"Percentageofpotentialmoneywon",2007
2,2,"Phil Mickelson",22,22.4,5819988,25977450,"Percentageofpotentialmoneywon",2007
3,3,"Andres Romero",3,19.23,798414,4152450,"Percentageofpotentialmoneywon",2007
4,4,"Simon Dyson",1,18.06,227500,1260000,"Percentageofpotentialmoneywon",2007
5,5,"Steve Stricker",23,17,4663076,27435450,"Percentageofpotentialmoneywon",2007
6,6,"Rory Sabbatini",23,16.63,4550040,27365450,"Percentageofpotentialmoneywon",2007
7,7,"Sergio Garcia",19,15.91,3721184,23385450,"Percentageofpotentialmoneywon",2007
8,8,"KJ Choi",25,15.52,4587858,29561450,"Percentageofpotentialmoneywon",2007
9,9,"Jim Furyk",23,15.5,4154046,26807450,"Percentageofpotentialmoneywon",2007
10,10,"Vijay Singh",27,15.02,4728376,31487450,"Percentageofpotentialmoneywon",2007
11,11,"Zach Johnson",23,14.55,3922337,26949450,"Percentageofpotentialmoneywon",2007
12,12,"Adam Scott",19,14.54,3413184,23477450,"Percentageofpotentialmoneywon",2007
13,13,"Justin Rose",16,14.15,2705874,19119450,"Percentageofpotentialmoneywon",2007
14,14,"Ernie Els",16,13.58,2705715,19929450,"Percentageofpotentialmoneywon",2007
15,15,"Aaron Baddeley",23,12.62,3441118,27275450,"Percentageofpotentialmoneywon",2007
16,16,"Padraig Harrington",18,12.07,2658282,22017450,"Percentageofpotentialmoneywon",2007
17,17,"Tim Clark",19,12.03,2615151,21735000,"Percentageofpotentialmoneywon",2007
18,18,"Scott Verplank",23,11.89,3114288,26193450,"Percentageofpotentialmoneywon",2007
19,19,"Geoff Ogilvy",22,11.12,2943203,26465450,"Percentageofpotentialmoneywon",2007
20,20,"Henrik Stenson",15,9.99,1897554,18993450,"Percentageofpotentialmoneywon",2007
21,21,"Mark Calcavecchia",28,9.86,2993331,30351450,"Percentageofpotentialmoneywon",2007
22,22,"Woody Austin",27,9.84,2887596,29358000,"Percentageofpotentialmoneywon",2007
23,23,"Angel Cabrera",14,9.72,1661105,17085450,"Percentageofpotentialmoneywon",2007
24,24,"Charles Howell III",26,9.5,2832090,29811450,"Percentageofpotentialmoneywon",2007
25,25,"Hunter Mahan",27,9.44,2858994,30270450,"Percentageofpotentialmoneywon",2007
26,26,"Brandt Snedeker",29,9.25,2836643,30654000,"Percentageofpotentialmoneywon",2007
27,27,"Luke Donald",20,9.08,2190053,24107450,"Percentageofpotentialmoneywon",2007
28,28,"Richard Green",5,8.74,544070,6222450,"Percentageofpotentialmoneywon",2007
29,29,"Stewart Cink",25,8.56,2483145,29001450,"Percentageofpotentialmoneywon",2007
30,30,"Boo Weekley",29,8.32,2613211,31422450,"Percentageofpotentialmoneywon",2007
31,31,"David Toms",22,8.01,2095836,26159450,"Percentageofpotentialmoneywon",2007
32,32,"Stephen Ames",23,8,2103425,26303450,"Percentageofpotentialmoneywon",2007
