"3PuttAvoidance2025_RANKTHISWEEK_2007","3PuttAvoidance2025_RANKLASTWEEK_2007","3PuttAvoidance2025_PLAYERNAME_2007","3PuttAvoidance2025_ROUNDS_2007","3PuttAvoidance2025_Pct_2007","3PuttAvoidance2025_TOTAL3PUTTS_2007","3PuttAvoidance2025_ATTEMPTS_2007","3PuttAvoidance2025_2PUTTORBETTERPct_2007","stat_name","year"
1,1,"Freddie Jacobson",70,0,NA,96,100,"3PuttAvoidance2025",2007
1,1,"Lee Janzen",66,0,NA,66,100,"3PuttAvoidance2025",2007
1,1,"Zach Johnson",76,0,NA,81,100,"3PuttAvoidance2025",2007
1,1,"Craig Lile",77,0,NA,105,100,"3PuttAvoidance2025",2007
1,1,"Davis Love III",66,0,NA,90,100,"3PuttAvoidance2025",2007
1,1,"Bryce Molder",56,0,NA,79,100,"3PuttAvoidance2025",2007
1,1,"Dicky Pride",71,0,NA,96,100,"3PuttAvoidance2025",2007
1,1,"Chris Riley",59,0,NA,65,100,"3PuttAvoidance2025",2007
1,1,"Rory Sabbatini",81,0,NA,86,100,"3PuttAvoidance2025",2007
1,1,"Henrik Stenson",52,0,NA,60,100,"3PuttAvoidance2025",2007
1,1,"Kevin Sutherland",85,0,NA,83,100,"3PuttAvoidance2025",2007
1,1,"Tiger Woods",63,0,NA,61,100,"3PuttAvoidance2025",2007
13,13,"Cliff Kresge",107,0.67,1,149,99.3,"3PuttAvoidance2025",2007
14,14,"Craig Kanada",109,0.74,1,135,99.2,"3PuttAvoidance2025",2007
15,15,"Jesper Parnevik",88,0.76,1,132,99.2,"3PuttAvoidance2025",2007
16,16,"Tim Herron",98,0.79,1,127,99.2,"3PuttAvoidance2025",2007
17,17,"Sean OHair",98,0.84,1,119,99.1,"3PuttAvoidance2025",2007
18,18,"Ryuji Imada",104,0.85,1,117,99.1,"3PuttAvoidance2025",2007
19,19,"Bob Estes",88,0.88,1,113,99.1,"3PuttAvoidance2025",2007
20,20,"Vijay Singh",102,0.91,1,110,99,"3PuttAvoidance2025",2007
21,21,"Brendon de Jonge",76,0.95,1,105,99,"3PuttAvoidance2025",2007
22,22,"Rich Beem",89,1,1,100,99,"3PuttAvoidance2025",2007
23,23,"Daisuke Maruyama",86,1.04,1,96,98.9,"3PuttAvoidance2025",2007
23,23,"Steve Stricker",81,1.04,1,96,98.9,"3PuttAvoidance2025",2007
25,25,"Charles Howell III",89,1.05,1,95,98.9,"3PuttAvoidance2025",2007
25,25,"Kevin Na",84,1.05,1,95,98.9,"3PuttAvoidance2025",2007
27,27,"Tom Johnson",74,1.08,1,93,98.9,"3PuttAvoidance2025",2007
28,28,"Brett Quigley",79,1.09,1,92,98.9,"3PuttAvoidance2025",2007
29,29,"Scott Gutschewski",67,1.1,1,91,98.9,"3PuttAvoidance2025",2007
30,30,"Aaron Baddeley",83,1.12,1,89,98.8,"3PuttAvoidance2025",2007
30,30,"Jarrod Lyle",77,1.12,1,89,98.8,"3PuttAvoidance2025",2007
