"OnePuttPercentage_RANKTHISWEEK_2014","OnePuttPercentage_RANKLASTWEEK_2014","OnePuttPercentage_PLAYERNAME_2014","OnePuttPercentage_ROUNDS_2014","OnePuttPercentage_Pct_2014","OnePuttPercentage_OF1PUTTS_2014","OnePuttPercentage_OFHOLES_2014","stat_name","year"
1,1,"Jordan Spieth",102,45.86,809,1764,"OnePuttPercentage",2014
2,2,"Justin Leonard",75,44.22,597,1350,"OnePuttPercentage",2014
3,3,"Aaron Baddeley",74,44.14,572,1296,"OnePuttPercentage",2014
4,4,"Brian Gay",81,44.09,627,1422,"OnePuttPercentage",2014
5,5,"Ian Poulter",57,43.06,434,1008,"OnePuttPercentage",2014
6,6,"Greg Chalmers",85,43,627,1458,"OnePuttPercentage",2014
7,7,"Mike Weir",69,42.99,503,1170,"OnePuttPercentage",2014
8,8,"JB Holmes",86,42.96,665,1548,"OnePuttPercentage",2014
9,9,"Richard Lee",80,42.74,600,1404,"OnePuttPercentage",2014
10,10,"Phil Mickelson",71,42.64,545,1278,"OnePuttPercentage",2014
11,11,"Luke Guthrie",85,42.35,648,1530,"OnePuttPercentage",2014
12,12,"Rickie Fowler",91,42.22,646,1530,"OnePuttPercentage",2014
13,13,"Charl Schwartzel",64,42.2,471,1116,"OnePuttPercentage",2014
14,14,"Brendon Todd",108,42.08,818,1944,"OnePuttPercentage",2014
15,15,"Chris Kirk",105,42.04,787,1872,"OnePuttPercentage",2014
16,16,"Luke Donald",57,41.87,422,1008,"OnePuttPercentage",2014
17,17,"Chris Stroud",88,41.79,662,1584,"OnePuttPercentage",2014
18,18,"Freddie Jacobson",91,41.76,684,1638,"OnePuttPercentage",2014
19,19,"Rory McIlroy",66,41.75,481,1152,"OnePuttPercentage",2014
20,20,"Morgan Hoffmann",103,41.69,743,1782,"OnePuttPercentage",2014
21,21,"Tim Wilkinson",86,41.67,615,1476,"OnePuttPercentage",2014
22,22,"Wes Roach",67,41.62,472,1134,"OnePuttPercentage",2014
23,23,"Stuart Appleby",92,41.6,674,1620,"OnePuttPercentage",2014
24,24,"Kevin Na",94,41.55,703,1692,"OnePuttPercentage",2014
