"ScramblingfromtheFringe_RANKTHISWEEK_2012","ScramblingfromtheFringe_RANKLASTWEEK_2012","ScramblingfromtheFringe_PLAYERNAME_2012","ScramblingfromtheFringe_ROUNDS_2012","ScramblingfromtheFringe_Pct_2012","ScramblingfromtheFringe_SUCCESSES_2012","ScramblingfromtheFringe_ATTEMPTS_2012","stat_name","year"
1,1,"Luke Donald",63,100,33,33,"ScramblingfromtheFringe",2012
2,2,"Kevin Streelman",89,98.57,69,70,"ScramblingfromtheFringe",2012
3,3,"Steve Stricker",73,96.97,32,33,"ScramblingfromtheFringe",2012
4,4,"Aaron Baddeley",73,96.23,51,53,"ScramblingfromtheFringe",2012
5,5,"Chris Stroud",86,96.2,76,79,"ScramblingfromtheFringe",2012
6,6,"Brian Gay",91,96.1,74,77,"ScramblingfromtheFringe",2012
7,7,"Ben Curtis",62,95.24,40,42,"ScramblingfromtheFringe",2012
7,7,"Bo Van Pelt",84,95.24,40,42,"ScramblingfromtheFringe",2012
7,7,"Tiger Woods",69,95.24,40,42,"ScramblingfromtheFringe",2012
10,10,"Stephen Ames",54,95.12,39,41,"ScramblingfromtheFringe",2012
10,10,"Sangmoon Bae",81,95.12,39,41,"ScramblingfromtheFringe",2012
10,10,"Justin Leonard",79,95.12,78,82,"ScramblingfromtheFringe",2012
13,13,"Rod Pampling",88,95,38,40,"ScramblingfromtheFringe",2012
14,14,"Louis Oosthuizen",65,94.87,37,39,"ScramblingfromtheFringe",2012
15,15,"Harrison Frazar",56,94.83,55,58,"ScramblingfromtheFringe",2012
16,16,"Dustin Johnson",70,94.59,35,37,"ScramblingfromtheFringe",2012
17,17,"Bob Estes",78,94.55,52,55,"ScramblingfromtheFringe",2012
18,18,"Jim Furyk",85,94.44,51,54,"ScramblingfromtheFringe",2012
19,19,"Brendon de Jonge",115,94.19,81,86,"ScramblingfromtheFringe",2012
20,20,"Scott Piercy",95,94.03,63,67,"ScramblingfromtheFringe",2012
21,21,"Zach Johnson",95,93.55,58,62,"ScramblingfromtheFringe",2012
22,22,"Jonathan Byrd",69,93.33,42,45,"ScramblingfromtheFringe",2012
22,22,"Brandt Snedeker",81,93.33,42,45,"ScramblingfromtheFringe",2012
24,24,"Geoff Ogilvy",73,93.18,41,44,"ScramblingfromtheFringe",2012
25,25,"Webb Simpson",77,93.1,54,58,"ScramblingfromtheFringe",2012
26,26,"Ryan Moore",89,92.86,52,56,"ScramblingfromtheFringe",2012
26,26,"Adam Scott",59,92.86,26,28,"ScramblingfromtheFringe",2012
28,28,"David Hearn",95,92.77,77,83,"ScramblingfromtheFringe",2012
29,29,"Nathan Green",73,92.59,50,54,"ScramblingfromtheFringe",2012
30,30,"Ryuji Imada",78,92.45,49,53,"ScramblingfromtheFringe",2012
30,30,"John Mallinger",74,92.45,49,53,"ScramblingfromtheFringe",2012
32,32,"Bryce Molder",83,92.42,61,66,"ScramblingfromtheFringe",2012
33,33,"John Daly",50,92.31,36,39,"ScramblingfromtheFringe",2012
33,33,"Sergio Garcia",57,92.31,24,26,"ScramblingfromtheFringe",2012
33,33,"Charl Schwartzel",56,92.31,36,39,"ScramblingfromtheFringe",2012
36,36,"John Rollins",81,92.16,47,51,"ScramblingfromtheFringe",2012
36,36,"Scott Stallings",78,92.16,47,51,"ScramblingfromtheFringe",2012
38,38,"Freddie Jacobson",61,92.11,35,38,"ScramblingfromtheFringe",2012
39,39,"Kyle Stanley",86,92.06,58,63,"ScramblingfromtheFringe",2012
39,39,"Michael Thompson",80,92.06,58,63,"ScramblingfromtheFringe",2012
41,41,"Keegan Bradley",90,92,46,50,"ScramblingfromtheFringe",2012
42,42,"Scott Dunlap",57,91.84,45,49,"ScramblingfromtheFringe",2012
43,43,"Tom Gillis",75,91.8,56,61,"ScramblingfromtheFringe",2012
44,44,"Johnson Wagner",88,91.67,55,60,"ScramblingfromtheFringe",2012
45,45,"Hunter Mahan",88,91.3,42,46,"ScramblingfromtheFringe",2012
