"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2013","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2013","FirstTeeEarlyScoringAverage_PLAYERNAME_2013","FirstTeeEarlyScoringAverage_ROUNDS_2013","FirstTeeEarlyScoringAverage_AVG_2013","FirstTeeEarlyScoringAverage_TOTALSTROKES_2013","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2013","stat_name","year"
1,1,"DH Lee",65,69.09,1520,22,"FirstTeeEarlyScoringAverage",2013
2,2,"Daniel Summerhays",83,69.27,1524,22,"FirstTeeEarlyScoringAverage",2013
3,3,"Robert Streb",75,69.64,1741,25,"FirstTeeEarlyScoringAverage",2013
4,4,"Steve Stricker",51,69.67,209,3,"FirstTeeEarlyScoringAverage",2013
5,5,"Camilo Villegas",79,69.68,1533,22,"FirstTeeEarlyScoringAverage",2013
6,6,"Brandt Snedeker",79,69.71,1185,17,"FirstTeeEarlyScoringAverage",2013
7,7,"Jason Kokrak",78,69.73,1046,15,"FirstTeeEarlyScoringAverage",2013
8,8,"Cameron Tringale",80,69.76,2023,29,"FirstTeeEarlyScoringAverage",2013
9,9,"Webb Simpson",92,69.85,1397,20,"FirstTeeEarlyScoringAverage",2013
10,10,"Jason Day",86,69.86,1537,22,"FirstTeeEarlyScoringAverage",2013
11,11,"Jerry Kelly",75,69.88,1817,26,"FirstTeeEarlyScoringAverage",2013
12,12,"Morgan Hoffmann",64,69.9,1468,21,"FirstTeeEarlyScoringAverage",2013
13,13,"Sergio Garcia",65,69.92,909,13,"FirstTeeEarlyScoringAverage",2013
14,14,"Matt Every",89,69.94,1259,18,"FirstTeeEarlyScoringAverage",2013
15,15,"Brendon de Jonge",110,69.95,2588,37,"FirstTeeEarlyScoringAverage",2013
16,16,"Jimmy Walker",84,69.96,1959,28,"FirstTeeEarlyScoringAverage",2013
17,17,"Matt Jones",83,70,1890,27,"FirstTeeEarlyScoringAverage",2013
17,17,"Matt Kuchar",93,70,1260,18,"FirstTeeEarlyScoringAverage",2013
19,19,"Nick Watney",88,70.07,1892,27,"FirstTeeEarlyScoringAverage",2013
19,19,"Bubba Watson",76,70.07,981,14,"FirstTeeEarlyScoringAverage",2013
21,21,"Billy Horschel",96,70.1,1472,21,"FirstTeeEarlyScoringAverage",2013
22,22,"Erik Compton",74,70.11,1332,19,"FirstTeeEarlyScoringAverage",2013
22,22,"Charl Schwartzel",69,70.11,1262,18,"FirstTeeEarlyScoringAverage",2013
24,24,"Jordan Spieth",82,70.17,1263,18,"FirstTeeEarlyScoringAverage",2013
25,25,"John Merrick",79,70.19,2246,32,"FirstTeeEarlyScoringAverage",2013
25,25,"Ryan Palmer",79,70.19,1825,26,"FirstTeeEarlyScoringAverage",2013
27,27,"Bryce Molder",82,70.22,2247,32,"FirstTeeEarlyScoringAverage",2013
28,28,"Brandt Jobe",62,70.26,1335,19,"FirstTeeEarlyScoringAverage",2013
28,28,"Zach Johnson",84,70.26,1335,19,"FirstTeeEarlyScoringAverage",2013
30,30,"Luke Donald",60,70.27,1054,15,"FirstTeeEarlyScoringAverage",2013
30,30,"Andres Romero",63,70.27,1054,15,"FirstTeeEarlyScoringAverage",2013
32,32,"Ricky Barnes",74,70.29,1687,24,"FirstTeeEarlyScoringAverage",2013
32,32,"Kevin Stadler",83,70.29,2390,34,"FirstTeeEarlyScoringAverage",2013
34,34,"Chris Kirk",89,70.35,2392,34,"FirstTeeEarlyScoringAverage",2013
35,35,"Charlie Wi",75,70.37,1337,19,"FirstTeeEarlyScoringAverage",2013
36,36,"Jason Dufner",78,70.42,1831,26,"FirstTeeEarlyScoringAverage",2013
36,36,"Aaron Watkins",46,70.42,845,12,"FirstTeeEarlyScoringAverage",2013
38,38,"Roberto Castro",97,70.44,2254,32,"FirstTeeEarlyScoringAverage",2013
38,38,"Jim Furyk",80,70.44,1268,18,"FirstTeeEarlyScoringAverage",2013
38,38,"Charles Howell III",87,70.44,1761,25,"FirstTeeEarlyScoringAverage",2013
38,38,"Adam Scott",61,70.44,634,9,"FirstTeeEarlyScoringAverage",2013
42,42,"Brian Davis",91,70.45,2184,31,"FirstTeeEarlyScoringAverage",2013
43,43,"Ryan Moore",72,70.46,1832,26,"FirstTeeEarlyScoringAverage",2013
44,44,"DJ Trahan",48,70.5,705,10,"FirstTeeEarlyScoringAverage",2013
45,45,"Gary Woodland",94,70.55,2187,31,"FirstTeeEarlyScoringAverage",2013
46,46,"YE Yang",56,70.61,1271,18,"FirstTeeEarlyScoringAverage",2013
47,47,"Rory Sabbatini",86,70.62,1836,26,"FirstTeeEarlyScoringAverage",2013
48,48,"Bob Estes",66,70.64,1554,22,"FirstTeeEarlyScoringAverage",2013
49,49,"Jin Park",52,70.65,1201,17,"FirstTeeEarlyScoringAverage",2013
50,50,"Dicky Pride",71,70.67,1484,21,"FirstTeeEarlyScoringAverage",2013
50,50,"Andrew Svoboda",46,70.67,1060,15,"FirstTeeEarlyScoringAverage",2013
52,52,"Tiger Woods",61,70.7,707,10,"FirstTeeEarlyScoringAverage",2013
53,53,"Harris English",95,70.72,1768,25,"FirstTeeEarlyScoringAverage",2013
54,54,"Keegan Bradley",88,70.73,1061,15,"FirstTeeEarlyScoringAverage",2013
55,55,"Bill Haas",85,70.74,1344,19,"FirstTeeEarlyScoringAverage",2013
56,56,"Stephen Ames",49,70.75,1132,16,"FirstTeeEarlyScoringAverage",2013
56,56,"Justin Rose",62,70.75,283,4,"FirstTeeEarlyScoringAverage",2013
58,58,"Stuart Appleby",88,70.76,1203,17,"FirstTeeEarlyScoringAverage",2013
58,58,"Robert Karlsson",56,70.76,1203,17,"FirstTeeEarlyScoringAverage",2013
60,60,"Ken Duke",87,70.77,2477,35,"FirstTeeEarlyScoringAverage",2013
61,61,"Vaughn Taylor",50,70.8,1062,15,"FirstTeeEarlyScoringAverage",2013
62,62,"Graham DeLaet",94,70.83,2054,29,"FirstTeeEarlyScoringAverage",2013
62,62,"David Mathis",71,70.83,1275,18,"FirstTeeEarlyScoringAverage",2013
62,62,"Henrik Norlander",70,70.83,1629,23,"FirstTeeEarlyScoringAverage",2013
65,65,"Angel Cabrera",73,70.86,1559,22,"FirstTeeEarlyScoringAverage",2013
65,65,"Ben Kohles",75,70.86,1559,22,"FirstTeeEarlyScoringAverage",2013
65,65,"Marc Leishman",77,70.86,1488,21,"FirstTeeEarlyScoringAverage",2013
68,68,"Jim Herman",59,70.87,1063,15,"FirstTeeEarlyScoringAverage",2013
69,69,"Rickie Fowler",75,70.88,1134,16,"FirstTeeEarlyScoringAverage",2013
69,69,"Dustin Johnson",71,70.88,1205,17,"FirstTeeEarlyScoringAverage",2013
69,69,"Henrik Stenson",65,70.88,1205,17,"FirstTeeEarlyScoringAverage",2013
69,69,"Darron Stiles",51,70.88,1205,17,"FirstTeeEarlyScoringAverage",2013
73,73,"Jeff Maggert",63,70.89,1347,19,"FirstTeeEarlyScoringAverage",2013
73,73,"Ted Potter Jr",65,70.89,1276,18,"FirstTeeEarlyScoringAverage",2013
75,75,"Cameron Percy",68,70.9,2056,29,"FirstTeeEarlyScoringAverage",2013
76,76,"Aaron Baddeley",68,70.91,1560,22,"FirstTeeEarlyScoringAverage",2013
76,76,"Patrick Reed",83,70.91,1631,23,"FirstTeeEarlyScoringAverage",2013
78,78,"Brian Harman",89,70.92,1773,25,"FirstTeeEarlyScoringAverage",2013
78,78,"Ian Poulter",59,70.92,851,12,"FirstTeeEarlyScoringAverage",2013
78,78,"Chez Reavie",72,70.92,1844,26,"FirstTeeEarlyScoringAverage",2013
81,81,"Chad Campbell",78,70.93,1915,27,"FirstTeeEarlyScoringAverage",2013
81,81,"John Senden",79,70.93,2057,29,"FirstTeeEarlyScoringAverage",2013
83,83,"James Driscoll",76,70.94,1206,17,"FirstTeeEarlyScoringAverage",2013
83,83,"David Hearn",88,70.94,2341,33,"FirstTeeEarlyScoringAverage",2013
85,85,"Jonas Blixt",76,70.96,1703,24,"FirstTeeEarlyScoringAverage",2013
85,85,"Freddie Jacobson",63,70.96,1845,26,"FirstTeeEarlyScoringAverage",2013
87,87,"Justin Leonard",86,70.97,2129,30,"FirstTeeEarlyScoringAverage",2013
88,88,"Jason Bohn",70,71,1704,24,"FirstTeeEarlyScoringAverage",2013
88,88,"Tom Gillis",69,71,1207,17,"FirstTeeEarlyScoringAverage",2013
88,88,"Charley Hoffman",84,71,1420,20,"FirstTeeEarlyScoringAverage",2013
88,88,"Brian Stuard",78,71,1136,16,"FirstTeeEarlyScoringAverage",2013
92,92,"JJ Henry",83,71.04,1847,26,"FirstTeeEarlyScoringAverage",2013
92,92,"Ryo Ishikawa",72,71.04,1634,23,"FirstTeeEarlyScoringAverage",2013
94,94,"James Hahn",78,71.05,1350,19,"FirstTeeEarlyScoringAverage",2013
94,94,"Boo Weekley",100,71.05,2700,38,"FirstTeeEarlyScoringAverage",2013
96,96,"Tim Herron",45,71.07,1066,15,"FirstTeeEarlyScoringAverage",2013
97,97,"Hunter Mahan",91,71.09,1564,22,"FirstTeeEarlyScoringAverage",2013
98,98,"Fabian Gomez",65,71.13,1138,16,"FirstTeeEarlyScoringAverage",2013
99,99,"Robert Allenby",58,71.15,1423,20,"FirstTeeEarlyScoringAverage",2013
100,100,"Pat Perez",69,71.16,1352,19,"FirstTeeEarlyScoringAverage",2013
101,101,"Rory McIlroy",56,71.18,783,11,"FirstTeeEarlyScoringAverage",2013
102,102,"Lee Westwood",70,71.2,1424,20,"FirstTeeEarlyScoringAverage",2013
103,103,"Martin Flores",83,71.21,2065,29,"FirstTeeEarlyScoringAverage",2013
103,103,"Greg Owen",73,71.21,1709,24,"FirstTeeEarlyScoringAverage",2013
105,105,"Kevin Chappell",80,71.23,2137,30,"FirstTeeEarlyScoringAverage",2013
105,105,"KJ Choi",85,71.23,2493,35,"FirstTeeEarlyScoringAverage",2013
107,107,"Troy Matteson",68,71.25,1425,20,"FirstTeeEarlyScoringAverage",2013
108,108,"Tim Clark",64,71.26,1354,19,"FirstTeeEarlyScoringAverage",2013
108,108,"Brad Fritsch",81,71.26,1639,23,"FirstTeeEarlyScoringAverage",2013
108,108,"Doug LaBelle II",72,71.26,1639,23,"FirstTeeEarlyScoringAverage",2013
111,111,"Russell Henley",80,71.28,2067,29,"FirstTeeEarlyScoringAverage",2013
112,112,"Vijay Singh",61,71.29,1497,21,"FirstTeeEarlyScoringAverage",2013
113,113,"David Lingmerth",68,71.3,1640,23,"FirstTeeEarlyScoringAverage",2013
114,114,"Luke List",65,71.32,1355,19,"FirstTeeEarlyScoringAverage",2013
115,115,"Steve LeBrun",66,71.33,1498,21,"FirstTeeEarlyScoringAverage",2013
115,115,"William McGirt",75,71.33,2354,33,"FirstTeeEarlyScoringAverage",2013
117,117,"Phil Mickelson",78,71.36,999,14,"FirstTeeEarlyScoringAverage",2013
118,118,"Lee Williams",62,71.37,1356,19,"FirstTeeEarlyScoringAverage",2013
119,119,"Alistair Presnell",59,71.44,1143,16,"FirstTeeEarlyScoringAverage",2013
119,119,"Tag Ridings",69,71.44,1286,18,"FirstTeeEarlyScoringAverage",2013
121,121,"Stewart Cink",71,71.5,1859,26,"FirstTeeEarlyScoringAverage",2013
121,121,"Brendan Steele",86,71.5,2288,32,"FirstTeeEarlyScoringAverage",2013
123,123,"Martin Laird",68,71.52,1788,25,"FirstTeeEarlyScoringAverage",2013
123,123,"Jeff Overton",78,71.52,1645,23,"FirstTeeEarlyScoringAverage",2013
125,125,"Ernie Els",63,71.53,1359,19,"FirstTeeEarlyScoringAverage",2013
126,126,"Scott Brown",65,71.54,2003,28,"FirstTeeEarlyScoringAverage",2013
127,127,"Will Claxton",67,71.55,1431,20,"FirstTeeEarlyScoringAverage",2013
128,128,"Sangmoon Bae",83,71.56,1789,25,"FirstTeeEarlyScoringAverage",2013
128,128,"Scott Piercy",78,71.56,1932,27,"FirstTeeEarlyScoringAverage",2013
128,128,"Kevin Streelman",86,71.56,1789,25,"FirstTeeEarlyScoringAverage",2013
131,131,"Peter Hanson",45,71.57,1002,14,"FirstTeeEarlyScoringAverage",2013
131,131,"David Lynn",70,71.57,1646,23,"FirstTeeEarlyScoringAverage",2013
133,133,"George McNeill",68,71.58,1360,19,"FirstTeeEarlyScoringAverage",2013
134,134,"Luke Guthrie",82,71.59,1217,17,"FirstTeeEarlyScoringAverage",2013
135,135,"Ben Crane",62,71.61,1289,18,"FirstTeeEarlyScoringAverage",2013
136,136,"Justin Hicks",79,71.64,1576,22,"FirstTeeEarlyScoringAverage",2013
137,137,"John Huh",88,71.65,2221,31,"FirstTeeEarlyScoringAverage",2013
137,137,"Nicholas Thompson",99,71.65,2436,34,"FirstTeeEarlyScoringAverage",2013
139,139,"Chris Stroud",88,71.67,2150,30,"FirstTeeEarlyScoringAverage",2013
139,139,"Johnson Wagner",64,71.67,1290,18,"FirstTeeEarlyScoringAverage",2013
