"3PuttAvoidanceRound2_RANKTHISWEEK_2008","3PuttAvoidanceRound2_RANKLASTWEEK_2008","3PuttAvoidanceRound2_PLAYERNAME_2008","3PuttAvoidanceRound2__2008","3PuttAvoidanceRound2_Pct_2008","3PuttAvoidanceRound2_TOTAL3PUTTS_2008","3PuttAvoidanceRound2_TOTALHOLES_2008","stat_name","year"
63,63,"Brad Adamonis",NA,2.78,14,504,"3PuttAvoidanceRound2",2008
63,63,"Jason Gore",NA,2.78,15,540,"3PuttAvoidanceRound2",2008
63,63,"JP Hayes",NA,2.78,13,468,"3PuttAvoidanceRound2",2008
63,63,"Mark Hensby",NA,2.78,12,432,"3PuttAvoidanceRound2",2008
63,63,"Tim Herron",NA,2.78,14,504,"3PuttAvoidanceRound2",2008
63,63,"Ryan Palmer",NA,2.78,11,396,"3PuttAvoidanceRound2",2008
63,63,"Pat Perez",NA,2.78,13,468,"3PuttAvoidanceRound2",2008
63,63,"Vijay Singh",NA,2.78,11,396,"3PuttAvoidanceRound2",2008
63,63,"Bob Sowards",NA,2.78,11,396,"3PuttAvoidanceRound2",2008
72,72,"Billy Mayfair",NA,2.87,15,522,"3PuttAvoidanceRound2",2008
72,72,"Joe Ogilvie",NA,2.87,15,522,"3PuttAvoidanceRound2",2008
72,72,"Dean Wilson",NA,2.87,16,558,"3PuttAvoidanceRound2",2008
76,76,"Cameron Beckman",NA,2.88,14,486,"3PuttAvoidanceRound2",2008
76,76,"Chad Campbell",NA,2.88,14,486,"3PuttAvoidanceRound2",2008
76,76,"Matt Kuchar",NA,2.88,14,486,"3PuttAvoidanceRound2",2008
76,76,"Nick Watney",NA,2.88,14,486,"3PuttAvoidanceRound2",2008
80,80,"Todd Demsey",NA,2.89,13,450,"3PuttAvoidanceRound2",2008
81,81,"Fred Couples",NA,2.94,9,306,"3PuttAvoidanceRound2",2008
82,82,"Frank Lickliter II",NA,2.96,16,540,"3PuttAvoidanceRound2",2008
82,82,"Shigeki Maruyama",NA,2.96,8,270,"3PuttAvoidanceRound2",2008
84,84,"George McNeill",NA,2.98,15,504,"3PuttAvoidanceRound2",2008
84,84,"John Rollins",NA,2.98,15,504,"3PuttAvoidanceRound2",2008
86,86,"Paul Goydos",NA,3.01,13,432,"3PuttAvoidanceRound2",2008
86,86,"Justin Leonard",NA,3.01,13,432,"3PuttAvoidanceRound2",2008
88,88,"Eric Axley",NA,3.02,19,630,"3PuttAvoidanceRound2",2008
89,89,"Anthony Kim",NA,3.03,12,396,"3PuttAvoidanceRound2",2008
90,90,"Phil Mickelson",NA,3.06,11,360,"3PuttAvoidanceRound2",2008
91,91,"Charley Hoffman",NA,3.07,16,522,"3PuttAvoidanceRound2",2008
91,91,"Jin Park",NA,3.07,16,522,"3PuttAvoidanceRound2",2008
93,93,"Michael Allen",NA,3.09,15,486,"3PuttAvoidanceRound2",2008
93,93,"Mathew Goggin",NA,3.09,15,486,"3PuttAvoidanceRound2",2008
93,93,"John Senden",NA,3.09,15,486,"3PuttAvoidanceRound2",2008
96,96,"JJ Henry",NA,3.1,19,612,"3PuttAvoidanceRound2",2008
97,97,"Stephen Ames",NA,3.14,13,414,"3PuttAvoidanceRound2",2008
97,97,"Paul Claxton",NA,3.14,13,414,"3PuttAvoidanceRound2",2008
97,97,"John Riegger",NA,3.14,13,414,"3PuttAvoidanceRound2",2008
97,97,"Scott Verplank",NA,3.14,13,414,"3PuttAvoidanceRound2",2008
101,101,"Jason Day",NA,3.17,16,504,"3PuttAvoidanceRound2",2008
101,101,"Padraig Harrington",NA,3.17,8,252,"3PuttAvoidanceRound2",2008
101,101,"Greg Kraft",NA,3.17,12,378,"3PuttAvoidanceRound2",2008
104,104,"Kevin Sutherland",NA,3.21,15,468,"3PuttAvoidanceRound2",2008
104,104,"Kyle Thompson",NA,3.21,15,468,"3PuttAvoidanceRound2",2008
106,106,"Matt Jones",NA,3.23,18,558,"3PuttAvoidanceRound2",2008
107,107,"Brenden Pappas",NA,3.24,14,432,"3PuttAvoidanceRound2",2008
107,107,"Ted Purdy",NA,3.24,14,432,"3PuttAvoidanceRound2",2008
109,109,"Dudley Hart",NA,3.28,13,396,"3PuttAvoidanceRound2",2008
110,110,"Charlie Wi",NA,3.29,16,486,"3PuttAvoidanceRound2",2008
111,111,"Vaughn Taylor",NA,3.3,19,576,"3PuttAvoidanceRound2",2008
112,112,"Ryan Armour",NA,3.33,18,540,"3PuttAvoidanceRound2",2008
112,112,"Paul Casey",NA,3.33,9,270,"3PuttAvoidanceRound2",2008
112,112,"KJ Choi",NA,3.33,12,360,"3PuttAvoidanceRound2",2008
112,112,"Steve Lowery",NA,3.33,15,450,"3PuttAvoidanceRound2",2008
112,112,"Brandt Snedeker",NA,3.33,15,450,"3PuttAvoidanceRound2",2008
117,117,"Lee Janzen",NA,3.37,17,504,"3PuttAvoidanceRound2",2008
117,117,"Kevin Na",NA,3.37,17,504,"3PuttAvoidanceRound2",2008
119,119,"Davis Love III",NA,3.38,14,414,"3PuttAvoidanceRound2",2008
120,120,"Trevor Immelman",NA,3.44,13,378,"3PuttAvoidanceRound2",2008
121,121,"Chris DiMarco",NA,3.45,18,522,"3PuttAvoidanceRound2",2008
121,121,"Steve Flesch",NA,3.45,18,522,"3PuttAvoidanceRound2",2008
121,121,"Peter Lonard",NA,3.45,18,522,"3PuttAvoidanceRound2",2008
124,124,"Angel Cabrera",NA,3.47,10,288,"3PuttAvoidanceRound2",2008
124,124,"Freddie Jacobson",NA,3.47,15,432,"3PuttAvoidanceRound2",2008
124,124,"Zach Johnson",NA,3.47,15,432,"3PuttAvoidanceRound2",2008
124,124,"Kevin Streelman",NA,3.47,20,576,"3PuttAvoidanceRound2",2008
128,128,"Robert Allenby",NA,3.5,17,486,"3PuttAvoidanceRound2",2008
128,128,"Rod Pampling",NA,3.5,17,486,"3PuttAvoidanceRound2",2008
130,130,"Geoff Ogilvy",NA,3.51,12,342,"3PuttAvoidanceRound2",2008
130,130,"Tom Scherrer",NA,3.51,12,342,"3PuttAvoidanceRound2",2008
132,132,"Jerry Kelly",NA,3.52,19,540,"3PuttAvoidanceRound2",2008
132,132,"Chez Reavie",NA,3.52,19,540,"3PuttAvoidanceRound2",2008
134,134,"Jim McGovern",NA,3.56,16,450,"3PuttAvoidanceRound2",2008
134,134,"Kenny Perry",NA,3.56,16,450,"3PuttAvoidanceRound2",2008
136,136,"Rich Beem",NA,3.57,18,504,"3PuttAvoidanceRound2",2008
137,137,"John Huston",NA,3.59,11,306,"3PuttAvoidanceRound2",2008
137,137,"Stephen Leaney",NA,3.59,11,306,"3PuttAvoidanceRound2",2008
139,139,"Jason Allred",NA,3.62,15,414,"3PuttAvoidanceRound2",2008
140,140,"Jeff Maggert",NA,3.63,17,468,"3PuttAvoidanceRound2",2008
141,141,"Martin Laird",NA,3.64,19,522,"3PuttAvoidanceRound2",2008
141,141,"Tag Ridings",NA,3.64,19,522,"3PuttAvoidanceRound2",2008
143,143,"Brian Davis",NA,3.65,21,576,"3PuttAvoidanceRound2",2008
144,144,"Steve Allan",NA,3.7,14,378,"3PuttAvoidanceRound2",2008
144,144,"Billy Andrade",NA,3.7,16,432,"3PuttAvoidanceRound2",2008
144,144,"Olin Browne",NA,3.7,18,486,"3PuttAvoidanceRound2",2008
144,144,"Carlos Franco",NA,3.7,16,432,"3PuttAvoidanceRound2",2008
144,144,"Robert Garrigus",NA,3.7,18,486,"3PuttAvoidanceRound2",2008
144,144,"Ryan Moore",NA,3.7,16,432,"3PuttAvoidanceRound2",2008
150,150,"Cliff Kresge",NA,3.77,19,504,"3PuttAvoidanceRound2",2008
150,150,"Michael Letzig",NA,3.77,19,504,"3PuttAvoidanceRound2",2008
150,150,"John Merrick",NA,3.77,19,504,"3PuttAvoidanceRound2",2008
153,153,"Alex Cejka",NA,3.78,17,450,"3PuttAvoidanceRound2",2008
153,153,"Kenneth Ferrie",NA,3.78,17,450,"3PuttAvoidanceRound2",2008
155,155,"Rory Sabbatini",NA,3.79,15,396,"3PuttAvoidanceRound2",2008
156,156,"David Duval",NA,3.8,13,342,"3PuttAvoidanceRound2",2008
157,157,"Woody Austin",NA,3.83,20,522,"3PuttAvoidanceRound2",2008
158,158,"Bart Bryant",NA,3.86,16,414,"3PuttAvoidanceRound2",2008
158,158,"Harrison Frazar",NA,3.86,16,414,"3PuttAvoidanceRound2",2008
160,160,"Will Ma Kenzie",NA,3.89,14,360,"3PuttAvoidanceRound2",2008
160,160,"Tom Pernice Jr",NA,3.89,21,540,"3PuttAvoidanceRound2",2008
160,160,"Ron Whittaker",NA,3.89,14,360,"3PuttAvoidanceRound2",2008
163,163,"DJ Trahan",NA,3.91,19,486,"3PuttAvoidanceRound2",2008
164,164,"Tim Petrovic",NA,3.94,22,558,"3PuttAvoidanceRound2",2008
165,165,"YE Yang",NA,3.97,20,504,"3PuttAvoidanceRound2",2008
166,166,"Jon Mills",NA,3.99,23,576,"3PuttAvoidanceRound2",2008
166,166,"Jeff Overton",NA,3.99,23,576,"3PuttAvoidanceRound2",2008
168,168,"Nick Flanagan",NA,4.02,21,522,"3PuttAvoidanceRound2",2008
169,169,"Scott McCarron",NA,4.04,16,396,"3PuttAvoidanceRound2",2008
170,170,"Tim Clark",NA,4.06,19,468,"3PuttAvoidanceRound2",2008
171,171,"Gavin Coles",NA,4.07,11,270,"3PuttAvoidanceRound2",2008
171,171,"Mathias Gronberg",NA,4.07,22,540,"3PuttAvoidanceRound2",2008
173,173,"Andres Romero",NA,4.09,14,342,"3PuttAvoidanceRound2",2008
174,174,"Nick OHern",NA,4.17,18,432,"3PuttAvoidanceRound2",2008
175,175,"Bubba Watson",NA,4.21,22,522,"3PuttAvoidanceRound2",2008
176,176,"Jeff Gove",NA,4.25,13,306,"3PuttAvoidanceRound2",2008
177,177,"Jonathan Byrd",NA,4.27,20,468,"3PuttAvoidanceRound2",2008
177,177,"Cody Freeman",NA,4.27,20,468,"3PuttAvoidanceRound2",2008
179,179,"Hunter Mahan",NA,4.44,20,450,"3PuttAvoidanceRound2",2008
179,179,"Nicholas Thompson",NA,4.44,28,630,"3PuttAvoidanceRound2",2008
181,181,"Bo Van Pelt",NA,4.48,25,558,"3PuttAvoidanceRound2",2008
182,182,"Travis Perkins",NA,4.5,17,378,"3PuttAvoidanceRound2",2008
183,183,"Jesper Parnevik",NA,4.53,22,486,"3PuttAvoidanceRound2",2008
184,184,"Mark Wilson",NA,4.6,24,522,"3PuttAvoidanceRound2",2008
185,185,"Johnson Wagner",NA,4.7,22,468,"3PuttAvoidanceRound2",2008
186,186,"Joe Durant",NA,4.76,24,504,"3PuttAvoidanceRound2",2008
186,186,"David Lutterus",NA,4.76,18,378,"3PuttAvoidanceRound2",2008
186,186,"Adam Scott",NA,4.76,12,252,"3PuttAvoidanceRound2",2008
189,189,"Ernie Els",NA,4.81,13,270,"3PuttAvoidanceRound2",2008
190,190,"JB Holmes",NA,4.89,22,450,"3PuttAvoidanceRound2",2008
191,191,"Mark Calcavecchia",NA,5.03,19,378,"3PuttAvoidanceRound2",2008
192,192,"Troy Matteson",NA,5.19,28,540,"3PuttAvoidanceRound2",2008
193,193,"Kent Jones",NA,5.29,20,378,"3PuttAvoidanceRound2",2008
194,194,"Tommy Armour III",NA,5.31,22,414,"3PuttAvoidanceRound2",2008
194,194,"Tommy Gainey",NA,5.31,22,414,"3PuttAvoidanceRound2",2008
194,194,"Boo Weekley",NA,5.31,22,414,"3PuttAvoidanceRound2",2008
197,197,"Charles Warren",NA,6.35,32,504,"3PuttAvoidanceRound2",2008
