"ScramblingfromtheSand_RANKTHISWEEK_2012","ScramblingfromtheSand_RANKLASTWEEK_2012","ScramblingfromtheSand_PLAYERNAME_2012","ScramblingfromtheSand_ROUNDS_2012","ScramblingfromtheSand_Pct_2012","ScramblingfromtheSand_SUCCESSES_2012","ScramblingfromtheSand_ATTEMPTS_2012","stat_name","year"
1,1,"Jim Furyk",85,70.59,60,85,"ScramblingfromtheSand",2012
2,2,"Jonas Blixt",72,67.68,67,99,"ScramblingfromtheSand",2012
3,3,"Justin Rose",69,67.16,45,67,"ScramblingfromtheSand",2012
4,4,"Sergio Garcia",57,66.04,35,53,"ScramblingfromtheSand",2012
5,5,"Brian Gay",91,65.81,77,117,"ScramblingfromtheSand",2012
6,6,"Aaron Baddeley",73,65.52,57,87,"ScramblingfromtheSand",2012
7,7,"Greg Chalmers",88,64,80,125,"ScramblingfromtheSand",2012
8,8,"Kevin Na",80,62.69,42,67,"ScramblingfromtheSand",2012
9,9,"Phil Mickelson",79,62.24,61,98,"ScramblingfromtheSand",2012
10,10,"Rocco Mediate",70,61.64,45,73,"ScramblingfromtheSand",2012
11,11,"Geoff Ogilvy",73,61.45,51,83,"ScramblingfromtheSand",2012
12,12,"Jonathan Byrd",69,61.43,43,70,"ScramblingfromtheSand",2012
13,13,"Tim Clark",60,61.29,38,62,"ScramblingfromtheSand",2012
14,14,"Bud Cauley",99,61.05,58,95,"ScramblingfromtheSand",2012
15,15,"Jason Dufner",83,60.76,48,79,"ScramblingfromtheSand",2012
16,16,"Martin Flores",95,60.61,60,99,"ScramblingfromtheSand",2012
17,17,"Bill Haas",79,60.27,44,73,"ScramblingfromtheSand",2012
18,18,"Keegan Bradley",90,60,39,65,"ScramblingfromtheSand",2012
18,18,"David Toms",60,60,24,40,"ScramblingfromtheSand",2012
20,20,"Zach Johnson",95,59.57,56,94,"ScramblingfromtheSand",2012
21,21,"KJ Choi",71,59.38,38,64,"ScramblingfromtheSand",2012
22,22,"Ian Poulter",57,59.32,35,59,"ScramblingfromtheSand",2012
23,23,"Brandt Snedeker",81,59.18,58,98,"ScramblingfromtheSand",2012
24,24,"Ryan Moore",89,58.72,64,109,"ScramblingfromtheSand",2012
25,25,"Carl Pettersson",92,58.56,65,111,"ScramblingfromtheSand",2012
26,26,"Jerry Kelly",84,58.47,69,118,"ScramblingfromtheSand",2012
27,27,"Daniel Chopra",55,58.33,35,60,"ScramblingfromtheSand",2012
27,27,"Padraig Harrington",67,58.33,35,60,"ScramblingfromtheSand",2012
27,27,"Matt Kuchar",86,58.33,56,96,"ScramblingfromtheSand",2012
30,30,"Billy Mayfair",90,58.25,60,103,"ScramblingfromtheSand",2012
31,31,"Webb Simpson",77,58.21,39,67,"ScramblingfromtheSand",2012
32,32,"Chris DiMarco",83,57.85,70,121,"ScramblingfromtheSand",2012
33,33,"Charl Schwartzel",56,57.5,23,40,"ScramblingfromtheSand",2012
34,34,"Tom Gillis",75,57.27,63,110,"ScramblingfromtheSand",2012
35,35,"Rory McIlroy",60,57.14,20,35,"ScramblingfromtheSand",2012
35,35,"Michael Thompson",80,57.14,44,77,"ScramblingfromtheSand",2012
37,37,"JJ Killeen",101,56.63,94,166,"ScramblingfromtheSand",2012
38,38,"Spencer Levin",81,56.48,61,108,"ScramblingfromtheSand",2012
39,39,"Matt Jones",53,56.36,31,55,"ScramblingfromtheSand",2012
40,40,"Dustin Johnson",70,56.34,40,71,"ScramblingfromtheSand",2012
41,41,"Billy Hurley III",70,56.25,54,96,"ScramblingfromtheSand",2012
42,42,"Luke Donald",63,56.16,41,73,"ScramblingfromtheSand",2012
43,43,"Kyle Reifers",86,56.12,55,98,"ScramblingfromtheSand",2012
44,44,"Stephen Ames",54,56,28,50,"ScramblingfromtheSand",2012
45,45,"Matt Every",80,55.95,47,84,"ScramblingfromtheSand",2012
46,46,"Ryo Ishikawa",54,55.93,33,59,"ScramblingfromtheSand",2012
47,47,"Davis Love III",64,55.84,43,77,"ScramblingfromtheSand",2012
48,48,"Roberto Castro",92,55.77,58,104,"ScramblingfromtheSand",2012
48,48,"Rory Sabbatini",84,55.77,58,104,"ScramblingfromtheSand",2012
48,48,"Tiger Woods",69,55.77,29,52,"ScramblingfromtheSand",2012
51,51,"Steve Wheatcroft",56,55.74,34,61,"ScramblingfromtheSand",2012
52,52,"Dicky Pride",62,55.71,39,70,"ScramblingfromtheSand",2012
53,53,"Vaughn Taylor",81,55.56,40,72,"ScramblingfromtheSand",2012
54,54,"Jason Day",57,55.38,36,65,"ScramblingfromtheSand",2012
55,55,"YE Yang",64,55.29,47,85,"ScramblingfromtheSand",2012
56,56,"Gavin Coles",72,54.79,40,73,"ScramblingfromtheSand",2012
57,57,"Robert Karlsson",54,54.39,31,57,"ScramblingfromtheSand",2012
58,58,"Stephen Gangluff",57,54.29,38,70,"ScramblingfromtheSand",2012
58,58,"Bill Lunde",83,54.29,38,70,"ScramblingfromtheSand",2012
60,60,"Ryuji Imada",78,54.21,58,107,"ScramblingfromtheSand",2012
61,61,"Mark Anderson",75,54.17,52,96,"ScramblingfromtheSand",2012
62,62,"Rickie Fowler",84,53.85,49,91,"ScramblingfromtheSand",2012
63,63,"Vijay Singh",99,53.77,57,106,"ScramblingfromtheSand",2012
64,64,"Stuart Appleby",75,53.41,47,88,"ScramblingfromtheSand",2012
65,65,"Greg Owen",90,53.13,51,96,"ScramblingfromtheSand",2012
66,66,"Rod Pampling",88,53.1,60,113,"ScramblingfromtheSand",2012
67,67,"Nathan Green",73,53.01,44,83,"ScramblingfromtheSand",2012
68,68,"Harrison Frazar",56,52.86,37,70,"ScramblingfromtheSand",2012
68,68,"John Senden",81,52.86,37,70,"ScramblingfromtheSand",2012
70,70,"Jimmy Walker",101,52.8,66,125,"ScramblingfromtheSand",2012
71,71,"Chris Stroud",86,52.69,49,93,"ScramblingfromtheSand",2012
72,72,"Brian Harman",101,52.59,71,135,"ScramblingfromtheSand",2012
73,73,"Trevor Immelman",76,52.44,43,82,"ScramblingfromtheSand",2012
74,74,"Chris Kirk",93,52.38,55,105,"ScramblingfromtheSand",2012
75,75,"Nick OHern",78,52.34,56,107,"ScramblingfromtheSand",2012
76,76,"Mark Wilson",84,52.33,45,86,"ScramblingfromtheSand",2012
77,77,"Tim Herron",88,52.1,62,119,"ScramblingfromtheSand",2012
78,78,"Ben Crane",73,52.04,51,98,"ScramblingfromtheSand",2012
78,78,"John Huh",99,52.04,51,98,"ScramblingfromtheSand",2012
80,80,"Ernie Els",80,51.95,40,77,"ScramblingfromtheSand",2012
81,81,"Marco Dawson",60,51.72,30,58,"ScramblingfromtheSand",2012
82,82,"Bo Van Pelt",84,51.65,47,91,"ScramblingfromtheSand",2012
83,83,"Harris English",98,51.49,52,101,"ScramblingfromtheSand",2012
84,84,"Mathew Goggin",65,51.43,36,70,"ScramblingfromtheSand",2012
85,85,"Ken Duke",104,51.24,62,121,"ScramblingfromtheSand",2012
86,86,"Angel Cabrera",54,51.22,21,41,"ScramblingfromtheSand",2012
87,87,"Kevin Kisner",69,50.63,40,79,"ScramblingfromtheSand",2012
88,88,"James Driscoll",83,50.44,57,113,"ScramblingfromtheSand",2012
89,89,"Brian Davis",91,50.43,59,117,"ScramblingfromtheSand",2012
90,90,"Cameron Beckman",81,50,37,74,"ScramblingfromtheSand",2012
90,90,"Danny Lee",74,50,35,70,"ScramblingfromtheSand",2012
90,90,"Richard Lee",71,50,32,64,"ScramblingfromtheSand",2012
90,90,"Edward Loar",59,50,24,48,"ScramblingfromtheSand",2012
90,90,"Troy Matteson",100,50,53,106,"ScramblingfromtheSand",2012
90,90,"George McNeill",85,50,57,114,"ScramblingfromtheSand",2012
90,90,"Ryan Palmer",81,50,51,102,"ScramblingfromtheSand",2012
90,90,"Cameron Tringale",88,50,52,104,"ScramblingfromtheSand",2012
98,98,"Blake Adams",107,49.59,61,123,"ScramblingfromtheSand",2012
99,99,"David Hearn",95,49.51,51,103,"ScramblingfromtheSand",2012
99,99,"Seung Yul Noh",105,49.51,51,103,"ScramblingfromtheSand",2012
101,101,"Jason Kokrak",79,49.43,43,87,"ScramblingfromtheSand",2012
102,102,"Tom Pernice Jr",62,49.41,42,85,"ScramblingfromtheSand",2012
103,103,"Kevin Stadler",85,49.38,40,81,"ScramblingfromtheSand",2012
104,104,"Tommy Gainey",98,49.24,65,132,"ScramblingfromtheSand",2012
