"Top10FinalRoundPerformance_RANKTHISWEEK_2013","Top10FinalRoundPerformance_RANKLASTWEEK_2013","Top10FinalRoundPerformance_PLAYERNAME_2013","Top10FinalRoundPerformance_EVENTS_2013","Top10FinalRoundPerformance_PctTIMESIMPROVED_2013","Top10FinalRoundPerformance_OFTIMESIMPROVED_2013","stat_name","year"
1,1,"Jason Bohn",23,100,1,"Top10FinalRoundPerformance",2013
1,1,"Justin Bolli",23,100,1,"Top10FinalRoundPerformance",2013
1,1,"Steven Bowditch",22,100,1,"Top10FinalRoundPerformance",2013
1,1,"Scott Brown",21,100,1,"Top10FinalRoundPerformance",2013
1,1,"KJ Choi",24,100,2,"Top10FinalRoundPerformance",2013
1,1,"Ben Crane",21,100,1,"Top10FinalRoundPerformance",2013
1,1,"Brian Davis",28,100,1,"Top10FinalRoundPerformance",2013
1,1,"Derek Ernst",21,100,1,"Top10FinalRoundPerformance",2013
1,1,"Matt Every",28,100,2,"Top10FinalRoundPerformance",2013
1,1,"Brian Gay",24,100,1,"Top10FinalRoundPerformance",2013
1,1,"Lucas Glover",23,100,1,"Top10FinalRoundPerformance",2013
1,1,"Fabian Gomez",23,100,1,"Top10FinalRoundPerformance",2013
1,1,"David Hearn",26,100,1,"Top10FinalRoundPerformance",2013
1,1,"Russell Henley",24,100,1,"Top10FinalRoundPerformance",2013
1,1,"Dustin Johnson",22,100,4,"Top10FinalRoundPerformance",2013
1,1,"Robert Karlsson",18,100,1,"Top10FinalRoundPerformance",2013
1,1,"Martin Kaymer",17,100,1,"Top10FinalRoundPerformance",2013
1,1,"Jerry Kelly",22,100,2,"Top10FinalRoundPerformance",2013
1,1,"Martin Laird",21,100,1,"Top10FinalRoundPerformance",2013
1,1,"Scott Langley",27,100,1,"Top10FinalRoundPerformance",2013
1,1,"Justin Leonard",24,100,1,"Top10FinalRoundPerformance",2013
1,1,"Jeff Maggert",21,100,1,"Top10FinalRoundPerformance",2013
1,1,"David Mathis",24,100,1,"Top10FinalRoundPerformance",2013
1,1,"Graeme McDowell",16,100,2,"Top10FinalRoundPerformance",2013
1,1,"Geoff Ogilvy",19,100,1,"Top10FinalRoundPerformance",2013
1,1,"Jeff Overton",24,100,1,"Top10FinalRoundPerformance",2013
