"MissedFairwayPercentOther_RANKTHISWEEK_2010","MissedFairwayPercentOther_RANKLASTWEEK_2010","MissedFairwayPercentOther_PLAYERNAME_2010","MissedFairwayPercentOther_ROUNDS_2010","MissedFairwayPercentOther_Pct_2010","MissedFairwayPercentOther_TOTALMISSED_2010","MissedFairwayPercentOther_TOTALFWYS_2010","MissedFairwayPercentOther_RELATIVETOPAR_2010","stat_name","year"
1,1,"Tim Clark",88,0.42,4,945,0,"MissedFairwayPercentOther",2010
2,2,"Joe Durant",67,0.89,7,789,0.29,"MissedFairwayPercentOther",2010
3,3,"Omar Uresti",74,0.95,8,846,1.25,"MissedFairwayPercentOther",2010
4,4,"Jim Furyk",76,0.96,8,833,0.63,"MissedFairwayPercentOther",2010
5,5,"Kevin Streelman",90,1,11,1105,0.09,"MissedFairwayPercentOther",2010
6,6,"David Toms",86,1.03,10,969,0.5,"MissedFairwayPercentOther",2010
7,7,"Tom Pernice Jr",74,1.13,9,800,0.56,"MissedFairwayPercentOther",2010
8,8,"Boo Weekley",88,1.17,12,1029,0,"MissedFairwayPercentOther",2010
9,9,"Ryan Moore",80,1.18,10,846,0.5,"MissedFairwayPercentOther",2010
9,9,"Jay Williamson",76,1.18,10,845,1.1,"MissedFairwayPercentOther",2010
11,11,"Steve Elkington",74,1.23,10,810,0.1,"MissedFairwayPercentOther",2010
12,12,"Steve Stricker",73,1.28,10,779,0.1,"MissedFairwayPercentOther",2010
13,13,"JJ Henry",92,1.29,14,1085,0.21,"MissedFairwayPercentOther",2010
14,14,"Ben Curtis",78,1.31,12,916,0.25,"MissedFairwayPercentOther",2010
14,14,"Rocco Mediate",71,1.31,11,840,0.55,"MissedFairwayPercentOther",2010
16,16,"Craig Bowden",56,1.35,9,665,0.89,"MissedFairwayPercentOther",2010
17,17,"Stephen Ames",75,1.36,13,956,0.54,"MissedFairwayPercentOther",2010
18,18,"Kenny Perry",69,1.41,11,782,-0.09,"MissedFairwayPercentOther",2010
19,19,"Ben Crane",85,1.42,13,916,0.77,"MissedFairwayPercentOther",2010
20,20,"Blake Adams",84,1.45,15,1034,0.8,"MissedFairwayPercentOther",2010
21,21,"Jason Dufner",87,1.46,14,957,0.43,"MissedFairwayPercentOther",2010
22,22,"Jerry Kelly",99,1.49,17,1144,0.29,"MissedFairwayPercentOther",2010
22,22,"Chris Riley",73,1.49,13,873,0.69,"MissedFairwayPercentOther",2010
22,22,"Kevin Sutherland",86,1.49,16,1076,0.69,"MissedFairwayPercentOther",2010
25,25,"John Senden",103,1.5,18,1203,0.22,"MissedFairwayPercentOther",2010
26,26,"Zach Johnson",93,1.53,16,1046,0.88,"MissedFairwayPercentOther",2010
27,27,"Billy Mayfair",78,1.55,14,903,0.71,"MissedFairwayPercentOther",2010
27,27,"Sean OHair",84,1.55,14,903,0.36,"MissedFairwayPercentOther",2010
29,29,"Ryuji Imada",90,1.56,18,1154,0.61,"MissedFairwayPercentOther",2010
30,30,"Heath Slocum",97,1.57,16,1019,0.44,"MissedFairwayPercentOther",2010
31,31,"Alex Cejka",81,1.61,15,931,0.87,"MissedFairwayPercentOther",2010
32,32,"Kevin Na",94,1.63,17,1044,0.29,"MissedFairwayPercentOther",2010
33,33,"Brian Gay",101,1.66,19,1144,1.11,"MissedFairwayPercentOther",2010
33,33,"Scott McCarron",90,1.66,19,1142,0.68,"MissedFairwayPercentOther",2010
33,33,"Vijay Singh",75,1.66,13,785,0.46,"MissedFairwayPercentOther",2010
36,36,"Dean Wilson",54,1.69,11,650,1,"MissedFairwayPercentOther",2010
37,37,"Justin Leonard",89,1.7,17,1001,1.06,"MissedFairwayPercentOther",2010
37,37,"Chris Tidland",77,1.7,16,940,0.25,"MissedFairwayPercentOther",2010
39,39,"Skip Kendall",58,1.77,12,678,0.58,"MissedFairwayPercentOther",2010
39,39,"Shaun Micheel",70,1.77,13,733,0.38,"MissedFairwayPercentOther",2010
41,41,"Paul Casey",64,1.79,11,614,0.18,"MissedFairwayPercentOther",2010
41,41,"Nathan Green",86,1.79,20,1117,0.4,"MissedFairwayPercentOther",2010
43,43,"Jeff Quinney",91,1.81,20,1104,1.1,"MissedFairwayPercentOther",2010
44,44,"Hunter Mahan",85,1.83,17,927,0.59,"MissedFairwayPercentOther",2010
45,45,"Spencer Levin",110,1.84,25,1356,0.32,"MissedFairwayPercentOther",2010
46,46,"DJ Trahan",92,1.86,21,1128,0.33,"MissedFairwayPercentOther",2010
47,47,"Jason Bohn",84,1.88,19,1013,0.74,"MissedFairwayPercentOther",2010
