"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2010","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2010","ApproachesLeftRoughRTPScore_PLAYERNAME_2010","ApproachesLeftRoughRTPScore_ROUNDS_2010","ApproachesLeftRoughRTPScore_AVGRTP_2010","stat_name","year"
1,1,"Rory McIlroy",54,-0.129,"ApproachesLeftRoughRTPScore",2010
2,2,"Bubba Watson",77,-0.102,"ApproachesLeftRoughRTPScore",2010
3,3,"Luke Donald",71,-0.089,"ApproachesLeftRoughRTPScore",2010
4,4,"JB Holmes",100,-0.041,"ApproachesLeftRoughRTPScore",2010
5,5,"Jonathan Byrd",85,-0.034,"ApproachesLeftRoughRTPScore",2010
6,6,"Aaron Baddeley",94,-0.033,"ApproachesLeftRoughRTPScore",2010
7,7,"Greg Chalmers",93,-0.032,"ApproachesLeftRoughRTPScore",2010
8,8,"Sergio Garcia",58,-0.031,"ApproachesLeftRoughRTPScore",2010
9,9,"Vijay Singh",75,-0.022,"ApproachesLeftRoughRTPScore",2010
10,10,"Charles Howell III",103,-0.02,"ApproachesLeftRoughRTPScore",2010
11,11,"Chris DiMarco",88,-0.019,"ApproachesLeftRoughRTPScore",2010
12,12,"Will Ma Kenzie",72,-0.018,"ApproachesLeftRoughRTPScore",2010
13,13,"Graham DeLaet",88,-0.015,"ApproachesLeftRoughRTPScore",2010
14,14,"Ernie Els",72,-0.01,"ApproachesLeftRoughRTPScore",2010
14,14,"Cameron Percy",73,-0.01,"ApproachesLeftRoughRTPScore",2010
16,16,"JJ Henry",92,-0.007,"ApproachesLeftRoughRTPScore",2010
17,17,"Paul Casey",64,0,"ApproachesLeftRoughRTPScore",2010
17,17,"Stewart Cink",84,0,"ApproachesLeftRoughRTPScore",2010
17,17,"Jimmy Walker",82,0,"ApproachesLeftRoughRTPScore",2010
20,20,"Hunter Mahan",85,0.01,"ApproachesLeftRoughRTPScore",2010
21,21,"Brandt Snedeker",89,0.025,"ApproachesLeftRoughRTPScore",2010
22,22,"Bo Van Pelt",104,0.029,"ApproachesLeftRoughRTPScore",2010
23,23,"Tim Clark",88,0.034,"ApproachesLeftRoughRTPScore",2010
23,23,"Ben Crane",85,0.034,"ApproachesLeftRoughRTPScore",2010
25,25,"Davis Love III",79,0.037,"ApproachesLeftRoughRTPScore",2010
26,26,"Chris Couch",66,0.038,"ApproachesLeftRoughRTPScore",2010
26,26,"Lucas Glover",75,0.038,"ApproachesLeftRoughRTPScore",2010
28,28,"Garth Mulroy",53,0.04,"ApproachesLeftRoughRTPScore",2010
29,29,"Steve Stricker",73,0.042,"ApproachesLeftRoughRTPScore",2010
30,30,"Scott McCarron",90,0.046,"ApproachesLeftRoughRTPScore",2010
31,31,"Webb Simpson",98,0.047,"ApproachesLeftRoughRTPScore",2010
32,32,"Retief Goosen",75,0.051,"ApproachesLeftRoughRTPScore",2010
33,33,"Adam Scott",70,0.053,"ApproachesLeftRoughRTPScore",2010
34,34,"Justin Rose",78,0.054,"ApproachesLeftRoughRTPScore",2010
35,35,"Dustin Johnson",83,0.06,"ApproachesLeftRoughRTPScore",2010
36,36,"Chris Stroud",90,0.061,"ApproachesLeftRoughRTPScore",2010
36,36,"Dean Wilson",54,0.061,"ApproachesLeftRoughRTPScore",2010
38,38,"Michael Bradley",77,0.062,"ApproachesLeftRoughRTPScore",2010
39,39,"Padraig Harrington",57,0.063,"ApproachesLeftRoughRTPScore",2010
40,40,"Matt Jones",89,0.064,"ApproachesLeftRoughRTPScore",2010
41,41,"Geoff Ogilvy",62,0.067,"ApproachesLeftRoughRTPScore",2010
42,42,"Brett Wetterich",54,0.069,"ApproachesLeftRoughRTPScore",2010
43,43,"Troy Matteson",84,0.07,"ApproachesLeftRoughRTPScore",2010
44,44,"Bill Haas",87,0.071,"ApproachesLeftRoughRTPScore",2010
44,44,"George McNeill",79,0.071,"ApproachesLeftRoughRTPScore",2010
44,44,"Jeev Milkha Singh",59,0.071,"ApproachesLeftRoughRTPScore",2010
44,44,"Charlie Wi",95,0.071,"ApproachesLeftRoughRTPScore",2010
48,48,"Woody Austin",93,0.072,"ApproachesLeftRoughRTPScore",2010
49,49,"James Driscoll",78,0.075,"ApproachesLeftRoughRTPScore",2010
49,49,"Phil Mickelson",76,0.075,"ApproachesLeftRoughRTPScore",2010
51,51,"Brian Gay",101,0.077,"ApproachesLeftRoughRTPScore",2010
51,51,"Carl Pettersson",99,0.077,"ApproachesLeftRoughRTPScore",2010
53,53,"Ryan Palmer",84,0.078,"ApproachesLeftRoughRTPScore",2010
53,53,"Heath Slocum",97,0.078,"ApproachesLeftRoughRTPScore",2010
55,55,"Angel Cabrera",64,0.079,"ApproachesLeftRoughRTPScore",2010
56,56,"Ricky Barnes",103,0.08,"ApproachesLeftRoughRTPScore",2010
57,57,"Bryce Molder",84,0.081,"ApproachesLeftRoughRTPScore",2010
58,58,"Martin Flores",75,0.083,"ApproachesLeftRoughRTPScore",2010
58,58,"Jerry Kelly",99,0.083,"ApproachesLeftRoughRTPScore",2010
58,58,"Kevin Sutherland",86,0.083,"ApproachesLeftRoughRTPScore",2010
61,61,"John Senden",103,0.084,"ApproachesLeftRoughRTPScore",2010
62,62,"Rickie Fowler",98,0.086,"ApproachesLeftRoughRTPScore",2010
63,63,"Charley Hoffman",85,0.087,"ApproachesLeftRoughRTPScore",2010
63,63,"Michael Letzig",84,0.087,"ApproachesLeftRoughRTPScore",2010
65,65,"Nick Watney",91,0.09,"ApproachesLeftRoughRTPScore",2010
66,66,"DJ Trahan",92,0.091,"ApproachesLeftRoughRTPScore",2010
