"FirstTeeEarlyRound2ScoringAverage_RANKTHISWEEK_2014","FirstTeeEarlyRound2ScoringAverage_RANKLASTWEEK_2014","FirstTeeEarlyRound2ScoringAverage_PLAYERNAME_2014","FirstTeeEarlyRound2ScoringAverage__2014","FirstTeeEarlyRound2ScoringAverage_AVG_2014","FirstTeeEarlyRound2ScoringAverage_TOTALSTROKES_2014","FirstTeeEarlyRound2ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Jamie Lovemark",NA,68,272,4,"FirstTeeEarlyRound2ScoringAverage",2014
2,2,"Rory McIlroy",NA,68.5,137,2,"FirstTeeEarlyRound2ScoringAverage",2014
3,3,"Dustin Johnson",NA,68.75,275,4,"FirstTeeEarlyRound2ScoringAverage",2014
4,4,"Chad Campbell",NA,69,138,2,"FirstTeeEarlyRound2ScoringAverage",2014
4,4,"Kevin Chappell",NA,69,345,5,"FirstTeeEarlyRound2ScoringAverage",2014
6,6,"Russell Knox",NA,69.14,484,7,"FirstTeeEarlyRound2ScoringAverage",2014
6,6,"Michael Thompson",NA,69.14,484,7,"FirstTeeEarlyRound2ScoringAverage",2014
8,8,"Erik Compton",NA,69.2,346,5,"FirstTeeEarlyRound2ScoringAverage",2014
9,9,"Justin Rose",NA,69.25,277,4,"FirstTeeEarlyRound2ScoringAverage",2014
9,9,"Bo Van Pelt",NA,69.25,554,8,"FirstTeeEarlyRound2ScoringAverage",2014
11,11,"Aaron Baddeley",NA,69.29,485,7,"FirstTeeEarlyRound2ScoringAverage",2014
12,12,"Jason Kokrak",NA,69.33,416,6,"FirstTeeEarlyRound2ScoringAverage",2014
13,13,"Camilo Villegas",NA,69.38,902,13,"FirstTeeEarlyRound2ScoringAverage",2014
14,14,"KJ Choi",NA,69.4,347,5,"FirstTeeEarlyRound2ScoringAverage",2014
15,15,"Brad Fritsch",NA,69.5,278,4,"FirstTeeEarlyRound2ScoringAverage",2014
15,15,"Jim Furyk",NA,69.5,139,2,"FirstTeeEarlyRound2ScoringAverage",2014
15,15,"Sergio Garcia",NA,69.5,278,4,"FirstTeeEarlyRound2ScoringAverage",2014
15,15,"Retief Goosen",NA,69.5,556,8,"FirstTeeEarlyRound2ScoringAverage",2014
15,15,"Josh Teater",NA,69.5,556,8,"FirstTeeEarlyRound2ScoringAverage",2014
20,20,"Justin Leonard",NA,69.6,348,5,"FirstTeeEarlyRound2ScoringAverage",2014
21,21,"Jason Bohn",NA,69.67,418,6,"FirstTeeEarlyRound2ScoringAverage",2014
21,21,"Brooks Koepka",NA,69.67,209,3,"FirstTeeEarlyRound2ScoringAverage",2014
23,23,"Ben Crane",NA,69.86,489,7,"FirstTeeEarlyRound2ScoringAverage",2014
24,24,"Marc Leishman",NA,69.88,559,8,"FirstTeeEarlyRound2ScoringAverage",2014
25,25,"Matt Jones",NA,69.9,699,10,"FirstTeeEarlyRound2ScoringAverage",2014
26,26,"Bud Cauley",NA,70,350,5,"FirstTeeEarlyRound2ScoringAverage",2014
26,26,"Ken Duke",NA,70,560,8,"FirstTeeEarlyRound2ScoringAverage",2014
26,26,"Brian Harman",NA,70,350,5,"FirstTeeEarlyRound2ScoringAverage",2014
