"Front9ScoringAverage_RANKTHISWEEK_2012","Front9ScoringAverage_RANKLASTWEEK_2012","Front9ScoringAverage_PLAYERNAME_2012","Front9ScoringAverage_ROUNDS_2012","Front9ScoringAverage_AVG_2012","Front9ScoringAverage_TOTALSTROKES_2012","Front9ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Tiger Woods",69,34.69,2324,67,"Front9ScoringAverage",2012
2,2,"Jim Furyk",85,34.73,2917,84,"Front9ScoringAverage",2012
3,3,"Jason Dufner",83,34.74,2849,82,"Front9ScoringAverage",2012
4,4,"Jonas Blixt",72,34.75,2502,72,"Front9ScoringAverage",2012
4,4,"Bo Van Pelt",84,34.75,2884,83,"Front9ScoringAverage",2012
6,6,"Matt Kuchar",86,34.77,2851,82,"Front9ScoringAverage",2012
7,7,"Brandt Snedeker",81,34.78,2713,78,"Front9ScoringAverage",2012
8,8,"Bubba Watson",68,34.8,2297,66,"Front9ScoringAverage",2012
9,9,"Carl Pettersson",92,34.82,3203,92,"Front9ScoringAverage",2012
10,10,"Steve Stricker",73,34.84,2439,70,"Front9ScoringAverage",2012
11,11,"Rory McIlroy",60,34.85,1882,54,"Front9ScoringAverage",2012
12,12,"Jeff Overton",101,34.88,3523,101,"Front9ScoringAverage",2012
13,13,"Keegan Bradley",90,34.89,3070,88,"Front9ScoringAverage",2012
13,13,"Jason Day",57,34.89,1919,55,"Front9ScoringAverage",2012
13,13,"Luke Donald",63,34.89,2163,62,"Front9ScoringAverage",2012
13,13,"Zach Johnson",95,34.89,3280,94,"Front9ScoringAverage",2012
17,17,"Charles Howell III",98,34.9,3420,98,"Front9ScoringAverage",2012
18,18,"Ernie Els",80,34.92,2724,78,"Front9ScoringAverage",2012
18,18,"Louis Oosthuizen",65,34.92,2200,63,"Front9ScoringAverage",2012
20,20,"Scott Piercy",95,34.93,3318,95,"Front9ScoringAverage",2012
21,21,"Dustin Johnson",70,34.94,2341,67,"Front9ScoringAverage",2012
21,21,"John Senden",81,34.94,2725,78,"Front9ScoringAverage",2012
23,23,"Bud Cauley",99,34.99,3464,99,"Front9ScoringAverage",2012
23,23,"Phil Mickelson",79,34.99,2764,79,"Front9ScoringAverage",2012
25,25,"Brendon de Jonge",115,35.02,4027,115,"Front9ScoringAverage",2012
26,26,"Billy Horschel",63,35.03,2067,59,"Front9ScoringAverage",2012
27,27,"Ian Poulter",57,35.04,1962,56,"Front9ScoringAverage",2012
28,28,"Camilo Villegas",79,35.06,2700,77,"Front9ScoringAverage",2012
29,29,"Ken Duke",104,35.08,3648,104,"Front9ScoringAverage",2012
29,29,"Webb Simpson",77,35.08,2666,76,"Front9ScoringAverage",2012
31,31,"Adam Scott",59,35.09,2035,58,"Front9ScoringAverage",2012
32,32,"Vijay Singh",99,35.1,3475,99,"Front9ScoringAverage",2012
33,33,"DA Points",88,35.11,3090,88,"Front9ScoringAverage",2012
34,34,"Padraig Harrington",67,35.13,2213,63,"Front9ScoringAverage",2012
34,34,"John Rollins",81,35.13,2705,77,"Front9ScoringAverage",2012
36,36,"Jeff Maggert",83,35.14,2917,83,"Front9ScoringAverage",2012
37,37,"Charl Schwartzel",56,35.15,1898,54,"Front9ScoringAverage",2012
37,37,"Josh Teater",97,35.15,3269,93,"Front9ScoringAverage",2012
39,39,"Greg Chalmers",88,35.17,3060,87,"Front9ScoringAverage",2012
39,39,"Robert Garrigus",89,35.17,3130,89,"Front9ScoringAverage",2012
39,39,"Bill Haas",79,35.17,2743,78,"Front9ScoringAverage",2012
39,39,"Heath Slocum",93,35.17,3130,89,"Front9ScoringAverage",2012
43,43,"Garth Mulroy",59,35.18,2005,57,"Front9ScoringAverage",2012
43,43,"Henrik Stenson",51,35.18,1794,51,"Front9ScoringAverage",2012
45,45,"Russell Knox",72,35.19,2393,68,"Front9ScoringAverage",2012
45,45,"Ryan Moore",89,35.19,3132,89,"Front9ScoringAverage",2012
45,45,"Ryan Palmer",81,35.19,2850,81,"Front9ScoringAverage",2012
45,45,"Chris Stroud",86,35.19,3026,86,"Front9ScoringAverage",2012
45,45,"Lee Westwood",60,35.19,1900,54,"Front9ScoringAverage",2012
50,50,"Gary Christian",91,35.2,3062,87,"Front9ScoringAverage",2012
50,50,"Will Claxton",99,35.2,3485,99,"Front9ScoringAverage",2012
50,50,"Chris Couch",61,35.2,2077,59,"Front9ScoringAverage",2012
50,50,"Danny Lee",74,35.2,2464,70,"Front9ScoringAverage",2012
50,50,"Spencer Levin",81,35.2,2781,79,"Front9ScoringAverage",2012
50,50,"Seung Yul Noh",105,35.2,3555,101,"Front9ScoringAverage",2012
56,56,"Ben Crane",73,35.21,2535,72,"Front9ScoringAverage",2012
56,56,"Brian Gay",91,35.21,3063,87,"Front9ScoringAverage",2012
58,58,"Bobby Gates",87,35.22,2994,85,"Front9ScoringAverage",2012
58,58,"John Merrick",83,35.22,2782,79,"Front9ScoringAverage",2012
58,58,"Nick Watney",97,35.22,3311,94,"Front9ScoringAverage",2012
61,61,"Justin Rose",69,35.25,2397,68,"Front9ScoringAverage",2012
62,62,"Brian Davis",91,35.26,3209,91,"Front9ScoringAverage",2012
62,62,"Martin Flores",95,35.26,3350,95,"Front9ScoringAverage",2012
62,62,"Rocco Mediate",70,35.26,2398,68,"Front9ScoringAverage",2012
65,65,"John Mallinger",74,35.27,2469,70,"Front9ScoringAverage",2012
65,65,"Pat Perez",81,35.27,2786,79,"Front9ScoringAverage",2012
67,67,"Stuart Appleby",75,35.28,2505,71,"Front9ScoringAverage",2012
67,67,"Graham DeLaet",79,35.28,2787,79,"Front9ScoringAverage",2012
67,67,"Chris Kirk",93,35.28,3140,89,"Front9ScoringAverage",2012
67,67,"Richard Lee",71,35.28,2364,67,"Front9ScoringAverage",2012
67,67,"William McGirt",96,35.28,3387,96,"Front9ScoringAverage",2012
67,67,"Greg Owen",90,35.28,3175,90,"Front9ScoringAverage",2012
73,73,"Ben Curtis",62,35.29,2188,62,"Front9ScoringAverage",2012
73,73,"Hunter Mahan",88,35.29,2894,82,"Front9ScoringAverage",2012
