"MoneyLeadersFallSeries_RANKTHISWEEK_2012","MoneyLeadersFallSeries_RANKLASTWEEK_2012","MoneyLeadersFallSeries_PLAYERNAME_2012","MoneyLeadersFallSeries_EVENTS_2012","MoneyLeadersFallSeries_MONEY_2012","MoneyLeadersFallSeries_YTDVICTORIES_2012","stat_name","year"
1,1,"Jonas Blixt",21,1262294,5001,"MoneyLeadersFallSeries",2012
2,2,"Charlie Beljan",22,949250,8001,"MoneyLeadersFallSeries",2012
3,3,"Ryan Moore",24,810000,10001,"MoneyLeadersFallSeries",2012
4,4,"Tommy Gainey",32,736045,5001,"MoneyLeadersFallSeries",2012
5,5,"Brendon de Jonge",31,700787,7000,"MoneyLeadersFallSeries",2012
6,6,"Jason Kokrak",27,472890,11000,"MoneyLeadersFallSeries",2012
7,7,"Robert Garrigus",26,453087,10000,"MoneyLeadersFallSeries",2012
8,8,"Tim Petrovic",17,440000,6000,"MoneyLeadersFallSeries",2012
9,9,"David Toms",19,432000,9000,"MoneyLeadersFallSeries",2012
10,10,"Matt Every",25,422520,7000,"MoneyLeadersFallSeries",2012
11,11,"Russell Knox",23,347850,8000,"MoneyLeadersFallSeries",2012
12,12,"Jimmy Walker",28,309375,7000,"MoneyLeadersFallSeries",2012
13,13,"Charles Howell III",29,308216,5000,"MoneyLeadersFallSeries",2012
14,14,"Jim Furyk",24,272000,10000,"MoneyLeadersFallSeries",2012
15,15,"Brian Gay",28,270218,2000,"MoneyLeadersFallSeries",2012
16,16,"Tim Herron",27,259665,11000,"MoneyLeadersFallSeries",2012
17,17,"Bill Lunde",25,245839,9000,"MoneyLeadersFallSeries",2012
18,18,"Vijay Singh",27,238347,7000,"MoneyLeadersFallSeries",2012
19,19,"Jeff Overton",29,236913,7000,"MoneyLeadersFallSeries",2012
20,20,"John Mallinger",25,236362,10000,"MoneyLeadersFallSeries",2012
21,21,"Scott Stallings",27,229087,5000,"MoneyLeadersFallSeries",2012
22,22,"Jason Day",17,224920,5000,"MoneyLeadersFallSeries",2012
23,23,"Alexandre Rocha",21,215056,7000,"MoneyLeadersFallSeries",2012
24,24,"Davis Love III",20,214819,7000,"MoneyLeadersFallSeries",2012
25,25,"Josh Teater",30,204575,5000,"MoneyLeadersFallSeries",2012
26,26,"DJ Trahan",27,201911,11000,"MoneyLeadersFallSeries",2012
27,27,"Blake Adams",32,199000,5000,"MoneyLeadersFallSeries",2012
28,28,"Boo Weekley",25,187637,9000,"MoneyLeadersFallSeries",2012
29,29,"Richard Lee",24,180975,9000,"MoneyLeadersFallSeries",2012
30,30,"Greg Owen",27,169738,5000,"MoneyLeadersFallSeries",2012
31,31,"Charlie Wi",25,165087,7000,"MoneyLeadersFallSeries",2012
32,32,"Michael Thompson",25,164500,5000,"MoneyLeadersFallSeries",2012
33,33,"Scott Piercy",28,156375,10000,"MoneyLeadersFallSeries",2012
34,34,"Jason Bohn",28,151577,10000,"MoneyLeadersFallSeries",2012
35,35,"Gary Woodland",22,149541,10000,"MoneyLeadersFallSeries",2012
36,36,"David Mathis",29,148928,12000,"MoneyLeadersFallSeries",2012
37,37,"Mathew Goggin",23,148769,8000,"MoneyLeadersFallSeries",2012
38,38,"Martin Flores",30,146175,5000,"MoneyLeadersFallSeries",2012
39,39,"Patrick Reed",12,145487,11160000,"MoneyLeadersFallSeries",2012
40,40,"Jerry Kelly",26,144591,9000,"MoneyLeadersFallSeries",2012
41,41,"Mark Anderson",25,135056,9000,"MoneyLeadersFallSeries",2012
42,42,"Chad Campbell",27,134971,10000,"MoneyLeadersFallSeries",2012
43,43,"Camilo Villegas",25,134010,10000,"MoneyLeadersFallSeries",2012
44,44,"Brendan Steele",24,130260,9000,"MoneyLeadersFallSeries",2012
45,45,"Kevin Streelman",26,127087,2000,"MoneyLeadersFallSeries",2012
46,46,"Daniel Chopra",21,125311,7000,"MoneyLeadersFallSeries",2012
47,47,"Harris English",27,123354,5000,"MoneyLeadersFallSeries",2012
48,48,"Scott Dunlap",20,121954,7000,"MoneyLeadersFallSeries",2012
49,49,"Zack Miller",12,114360,3000,"MoneyLeadersFallSeries",2012
50,50,"Tom Gillis",23,112800,7000,"MoneyLeadersFallSeries",2012
50,50,"Joey Snyder III",8,112800,7344000,"MoneyLeadersFallSeries",2012
52,52,"Nick Watney",26,112500,10000,"MoneyLeadersFallSeries",2012
53,53,"Bryce Molder",25,106000,7000,"MoneyLeadersFallSeries",2012
54,54,"Sean OHair",24,101203,5000,"MoneyLeadersFallSeries",2012
55,55,"Cameron Beckman",26,95920,10000,"MoneyLeadersFallSeries",2012
56,56,"Danny Lee",26,95050,10000,"MoneyLeadersFallSeries",2012
57,57,"Heath Slocum",29,93982,11000,"MoneyLeadersFallSeries",2012
58,58,"Arjun Atwal",27,92000,10000,"MoneyLeadersFallSeries",2012
58,58,"Mark Wilson",25,92000,7000,"MoneyLeadersFallSeries",2012
60,60,"Ryan Palmer",24,89407,7000,"MoneyLeadersFallSeries",2012
61,61,"Colt Knost",29,88545,11000,"MoneyLeadersFallSeries",2012
62,62,"Jeff Maggert",27,83748,2000,"MoneyLeadersFallSeries",2012
63,63,"Matt Jones",19,82992,7000,"MoneyLeadersFallSeries",2012
64,64,"Chez Reavie",26,81242,12000,"MoneyLeadersFallSeries",2012
65,65,"Steven Bowditch",18,80100,6000,"MoneyLeadersFallSeries",2012
66,66,"Ben Curtis",19,77679,7000,"MoneyLeadersFallSeries",2012
67,67,"Ken Duke",30,76682,12000,"MoneyLeadersFallSeries",2012
68,68,"Kyle Reifers",27,74058,10000,"MoneyLeadersFallSeries",2012
69,69,"Ernie Els",22,72500,10000,"MoneyLeadersFallSeries",2012
69,69,"Bobby Gates",29,72500,11000,"MoneyLeadersFallSeries",2012
69,69,"John Huh",28,72500,10000,"MoneyLeadersFallSeries",2012
72,72,"Henrik Stenson",15,72004,2000,"MoneyLeadersFallSeries",2012
73,73,"Daniel Summerhays",26,68376,5000,"MoneyLeadersFallSeries",2012
74,74,"Billy Horschel",17,68353,6000,"MoneyLeadersFallSeries",2012
75,75,"Scott Brown",24,66414,9000,"MoneyLeadersFallSeries",2012
76,76,"Nick OHern",26,61117,10000,"MoneyLeadersFallSeries",2012
77,77,"Angel Cabrera",20,57787,8000,"MoneyLeadersFallSeries",2012
78,78,"Jhonattan Vegas",25,56928,10000,"MoneyLeadersFallSeries",2012
79,79,"Roberto Castro",27,55600,5000,"MoneyLeadersFallSeries",2012
80,80,"Will Claxton",28,54768,10000,"MoneyLeadersFallSeries",2012
81,81,"Robert Karlsson",17,53160,7000,"MoneyLeadersFallSeries",2012
82,82,"Bud Cauley",28,52964,7000,"MoneyLeadersFallSeries",2012
83,83,"Vaughn Taylor",26,52810,10000,"MoneyLeadersFallSeries",2012
84,84,"Ryuji Imada",28,49305,11000,"MoneyLeadersFallSeries",2012
85,85,"DA Points",29,45071,7000,"MoneyLeadersFallSeries",2012
86,86,"Justin Leonard",26,44753,10000,"MoneyLeadersFallSeries",2012
87,87,"Garth Mulroy",20,44618,8000,"MoneyLeadersFallSeries",2012
88,88,"Stewart Cink",22,43328,9000,"MoneyLeadersFallSeries",2012
89,89,"JJ Killeen",33,43256,13000,"MoneyLeadersFallSeries",2012
90,90,"Nathan Green",22,42578,8000,"MoneyLeadersFallSeries",2012
91,91,"John Rollins",26,41068,5000,"MoneyLeadersFallSeries",2012
92,92,"Bob Estes",23,39487,7000,"MoneyLeadersFallSeries",2012
92,92,"Kevin Na",25,39487,7000,"MoneyLeadersFallSeries",2012
94,94,"Brian Davis",29,38911,11000,"MoneyLeadersFallSeries",2012
95,95,"David Hearn",28,38663,7000,"MoneyLeadersFallSeries",2012
96,96,"Stuart Appleby",24,38595,9000,"MoneyLeadersFallSeries",2012
97,97,"Chris Riley",12,38267,4000,"MoneyLeadersFallSeries",2012
98,98,"Edward Loar",23,37291,8000,"MoneyLeadersFallSeries",2012
99,99,"Kevin Chappell",29,36561,12000,"MoneyLeadersFallSeries",2012
100,100,"Chris Kirk",27,36259,7000,"MoneyLeadersFallSeries",2012
101,101,"John Merrick",26,35922,5000,"MoneyLeadersFallSeries",2012
102,102,"Rod Pampling",26,34135,2000,"MoneyLeadersFallSeries",2012
103,103,"Brian Harman",30,33172,7000,"MoneyLeadersFallSeries",2012
104,104,"Gavin Coles",23,33148,8000,"MoneyLeadersFallSeries",2012
105,105,"Rocco Mediate",23,32826,8000,"MoneyLeadersFallSeries",2012
106,106,"Roland Thatcher",21,31255,7000,"MoneyLeadersFallSeries",2012
107,107,"Kevin Stadler",25,29250,7000,"MoneyLeadersFallSeries",2012
108,108,"Billy Mayfair",28,28755,2000,"MoneyLeadersFallSeries",2012
109,109,"Erik Compton",26,27810,10000,"MoneyLeadersFallSeries",2012
110,110,"Garrett Willis",15,26095,5000,"MoneyLeadersFallSeries",2012
111,111,"Matt Bettencourt",31,25540,12000,"MoneyLeadersFallSeries",2012
112,112,"Ricky Barnes",28,25425,5000,"MoneyLeadersFallSeries",2012
113,113,"Nicolas Colsaerts",9,24125,11442000,"MoneyLeadersFallSeries",2012
114,114,"Derek Lamely",25,23735,10000,"MoneyLeadersFallSeries",2012
115,115,"Ben Crane",23,22550,7000,"MoneyLeadersFallSeries",2012
115,115,"James Driscoll",27,22550,2000,"MoneyLeadersFallSeries",2012
115,115,"Joe Durant",14,22550,4000,"MoneyLeadersFallSeries",2012
115,115,"Rory Sabbatini",29,22550,11000,"MoneyLeadersFallSeries",2012
119,119,"Miguel Angel Carballo",25,21448,9000,"MoneyLeadersFallSeries",2012
120,120,"Derek Ernst",1,20000,9e+05,"MoneyLeadersFallSeries",2012
121,121,"JB Holmes",25,19295,7000,"MoneyLeadersFallSeries",2012
122,122,"George McNeill",25,18922,5000,"MoneyLeadersFallSeries",2012
122,122,"Andres Romero",22,18922,9000,"MoneyLeadersFallSeries",2012
122,122,"Steve Wheatcroft",22,18922,8000,"MoneyLeadersFallSeries",2012
125,125,"Marco Dawson",22,17701,8000,"MoneyLeadersFallSeries",2012
126,126,"Carl Paulson",2,16943,1566000,"MoneyLeadersFallSeries",2012
127,127,"Gary Christian",28,16735,2000,"MoneyLeadersFallSeries",2012
128,128,"Alex Cejka",12,15892,4000,"MoneyLeadersFallSeries",2012
129,129,"Chris DiMarco",29,15772,12000,"MoneyLeadersFallSeries",2012
130,130,"Patrick Cantlay",10,12842,10728000,"MoneyLeadersFallSeries",2012
130,130,"Frank Lickliter II",9,12842,3000,"MoneyLeadersFallSeries",2012
132,132,"Peter Tomasulo",4,12826,3276000,"MoneyLeadersFallSeries",2012
133,133,"Tommy Biershenk",27,11857,10000,"MoneyLeadersFallSeries",2012
133,133,"Marc Turnesa",11,11857,3000,"MoneyLeadersFallSeries",2012
135,135,"William McGirt",30,11248,7000,"MoneyLeadersFallSeries",2012
136,136,"Kelly Kraft",10,10850,11232000,"MoneyLeadersFallSeries",2012
137,137,"Tom Pernice Jr",23,10622,9000,"MoneyLeadersFallSeries",2012
137,137,"Ted Potter Jr",25,10622,5000,"MoneyLeadersFallSeries",2012
139,139,"Stephen Ames",20,10450,8000,"MoneyLeadersFallSeries",2012
139,139,"Stephen Gangluff",23,10450,8000,"MoneyLeadersFallSeries",2012
141,141,"Chris Stroud",28,10340,11000,"MoneyLeadersFallSeries",2012
141,141,"Cameron Tringale",26,10340,10000,"MoneyLeadersFallSeries",2012
143,143,"Zach Johnson",25,10240,10000,"MoneyLeadersFallSeries",2012
144,144,"Todd Hamilton",10,9900,3000,"MoneyLeadersFallSeries",2012
145,145,"Troy Kelly",23,9720,2000,"MoneyLeadersFallSeries",2012
146,146,"Patrick Sheehan",21,9212,7000,"MoneyLeadersFallSeries",2012
147,147,"Hunter Hamrick",5,9000,4446000,"MoneyLeadersFallSeries",2012
148,148,"Billy Hurley III",27,8920,10000,"MoneyLeadersFallSeries",2012
149,149,"John Daly",15,8910,5000,"MoneyLeadersFallSeries",2012
150,150,"Shane Bertsch",17,8836,5000,"MoneyLeadersFallSeries",2012
151,151,"Kyle Thompson",22,8640,8000,"MoneyLeadersFallSeries",2012
152,152,"Chase Wright",1,8360,720000,"MoneyLeadersFallSeries",2012
153,153,"Robert Allenby",27,7120,11000,"MoneyLeadersFallSeries",2012
