"DistancefromEdgeofFairway_RANKTHISWEEK_2012","DistancefromEdgeofFairway_RANKLASTWEEK_2012","DistancefromEdgeofFairway_PLAYERNAME_2012","DistancefromEdgeofFairway_EVENTS_2012","DistancefromEdgeofFairway_AVG_2012","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2012","DistancefromEdgeofFairway_TOTALSTROKES_2012","stat_name","year"
182,182,"Danny Lee",26,NA,10733.25,326,"DistancefromEdgeofFairway",2012
183,183,"Jhonattan Vegas",25,NA,13740.333,412,"DistancefromEdgeofFairway",2012
184,184,"Mark Anderson",25,NA,13006.917,386,"DistancefromEdgeofFairway",2012
185,185,"Aaron Baddeley",22,NA,11242.417,333,"DistancefromEdgeofFairway",2012
185,185,"Michael Bradley",23,NA,11531.417,342,"DistancefromEdgeofFairway",2012
185,185,"Angel Cabrera",20,NA,6549.5,194,"DistancefromEdgeofFairway",2012
188,188,"JB Holmes",25,NA,16007.667,451,"DistancefromEdgeofFairway",2012
189,189,"Stephen Gangluff",23,NA,9592.667,268,"DistancefromEdgeofFairway",2012
190,190,"Daniel Chopra",21,NA,10869.667,298,"DistancefromEdgeofFairway",2012
191,191,"Derek Lamely",25,NA,12954.667,351,"DistancefromEdgeofFairway",2012
