"SandSavePercentage_RANKTHISWEEK_2013","SandSavePercentage_RANKLASTWEEK_2013","SandSavePercentage_PLAYERNAME_2013","SandSavePercentage_ROUNDS_2013","SandSavePercentage_Pct_2013","SandSavePercentage_SAVES_2013","SandSavePercentage_BUNKERS_2013","SandSavePercentage_TOTALOUPAR_2013","stat_name","year"
1,1,"KJ Choi",85,67.18,88,131,22,"SandSavePercentage",2013
2,2,"Steven Bowditch",67,64.91,74,114,7,"SandSavePercentage",2013
3,3,"Matt Kuchar",93,64.9,98,151,31,"SandSavePercentage",2013
4,4,"Lee Williams",62,63.64,63,99,18,"SandSavePercentage",2013
5,5,"Casey Wittenberg",72,63.3,69,109,20,"SandSavePercentage",2013
6,6,"Ben Crane",62,63.11,65,103,27,"SandSavePercentage",2013
7,7,"Tom Gillis",69,62.61,72,115,31,"SandSavePercentage",2013
8,8,"Kevin Chappell",80,61.74,71,115,27,"SandSavePercentage",2013
9,9,"Stuart Appleby",88,61.72,79,128,31,"SandSavePercentage",2013
10,10,"Cameron Tringale",80,61.47,67,109,23,"SandSavePercentage",2013
11,11,"Jason Day",86,61.36,81,132,26,"SandSavePercentage",2013
12,12,"Peter Hanson",45,61.02,36,59,12,"SandSavePercentage",2013
13,13,"Michael Thompson",66,60.87,70,115,33,"SandSavePercentage",2013
14,14,"Tiger Woods",61,60.82,59,97,19,"SandSavePercentage",2013
15,15,"Brandt Snedeker",79,60.48,75,124,35,"SandSavePercentage",2013
16,16,"Rickie Fowler",75,60.34,70,116,31,"SandSavePercentage",2013
17,17,"Bob Estes",66,59.8,61,102,29,"SandSavePercentage",2013
18,18,"Patrick Reed",83,59.71,83,139,37,"SandSavePercentage",2013
19,19,"Shawn Stefani",63,59.48,69,116,37,"SandSavePercentage",2013
20,20,"Justin Rose",62,59.26,48,81,23,"SandSavePercentage",2013
21,21,"Brian Gay",79,59.09,78,132,37,"SandSavePercentage",2013
22,22,"Jin Park",52,58.97,46,78,29,"SandSavePercentage",2013
22,22,"Darron Stiles",51,58.97,46,78,20,"SandSavePercentage",2013
24,24,"Greg Chalmers",77,58.87,73,124,41,"SandSavePercentage",2013
25,25,"Brad Fritsch",81,58.7,81,138,30,"SandSavePercentage",2013
26,26,"Luke List",65,58.33,63,108,27,"SandSavePercentage",2013
27,27,"Mike Weir",60,58.26,67,115,37,"SandSavePercentage",2013
28,28,"Cameron Percy",68,58.16,57,98,27,"SandSavePercentage",2013
29,29,"Ian Poulter",59,57.14,44,77,27,"SandSavePercentage",2013
30,30,"Jason Bohn",70,56.88,62,109,32,"SandSavePercentage",2013
31,31,"David Lynn",70,56.86,58,102,25,"SandSavePercentage",2013
32,32,"Andres Romero",63,56.45,70,124,42,"SandSavePercentage",2013
33,33,"William McGirt",75,56.41,66,117,33,"SandSavePercentage",2013
34,34,"David Toms",49,56.36,31,55,23,"SandSavePercentage",2013
35,35,"Martin Flores",83,56.3,76,135,30,"SandSavePercentage",2013
36,36,"Keegan Bradley",88,56.25,81,144,32,"SandSavePercentage",2013
37,37,"Doug LaBelle II",72,56.06,74,132,50,"SandSavePercentage",2013
38,38,"Luke Donald",60,55.81,48,86,30,"SandSavePercentage",2013
39,39,"Matt Jones",83,55.73,73,131,31,"SandSavePercentage",2013
40,40,"Phil Mickelson",78,55.65,69,124,39,"SandSavePercentage",2013
41,41,"Robert Karlsson",56,55.56,50,90,30,"SandSavePercentage",2013
41,41,"Webb Simpson",92,55.56,65,117,35,"SandSavePercentage",2013
43,43,"Richard Lee",81,55.47,71,128,47,"SandSavePercentage",2013
44,44,"Brian Davis",91,55.42,92,166,68,"SandSavePercentage",2013
45,45,"Jim Furyk",80,55.37,67,121,40,"SandSavePercentage",2013
46,46,"Lee Westwood",70,55,55,100,36,"SandSavePercentage",2013
46,46,"Charlie Wi",75,55,77,140,56,"SandSavePercentage",2013
48,48,"Bryce Molder",82,54.81,74,135,51,"SandSavePercentage",2013
49,49,"Alistair Presnell",59,54.74,52,95,31,"SandSavePercentage",2013
49,49,"Jimmy Walker",84,54.74,75,137,33,"SandSavePercentage",2013
51,51,"Steve Stricker",51,54.72,29,53,12,"SandSavePercentage",2013
52,52,"James Driscoll",76,54.26,70,129,47,"SandSavePercentage",2013
53,53,"Jonas Blixt",76,54.23,77,142,42,"SandSavePercentage",2013
54,54,"Camilo Villegas",79,54.21,58,107,33,"SandSavePercentage",2013
55,55,"Roberto Castro",97,53.96,75,139,42,"SandSavePercentage",2013
56,56,"Brendon de Jonge",110,53.9,83,154,46,"SandSavePercentage",2013
