"Approachesfrom5075yardsRgh_RANKTHISWEEK_2013","Approachesfrom5075yardsRgh_RANKLASTWEEK_2013","Approachesfrom5075yardsRgh_PLAYERNAME_2013","Approachesfrom5075yardsRgh_ROUNDS_2013","Approachesfrom5075yardsRgh_AVG_2013","Approachesfrom5075yardsRgh_TOTALDISTANCEFEET_2013","Approachesfrom5075yardsRgh_OFATTEMPTS_2013","Approachesfrom5075yardsRgh_RELATIVETOPAR_2013","stat_name","year"
1,1,"Nicolas Colsaerts",50,NA,13.333,2,0,"Approachesfrom5075yardsRgh",2013
2,2,"Mark Wilson",56,NA,25.75,3,-1,"Approachesfrom5075yardsRgh",2013
3,3,"John Merrick",79,NA,35.917,4,-1,"Approachesfrom5075yardsRgh",2013
4,4,"Scott Brown",65,NA,65.5,5,-1,"Approachesfrom5075yardsRgh",2013
5,5,"Brandt Snedeker",79,NA,83.167,6,-1,"Approachesfrom5075yardsRgh",2013
6,6,"Ryo Ishikawa",72,NA,141.167,10,-2,"Approachesfrom5075yardsRgh",2013
6,6,"Jimmy Walker",84,NA,169.333,12,3,"Approachesfrom5075yardsRgh",2013
8,8,"Michael Bradley",56,NA,128.917,9,-2,"Approachesfrom5075yardsRgh",2013
8,8,"Freddie Jacobson",63,NA,57.167,4,1,"Approachesfrom5075yardsRgh",2013
8,8,"Chez Reavie",72,NA,57.417,4,-2,"Approachesfrom5075yardsRgh",2013
11,11,"Robert Allenby",58,NA,73.167,5,2,"Approachesfrom5075yardsRgh",2013
11,11,"Steven Bowditch",67,NA,161.583,11,5,"Approachesfrom5075yardsRgh",2013
13,13,"Matt Kuchar",93,NA,178,12,2,"Approachesfrom5075yardsRgh",2013
14,14,"Trevor Immelman",73,NA,120,8,4,"Approachesfrom5075yardsRgh",2013
15,15,"Jerry Kelly",75,NA,135.833,9,0,"Approachesfrom5075yardsRgh",2013
16,16,"Bud Cauley",67,NA,137.333,9,2,"Approachesfrom5075yardsRgh",2013
17,17,"Rickie Fowler",75,NA,171.083,11,-1,"Approachesfrom5075yardsRgh",2013
18,18,"Matt Jones",83,NA,188.833,12,-3,"Approachesfrom5075yardsRgh",2013
18,18,"Chris Kirk",89,NA,94.583,6,0,"Approachesfrom5075yardsRgh",2013
20,20,"Pat Perez",69,NA,142.333,9,-1,"Approachesfrom5075yardsRgh",2013
21,21,"Mike Weir",60,NA,160,10,-1,"Approachesfrom5075yardsRgh",2013
22,22,"Doug LaBelle II",72,NA,160.5,10,7,"Approachesfrom5075yardsRgh",2013
22,22,"Nick Watney",88,NA,209.5,13,8,"Approachesfrom5075yardsRgh",2013
24,24,"David Hearn",88,NA,193.583,12,7,"Approachesfrom5075yardsRgh",2013
25,25,"Ben Crane",62,NA,163.833,10,2,"Approachesfrom5075yardsRgh",2013
25,25,"Bubba Watson",76,NA,229.833,14,1,"Approachesfrom5075yardsRgh",2013
27,27,"Jeff Overton",78,NA,247,15,2,"Approachesfrom5075yardsRgh",2013
28,28,"Tim Clark",64,NA,149.667,9,5,"Approachesfrom5075yardsRgh",2013
29,29,"John Rollins",77,NA,201.333,12,0,"Approachesfrom5075yardsRgh",2013
30,30,"Stuart Appleby",88,NA,188,11,4,"Approachesfrom5075yardsRgh",2013
30,30,"Hunter Mahan",91,NA,204.667,12,0,"Approachesfrom5075yardsRgh",2013
32,32,"Tom Gillis",69,NA,120.333,7,1,"Approachesfrom5075yardsRgh",2013
33,33,"Kevin Streelman",86,NA,120.583,7,7,"Approachesfrom5075yardsRgh",2013
34,34,"Josh Teater",86,NA,121.083,7,3,"Approachesfrom5075yardsRgh",2013
35,35,"Chris Stroud",88,NA,87.75,5,-1,"Approachesfrom5075yardsRgh",2013
36,36,"Sangmoon Bae",83,NA,265.25,15,3,"Approachesfrom5075yardsRgh",2013
36,36,"KJ Choi",85,NA,88.25,5,1,"Approachesfrom5075yardsRgh",2013
38,38,"Adam Scott",61,NA,106.667,6,-1,"Approachesfrom5075yardsRgh",2013
39,39,"Ricky Barnes",74,NA,161.667,9,2,"Approachesfrom5075yardsRgh",2013
40,40,"Nicholas Thompson",99,NA,234.917,13,-2,"Approachesfrom5075yardsRgh",2013
41,41,"David Lynn",70,NA,291.583,16,4,"Approachesfrom5075yardsRgh",2013
42,42,"Bobby Gates",49,NA,165.917,9,5,"Approachesfrom5075yardsRgh",2013
42,42,"Bill Haas",85,NA,276.5,15,-1,"Approachesfrom5075yardsRgh",2013
44,44,"Dustin Johnson",71,NA,203.333,11,0,"Approachesfrom5075yardsRgh",2013
45,45,"Luke Donald",60,NA,130.25,7,2,"Approachesfrom5075yardsRgh",2013
45,45,"Greg Owen",73,NA,316.417,17,6,"Approachesfrom5075yardsRgh",2013
47,47,"Ryan Moore",72,NA,130.583,7,0,"Approachesfrom5075yardsRgh",2013
