"Approaches_RANKTHISWEEK_2016","Approaches_RANKLASTWEEK_2016","Approaches_PLAYERNAME_2016","Approaches_ROUNDS_2016","Approaches_AVGRTP_2016","stat_name","year"
1,1,"Vaughn Taylor",30,-0.286,"Approaches",2016
2,3,"Henrik Norlander",41,-0.273,"Approaches",2016
3,21,"Mark Wilson",42,-0.25,"Approaches",2016
4,2,"Henrik Stenson",30,-0.222,"Approaches",2016
5,6,"Davis Love III",40,-0.214,"Approaches",2016
6,5,"Danny Lee",53,-0.2,"Approaches",2016
6,13,"Justin Leonard",28,-0.2,"Approaches",2016
6,6,"Vijay Singh",42,-0.2,"Approaches",2016
9,6,"Ryan Moore",40,-0.188,"Approaches",2016
10,13,"Fabian Gomez",49,-0.182,"Approaches",2016
10,10,"Brendan Steele",48,-0.182,"Approaches",2016
12,12,"Luke List",51,-0.16,"Approaches",2016
13,21,"Robert Streb",51,-0.158,"Approaches",2016
14,4,"Byeong Hun An",23,-0.154,"Approaches",2016
14,32,"Tim Wilkinson",40,-0.154,"Approaches",2016
16,10,"Scott Brown",59,-0.143,"Approaches",2016
16,18,"Jamie Donaldson",28,-0.143,"Approaches",2016
18,17,"Colt Knost",56,-0.136,"Approaches",2016
19,53,"Roberto Castro",55,-0.125,"Approaches",2016
20,19,"Peter Malnati",53,-0.121,"Approaches",2016
21,28,"Chris Kirk",51,-0.118,"Approaches",2016
22,29,"Jon Curran",55,-0.111,"Approaches",2016
22,29,"Ken Duke",26,-0.111,"Approaches",2016
22,24,"Ben Martin",48,-0.111,"Approaches",2016
22,21,"Ollie Schniederjans",23,-0.111,"Approaches",2016
26,13,"Patton Kizzire",57,-0.105,"Approaches",2016
27,32,"Jerry Kelly",44,-0.1,"Approaches",2016
27,32,"Shane Lowry",35,-0.1,"Approaches",2016
27,32,"Dicky Pride",33,-0.1,"Approaches",2016
30,36,"Brandt Snedeker",47,-0.095,"Approaches",2016
31,26,"Martin Piller",37,-0.091,"Approaches",2016
31,54,"Chris Stroud",52,-0.091,"Approaches",2016
33,39,"Wes Roach",33,-0.083,"Approaches",2016
34,109,"Adam Scott",39,-0.077,"Approaches",2016
34,54,"Cameron Tringale",47,-0.077,"Approaches",2016
36,42,"Jamie Lovemark",57,-0.071,"Approaches",2016
36,54,"William McGirt",54,-0.071,"Approaches",2016
38,44,"Jason Bohn",37,-0.067,"Approaches",2016
38,37,"DA Points",32,-0.067,"Approaches",2016
38,39,"Michael Thompson",46,-0.067,"Approaches",2016
41,45,"Tyler Aldridge",53,-0.065,"Approaches",2016
42,37,"Harris English",51,-0.063,"Approaches",2016
43,47,"Kevin Kisner",49,-0.059,"Approaches",2016
44,50,"Aaron Baddeley",51,-0.056,"Approaches",2016
44,47,"Graham DeLaet",50,-0.056,"Approaches",2016
44,54,"Rob Oppenheim",37,-0.056,"Approaches",2016
44,24,"Kevin Streelman",46,-0.056,"Approaches",2016
44,50,"Hudson Swafford",52,-0.056,"Approaches",2016
49,47,"Brett Stegmaier",57,-0.053,"Approaches",2016
50,9,"Alex Cejka",47,-0.05,"Approaches",2016
51,52,"Hunter Mahan",43,-0.048,"Approaches",2016
52,54,"Thomas Aiken",42,0,"Approaches",2016
52,54,"Charlie Beljan",26,0,"Approaches",2016
52,96,"Bronson Burgoon",53,0,"Approaches",2016
52,20,"Erik Compton",45,0,"Approaches",2016
52,54,"Jason Day",36,0,"Approaches",2016
52,54,"Tony Finau",49,0,"Approaches",2016
52,54,"Matthew Fitzpatrick",23,0,"Approaches",2016
52,54,"Sergio Garcia",28,0,"Approaches",2016
52,54,"Andres Gonzales",46,0,"Approaches",2016
52,54,"Jason Gore",51,0,"Approaches",2016
52,54,"Branden Grace",31,0,"Approaches",2016
52,39,"Emiliano Grillo",47,0,"Approaches",2016
52,16,"Bill Haas",42,0,"Approaches",2016
52,54,"James Hahn",45,0,"Approaches",2016
52,31,"Michael Kim",62,0,"Approaches",2016
52,54,"Brooks Koepka",39,0,"Approaches",2016
52,54,"Matt Kuchar",46,0,"Approaches",2016
52,54,"Rory McIlroy",37,0,"Approaches",2016
52,54,"Francesco Molinari",36,0,"Approaches",2016
52,54,"Kevin Na",52,0,"Approaches",2016
52,54,"Louis Oosthuizen",25,0,"Approaches",2016
52,46,"Scott Pinckney",53,0,"Approaches",2016
52,54,"Kyle Reifers",63,0,"Approaches",2016
52,26,"Justin Rose",35,0,"Approaches",2016
52,123,"John Senden",48,0,"Approaches",2016
52,54,"Darron Stiles",28,0,"Approaches",2016
52,54,"Steve Stricker",25,0,"Approaches",2016
52,54,"Brian Stuard",24,0,"Approaches",2016
52,54,"Andy Sullivan",25,0,"Approaches",2016
52,42,"Daniel Summerhays",55,0,"Approaches",2016
52,128,"Johnson Wagner",44,0,"Approaches",2016
52,54,"Bubba Watson",30,0,"Approaches",2016
