"EarlyScoringAverage_RANKTHISWEEK_2015","EarlyScoringAverage_RANKLASTWEEK_2015","EarlyScoringAverage_PLAYERNAME_2015","EarlyScoringAverage_ROUNDS_2015","EarlyScoringAverage_AVG_2015","EarlyScoringAverage_TOTALSTROKES_2015","EarlyScoringAverage_TOTALEARLYROUNDS_2015","stat_name","year"
1,1,"Jason Day",75,68.19,1841,27,"EarlyScoringAverage",2015
2,2,"Henrik Stenson",63,68.64,1510,22,"EarlyScoringAverage",2015
3,3,"Will Wilcox",58,68.68,1923,28,"EarlyScoringAverage",2015
4,4,"Dustin Johnson",75,69.13,2074,30,"EarlyScoringAverage",2015
5,5,"Jordan Spieth",91,69.18,1937,28,"EarlyScoringAverage",2015
6,6,"Jerry Kelly",79,69.36,2705,39,"EarlyScoringAverage",2015
7,7,"Jason Bohn",95,69.57,3061,44,"EarlyScoringAverage",2015
8,8,"Matt Kuchar",97,69.59,2853,41,"EarlyScoringAverage",2015
9,9,"Patrick Rodgers",57,69.68,1742,25,"EarlyScoringAverage",2015
10,10,"Zach Johnson",90,69.69,2439,35,"EarlyScoringAverage",2015
11,11,"Hideki Matsuyama",95,69.7,2788,40,"EarlyScoringAverage",2015
11,11,"Bubba Watson",71,69.7,1603,23,"EarlyScoringAverage",2015
13,13,"Tony Finau",106,69.71,3555,51,"EarlyScoringAverage",2015
14,14,"Keegan Bradley",87,69.77,3070,44,"EarlyScoringAverage",2015
14,14,"Justin Thomas",106,69.77,3070,44,"EarlyScoringAverage",2015
16,16,"Webb Simpson",81,69.8,2792,40,"EarlyScoringAverage",2015
17,17,"Brendan Steele",88,69.82,3142,45,"EarlyScoringAverage",2015
18,18,"Paul Casey",87,69.83,2793,40,"EarlyScoringAverage",2015
19,19,"Patrick Reed",103,69.84,3143,45,"EarlyScoringAverage",2015
20,20,"George McNeill",93,69.86,3074,44,"EarlyScoringAverage",2015
20,20,"Kevin Na",98,69.86,3004,43,"EarlyScoringAverage",2015
22,22,"Colt Knost",90,69.89,3215,46,"EarlyScoringAverage",2015
22,22,"Brooks Koepka",84,69.89,2586,37,"EarlyScoringAverage",2015
22,22,"Rory Sabbatini",81,69.89,2586,37,"EarlyScoringAverage",2015
25,25,"Jim Herman",88,69.91,3146,45,"EarlyScoringAverage",2015
25,25,"Chez Reavie",56,69.91,2237,32,"EarlyScoringAverage",2015
27,27,"Matt Jones",89,69.93,2797,40,"EarlyScoringAverage",2015
27,27,"Robert Streb",110,69.93,3776,54,"EarlyScoringAverage",2015
29,29,"Shawn Stefani",94,69.94,3357,48,"EarlyScoringAverage",2015
30,30,"Pat Perez",96,69.96,3638,52,"EarlyScoringAverage",2015
31,31,"Jonathan Byrd",69,69.97,2239,32,"EarlyScoringAverage",2015
32,32,"Kevin Chappell",86,69.98,3149,45,"EarlyScoringAverage",2015
32,32,"Daniel Summerhays",101,69.98,3639,52,"EarlyScoringAverage",2015
34,34,"Charley Hoffman",97,70,3220,46,"EarlyScoringAverage",2015
35,35,"Steve Wheatcroft",87,70.03,2801,40,"EarlyScoringAverage",2015
36,36,"Chad Campbell",97,70.04,3152,45,"EarlyScoringAverage",2015
36,36,"Charles Howell III",105,70.04,3922,56,"EarlyScoringAverage",2015
38,38,"William McGirt",103,70.05,4133,59,"EarlyScoringAverage",2015
39,39,"Steven Bowditch",103,70.06,3783,54,"EarlyScoringAverage",2015
40,40,"Jim Furyk",71,70.08,1822,26,"EarlyScoringAverage",2015
41,41,"Harris English",105,70.11,3786,54,"EarlyScoringAverage",2015
42,42,"Andres Gonzales",90,70.12,2875,41,"EarlyScoringAverage",2015
42,42,"Jeff Overton",94,70.12,3436,49,"EarlyScoringAverage",2015
44,44,"Brandt Snedeker",98,70.13,3296,47,"EarlyScoringAverage",2015
45,45,"Daniel Berger",97,70.14,3016,43,"EarlyScoringAverage",2015
45,45,"Ben Martin",93,70.14,3016,43,"EarlyScoringAverage",2015
47,47,"Cameron Percy",72,70.15,2315,33,"EarlyScoringAverage",2015
48,48,"Steven Alker",62,70.19,2246,32,"EarlyScoringAverage",2015
48,48,"Mark Hubbard",79,70.19,2597,37,"EarlyScoringAverage",2015
50,50,"Russell Henley",87,70.23,3090,44,"EarlyScoringAverage",2015
50,50,"Hudson Swafford",97,70.23,3090,44,"EarlyScoringAverage",2015
52,52,"Spencer Levin",99,70.24,3231,46,"EarlyScoringAverage",2015
53,53,"Zac Blair",108,70.25,3864,55,"EarlyScoringAverage",2015
53,53,"Erik Compton",86,70.25,3091,44,"EarlyScoringAverage",2015
53,53,"Nick Watney",91,70.25,3091,44,"EarlyScoringAverage",2015
56,56,"Jonas Blixt",78,70.26,2459,35,"EarlyScoringAverage",2015
56,56,"Stewart Cink",77,70.26,2670,38,"EarlyScoringAverage",2015
56,56,"Danny Lee",120,70.26,4075,58,"EarlyScoringAverage",2015
56,56,"Michael Putnam",87,70.26,3232,46,"EarlyScoringAverage",2015
56,56,"Jimmy Walker",89,70.26,3232,46,"EarlyScoringAverage",2015
61,61,"Marc Leishman",74,70.27,2600,37,"EarlyScoringAverage",2015
62,62,"Russell Knox",96,70.28,3233,46,"EarlyScoringAverage",2015
63,63,"Graham DeLaet",65,70.29,2390,34,"EarlyScoringAverage",2015
63,63,"Brian Harman",90,70.29,2952,42,"EarlyScoringAverage",2015
65,65,"Brendon Todd",96,70.3,3234,46,"EarlyScoringAverage",2015
66,66,"Francesco Molinari",56,70.31,2039,29,"EarlyScoringAverage",2015
66,66,"John Peterson",84,70.31,3445,49,"EarlyScoringAverage",2015
68,68,"James Hahn",94,70.33,3657,52,"EarlyScoringAverage",2015
68,68,"Billy Hurley III",83,70.33,3165,45,"EarlyScoringAverage",2015
70,70,"Chad Collins",79,70.34,3095,44,"EarlyScoringAverage",2015
71,71,"Johnson Wagner",68,70.37,2463,35,"EarlyScoringAverage",2015
72,72,"Martin Flores",95,70.38,3378,48,"EarlyScoringAverage",2015
73,73,"John Merrick",78,70.39,2534,36,"EarlyScoringAverage",2015
74,74,"Kevin Kisner",104,70.4,3661,52,"EarlyScoringAverage",2015
74,74,"Bryce Molder",91,70.4,3168,45,"EarlyScoringAverage",2015
76,76,"Jason Dufner",76,70.42,2676,38,"EarlyScoringAverage",2015
77,77,"JB Holmes",89,70.43,2817,40,"EarlyScoringAverage",2015
78,78,"Kyle Reifers",96,70.44,3804,54,"EarlyScoringAverage",2015
79,79,"David Lingmerth",90,70.47,2678,38,"EarlyScoringAverage",2015
79,79,"Carlos Ortiz",100,70.47,3453,49,"EarlyScoringAverage",2015
81,81,"Brendon de Jonge",106,70.51,3737,53,"EarlyScoringAverage",2015
