"PuttsMadePerEventOver10_RANKTHISWEEK_2008","PuttsMadePerEventOver10_RANKLASTWEEK_2008","PuttsMadePerEventOver10_PLAYERNAME_2008","PuttsMadePerEventOver10_ROUNDS_2008","PuttsMadePerEventOver10_PUTTSMADE_2008","stat_name","year"
1,1,"KJ Choi",74,6.8,"PuttsMadePerEventOver10",2008
1,1,"Justin Leonard",101,6.8,"PuttsMadePerEventOver10",2008
3,3,"Woody Austin",109,6.7,"PuttsMadePerEventOver10",2008
3,3,"Stewart Cink",87,6.7,"PuttsMadePerEventOver10",2008
3,3,"Ben Crane",86,6.7,"PuttsMadePerEventOver10",2008
6,6,"Sergio Garcia",72,6.4,"PuttsMadePerEventOver10",2008
6,6,"Steve Marino",119,6.4,"PuttsMadePerEventOver10",2008
6,6,"Camilo Villegas",79,6.4,"PuttsMadePerEventOver10",2008
9,9,"Kevin Sutherland",98,6.3,"PuttsMadePerEventOver10",2008
10,10,"Chad Campbell",94,6.2,"PuttsMadePerEventOver10",2008
10,10,"Ryan Palmer",69,6.2,"PuttsMadePerEventOver10",2008
10,10,"Mark Wilson",107,6.2,"PuttsMadePerEventOver10",2008
13,13,"Robert Allenby",108,6.1,"PuttsMadePerEventOver10",2008
13,13,"Ken Duke",116,6.1,"PuttsMadePerEventOver10",2008
13,13,"Hunter Mahan",87,6.1,"PuttsMadePerEventOver10",2008
13,13,"Pat Perez",93,6.1,"PuttsMadePerEventOver10",2008
13,13,"Kenny Perry",97,6.1,"PuttsMadePerEventOver10",2008
13,13,"Rory Sabbatini",77,6.1,"PuttsMadePerEventOver10",2008
13,13,"Adam Scott",51,6.1,"PuttsMadePerEventOver10",2008
13,13,"Bob Tway",70,6.1,"PuttsMadePerEventOver10",2008
21,21,"Brian Gay",102,5.9,"PuttsMadePerEventOver10",2008
21,21,"Phil Mickelson",80,5.9,"PuttsMadePerEventOver10",2008
21,21,"Carl Pettersson",110,5.9,"PuttsMadePerEventOver10",2008
21,21,"Patrick Sheehan",124,5.9,"PuttsMadePerEventOver10",2008
25,25,"Jim Furyk",95,5.8,"PuttsMadePerEventOver10",2008
25,25,"Dudley Hart",74,5.8,"PuttsMadePerEventOver10",2008
25,25,"Parker McLachlin",88,5.8,"PuttsMadePerEventOver10",2008
25,25,"Nick OHern",82,5.8,"PuttsMadePerEventOver10",2008
25,25,"Ian Poulter",51,5.8,"PuttsMadePerEventOver10",2008
30,30,"Stephen Ames",83,5.7,"PuttsMadePerEventOver10",2008
30,30,"Stuart Appleby",87,5.7,"PuttsMadePerEventOver10",2008
30,30,"Eric Axley",113,5.7,"PuttsMadePerEventOver10",2008
30,30,"Jonathan Byrd",88,5.7,"PuttsMadePerEventOver10",2008
30,30,"Steve Flesch",95,5.7,"PuttsMadePerEventOver10",2008
30,30,"Tim Herron",97,5.7,"PuttsMadePerEventOver10",2008
30,30,"Geoff Ogilvy",65,5.7,"PuttsMadePerEventOver10",2008
37,37,"Daniel Chopra",84,5.6,"PuttsMadePerEventOver10",2008
37,37,"Zach Johnson",85,5.6,"PuttsMadePerEventOver10",2008
39,39,"Aaron Baddeley",76,5.5,"PuttsMadePerEventOver10",2008
39,39,"Shane Bertsch",96,5.5,"PuttsMadePerEventOver10",2008
39,39,"Paul Casey",55,5.5,"PuttsMadePerEventOver10",2008
39,39,"Chad Collins",72,5.5,"PuttsMadePerEventOver10",2008
39,39,"Steve Elkington",84,5.5,"PuttsMadePerEventOver10",2008
39,39,"Todd Hamilton",92,5.5,"PuttsMadePerEventOver10",2008
39,39,"JB Holmes",86,5.5,"PuttsMadePerEventOver10",2008
39,39,"Anthony Kim",81,5.5,"PuttsMadePerEventOver10",2008
39,39,"John Mallinger",95,5.5,"PuttsMadePerEventOver10",2008
39,39,"Corey Pavin",69,5.5,"PuttsMadePerEventOver10",2008
39,39,"Tom Pernice Jr",104,5.5,"PuttsMadePerEventOver10",2008
39,39,"Charlie Wi",97,5.5,"PuttsMadePerEventOver10",2008
51,51,"Glen Day",64,5.4,"PuttsMadePerEventOver10",2008
51,51,"Davis Love III",78,5.4,"PuttsMadePerEventOver10",2008
51,51,"George McNeill",97,5.4,"PuttsMadePerEventOver10",2008
51,51,"Steve Stricker",75,5.4,"PuttsMadePerEventOver10",2008
51,51,"Johnson Wagner",83,5.4,"PuttsMadePerEventOver10",2008
51,51,"Nick Watney",96,5.4,"PuttsMadePerEventOver10",2008
57,57,"Tim Clark",90,5.3,"PuttsMadePerEventOver10",2008
57,57,"Lucas Glover",91,5.3,"PuttsMadePerEventOver10",2008
57,57,"Ryuji Imada",80,5.3,"PuttsMadePerEventOver10",2008
57,57,"Richard Johnson",60,5.3,"PuttsMadePerEventOver10",2008
57,57,"Kevin Na",97,5.3,"PuttsMadePerEventOver10",2008
57,57,"Tim Petrovic",97,5.3,"PuttsMadePerEventOver10",2008
57,57,"Chez Reavie",102,5.3,"PuttsMadePerEventOver10",2008
57,57,"Andres Romero",69,5.3,"PuttsMadePerEventOver10",2008
57,57,"Dean Wilson",109,5.3,"PuttsMadePerEventOver10",2008
66,66,"Mathew Goggin",91,5.2,"PuttsMadePerEventOver10",2008
66,66,"Nathan Green",95,5.2,"PuttsMadePerEventOver10",2008
66,66,"John Huston",56,5.2,"PuttsMadePerEventOver10",2008
66,66,"Craig Kanada",65,5.2,"PuttsMadePerEventOver10",2008
66,66,"Greg Kraft",63,5.2,"PuttsMadePerEventOver10",2008
71,71,"Gavin Coles",54,5.1,"PuttsMadePerEventOver10",2008
71,71,"Brian Davis",108,5.1,"PuttsMadePerEventOver10",2008
71,71,"Billy Mayfair",103,5.1,"PuttsMadePerEventOver10",2008
71,71,"Joe Ogilvie",100,5.1,"PuttsMadePerEventOver10",2008
71,71,"Jeff Overton",103,5.1,"PuttsMadePerEventOver10",2008
71,71,"Jeff Quinney",87,5.1,"PuttsMadePerEventOver10",2008
71,71,"John Senden",93,5.1,"PuttsMadePerEventOver10",2008
71,71,"David Toms",70,5.1,"PuttsMadePerEventOver10",2008
71,71,"Marc Turnesa",87,5.1,"PuttsMadePerEventOver10",2008
71,71,"Mike Weir",88,5.1,"PuttsMadePerEventOver10",2008
81,81,"Ernie Els",51,5,"PuttsMadePerEventOver10",2008
81,81,"Freddie Jacobson",78,5,"PuttsMadePerEventOver10",2008
81,81,"Martin Laird",98,5,"PuttsMadePerEventOver10",2008
81,81,"Frank Lickliter II",107,5,"PuttsMadePerEventOver10",2008
81,81,"Brandt Snedeker",85,5,"PuttsMadePerEventOver10",2008
81,81,"Kevin Streelman",114,5,"PuttsMadePerEventOver10",2008
81,81,"DJ Trahan",94,5,"PuttsMadePerEventOver10",2008
88,88,"Briny Baird",113,4.9,"PuttsMadePerEventOver10",2008
88,88,"Rich Beem",90,4.9,"PuttsMadePerEventOver10",2008
88,88,"Bob Estes",90,4.9,"PuttsMadePerEventOver10",2008
88,88,"Carlos Franco",73,4.9,"PuttsMadePerEventOver10",2008
88,88,"Jason Gore",94,4.9,"PuttsMadePerEventOver10",2008
88,88,"Paul Goydos",78,4.9,"PuttsMadePerEventOver10",2008
88,88,"Mathias Gronberg",87,4.9,"PuttsMadePerEventOver10",2008
88,88,"Vaughn Taylor",103,4.9,"PuttsMadePerEventOver10",2008
96,96,"Fred Couples",60,4.8,"PuttsMadePerEventOver10",2008
96,96,"Ben Curtis",80,4.8,"PuttsMadePerEventOver10",2008
96,96,"Robert Garrigus",90,4.8,"PuttsMadePerEventOver10",2008
96,96,"Charles Howell III",101,4.8,"PuttsMadePerEventOver10",2008
96,96,"Brett Quigley",80,4.8,"PuttsMadePerEventOver10",2008
96,96,"Jimmy Walker",73,4.8,"PuttsMadePerEventOver10",2008
102,102,"Michael Allen",91,4.7,"PuttsMadePerEventOver10",2008
102,102,"Bart Bryant",81,4.7,"PuttsMadePerEventOver10",2008
102,102,"Chris DiMarco",87,4.7,"PuttsMadePerEventOver10",2008
102,102,"Nick Flanagan",89,4.7,"PuttsMadePerEventOver10",2008
102,102,"Bill Haas",99,4.7,"PuttsMadePerEventOver10",2008
102,102,"Padraig Harrington",52,4.7,"PuttsMadePerEventOver10",2008
102,102,"Kent Jones",68,4.7,"PuttsMadePerEventOver10",2008
102,102,"Matt Kuchar",88,4.7,"PuttsMadePerEventOver10",2008
