"GIRPercentagefromFairway_RANKTHISWEEK_2007","GIRPercentagefromFairway_RANKLASTWEEK_2007","GIRPercentagefromFairway_PLAYERNAME_2007","GIRPercentagefromFairway_ROUNDS_2007","GIRPercentagefromFairway_Pct_2007","GIRPercentagefromFairway_GREENSHIT_2007","GIRPercentagefromFairway_OFHOLES_2007","stat_name","year"
1,1,"Jeff Gove",103,81.97,773,943,"GIRPercentagefromFairway",2007
2,2,"Stewart Cink",91,81.09,566,698,"GIRPercentagefromFairway",2007
3,3,"Adam Scott",69,80.99,460,568,"GIRPercentagefromFairway",2007
4,4,"Tiger Woods",63,80.79,408,505,"GIRPercentagefromFairway",2007
5,5,"Robert Allenby",90,80.13,609,760,"GIRPercentagefromFairway",2007
6,6,"Briny Baird",115,80.02,821,1026,"GIRPercentagefromFairway",2007
7,7,"KJ Choi",87,79.79,616,772,"GIRPercentagefromFairway",2007
8,8,"Stephen Leaney",82,79.63,598,751,"GIRPercentagefromFairway",2007
9,9,"Cameron Beckman",96,79.54,692,870,"GIRPercentagefromFairway",2007
10,10,"Phil Mickelson",73,79.33,449,566,"GIRPercentagefromFairway",2007
11,11,"Johnson Wagner",97,79.29,689,869,"GIRPercentagefromFairway",2007
12,12,"Bubba Watson",80,79.19,491,620,"GIRPercentagefromFairway",2007
13,13,"Tom Lehman",62,78.92,438,555,"GIRPercentagefromFairway",2007
14,14,"John Merrick",92,78.84,596,756,"GIRPercentagefromFairway",2007
15,15,"Kent Jones",97,78.64,729,927,"GIRPercentagefromFairway",2007
16,16,"Steve Stricker",81,78.6,562,715,"GIRPercentagefromFairway",2007
17,17,"Camilo Villegas",82,78.57,539,686,"GIRPercentagefromFairway",2007
18,18,"Billy Andrade",88,78.46,572,729,"GIRPercentagefromFairway",2007
19,19,"Kevin Sutherland",85,78.44,564,719,"GIRPercentagefromFairway",2007
20,20,"Michael Putnam",96,78.4,606,773,"GIRPercentagefromFairway",2007
21,21,"Alex Cejka",80,78.24,579,740,"GIRPercentagefromFairway",2007
22,22,"Hunter Mahan",91,78.09,677,867,"GIRPercentagefromFairway",2007
23,23,"Craig Barlow",52,78.05,345,442,"GIRPercentagefromFairway",2007
24,24,"Nick Watney",87,78.03,579,742,"GIRPercentagefromFairway",2007
25,25,"Tim Herron",98,78.02,632,810,"GIRPercentagefromFairway",2007
26,26,"DJ Trahan",99,77.94,703,902,"GIRPercentagefromFairway",2007
27,27,"Greg Owen",81,77.89,553,710,"GIRPercentagefromFairway",2007
28,28,"Charles Howell III",89,77.82,463,595,"GIRPercentagefromFairway",2007
29,29,"Mathew Goggin",97,77.8,708,910,"GIRPercentagefromFairway",2007
30,30,"Ted Purdy",102,77.75,685,881,"GIRPercentagefromFairway",2007
31,31,"Jim Furyk",84,77.65,667,859,"GIRPercentagefromFairway",2007
32,32,"DJ Brigman",67,77.55,425,548,"GIRPercentagefromFairway",2007
33,33,"Matt Kuchar",85,77.53,583,752,"GIRPercentagefromFairway",2007
34,34,"Tommy Armour III",81,77.48,585,755,"GIRPercentagefromFairway",2007
34,34,"Steve Flesch",100,77.48,688,888,"GIRPercentagefromFairway",2007
36,36,"Lucas Glover",98,77.43,676,873,"GIRPercentagefromFairway",2007
37,37,"Vijay Singh",102,77.42,648,837,"GIRPercentagefromFairway",2007
38,38,"Brett Quigley",79,77.41,473,611,"GIRPercentagefromFairway",2007
39,39,"Will Ma Kenzie",100,77.39,671,867,"GIRPercentagefromFairway",2007
40,40,"Pat Perez",84,77.34,529,684,"GIRPercentagefromFairway",2007
41,41,"Brett Wetterich",88,77.32,549,710,"GIRPercentagefromFairway",2007
42,42,"Justin Leonard",95,77.28,721,933,"GIRPercentagefromFairway",2007
43,43,"Trevor Immelman",74,77.26,479,620,"GIRPercentagefromFairway",2007
43,43,"John Senden",97,77.26,693,897,"GIRPercentagefromFairway",2007
45,45,"Robert Garrigus",95,77.21,542,702,"GIRPercentagefromFairway",2007
46,46,"Michael Allen",74,77.19,484,627,"GIRPercentagefromFairway",2007
47,47,"Richard Johnson",93,77.11,640,830,"GIRPercentagefromFairway",2007
48,48,"Harrison Frazar",88,77.07,511,663,"GIRPercentagefromFairway",2007
49,49,"Chris Stroud",66,77.05,460,597,"GIRPercentagefromFairway",2007
50,50,"JJ Henry",86,76.93,587,763,"GIRPercentagefromFairway",2007
51,51,"Jeff Sluman",60,76.79,354,461,"GIRPercentagefromFairway",2007
51,51,"Bob Tway",103,76.79,642,836,"GIRPercentagefromFairway",2007
53,53,"Jason Dufner",100,76.77,651,848,"GIRPercentagefromFairway",2007
54,54,"Chad Campbell",96,76.67,608,793,"GIRPercentagefromFairway",2007
55,55,"Kenny Perry",83,76.64,571,745,"GIRPercentagefromFairway",2007
56,56,"Bill Haas",93,76.57,598,781,"GIRPercentagefromFairway",2007
56,56,"Kyle Reifers",71,76.57,438,572,"GIRPercentagefromFairway",2007
58,58,"Marco Dawson",73,76.56,454,593,"GIRPercentagefromFairway",2007
59,59,"Michael Sim",52,76.55,346,452,"GIRPercentagefromFairway",2007
60,60,"Jeff Overton",60,76.5,394,515,"GIRPercentagefromFairway",2007
61,61,"Mathias Gronberg",95,76.49,605,791,"GIRPercentagefromFairway",2007
62,62,"Billy Mayfair",98,76.48,738,965,"GIRPercentagefromFairway",2007
62,62,"Brandt Snedeker",105,76.48,644,842,"GIRPercentagefromFairway",2007
64,64,"Bo Van Pelt",104,76.39,686,898,"GIRPercentagefromFairway",2007
65,65,"Charlie Wi",90,76.38,624,817,"GIRPercentagefromFairway",2007
66,66,"Freddie Jacobson",70,76.36,478,626,"GIRPercentagefromFairway",2007
67,67,"Jim Rutledge",59,76.25,395,518,"GIRPercentagefromFairway",2007
68,68,"Rod Pampling",92,76.21,612,803,"GIRPercentagefromFairway",2007
69,69,"Brendon de Jonge",76,76.13,453,595,"GIRPercentagefromFairway",2007
69,69,"Tag Ridings",52,76.13,303,398,"GIRPercentagefromFairway",2007
71,71,"John Rollins",102,76.12,698,917,"GIRPercentagefromFairway",2007
72,72,"Joe Durant",88,76.08,687,903,"GIRPercentagefromFairway",2007
73,73,"Steve Allan",63,76.06,375,493,"GIRPercentagefromFairway",2007
74,74,"Ryan Palmer",91,76.05,559,735,"GIRPercentagefromFairway",2007
75,75,"Stephen Ames",81,76.04,546,718,"GIRPercentagefromFairway",2007
76,76,"Shigeki Maruyama",84,75.92,555,731,"GIRPercentagefromFairway",2007
77,77,"Joe Ogilvie",102,75.9,633,834,"GIRPercentagefromFairway",2007
78,78,"Justin Rose",63,75.85,402,530,"GIRPercentagefromFairway",2007
79,79,"Jarrod Lyle",77,75.81,470,620,"GIRPercentagefromFairway",2007
79,79,"Mark Wilson",87,75.81,586,773,"GIRPercentagefromFairway",2007
81,81,"Duffy Waldorf",69,75.8,476,628,"GIRPercentagefromFairway",2007
81,81,"Charles Warren",101,75.8,714,942,"GIRPercentagefromFairway",2007
83,83,"Cliff Kresge",107,75.79,692,913,"GIRPercentagefromFairway",2007
84,84,"Lee Janzen",66,75.76,400,528,"GIRPercentagefromFairway",2007
85,85,"Boo Weekley",101,75.74,665,878,"GIRPercentagefromFairway",2007
86,86,"Mark Calcavecchia",93,75.71,614,811,"GIRPercentagefromFairway",2007
87,87,"Jerry Kelly",101,75.7,704,930,"GIRPercentagefromFairway",2007
88,88,"Rich Barcelo",80,75.67,479,633,"GIRPercentagefromFairway",2007
89,89,"Steve Marino",106,75.66,656,867,"GIRPercentagefromFairway",2007
90,90,"Sean OHair",98,75.65,674,891,"GIRPercentagefromFairway",2007
91,91,"Darron Stiles",65,75.64,441,583,"GIRPercentagefromFairway",2007
92,92,"Andrew Buckle",77,75.61,462,611,"GIRPercentagefromFairway",2007
93,93,"Sergio Garcia",68,75.58,393,520,"GIRPercentagefromFairway",2007
94,94,"David Toms",80,75.53,531,703,"GIRPercentagefromFairway",2007
94,94,"Kirk Triplett",77,75.53,571,756,"GIRPercentagefromFairway",2007
96,96,"Scott Gutschewski",67,75.46,372,493,"GIRPercentagefromFairway",2007
97,97,"Anthony Kim",93,75.45,593,786,"GIRPercentagefromFairway",2007
98,98,"Jeff Brehaut",59,75.43,396,525,"GIRPercentagefromFairway",2007
99,99,"Bryce Molder",56,75.42,313,415,"GIRPercentagefromFairway",2007
100,100,"Jesper Parnevik",88,75.31,549,729,"GIRPercentagefromFairway",2007
101,101,"Jonathan Byrd",73,75.29,460,611,"GIRPercentagefromFairway",2007
102,102,"Ryan Armour",107,75.27,761,1011,"GIRPercentagefromFairway",2007
103,103,"JP Hayes",89,75.23,571,759,"GIRPercentagefromFairway",2007
104,104,"Chris Couch",76,75.21,452,601,"GIRPercentagefromFairway",2007
105,105,"Mark Hensby",81,75.17,539,717,"GIRPercentagefromFairway",2007
106,106,"Ryuji Imada",104,75.15,617,821,"GIRPercentagefromFairway",2007
107,107,"Troy Matteson",87,75.14,547,728,"GIRPercentagefromFairway",2007
108,108,"Daisuke Maruyama",86,75.13,580,772,"GIRPercentagefromFairway",2007
109,109,"Ryan Moore",92,75.09,618,823,"GIRPercentagefromFairway",2007
110,110,"Ernie Els",59,75.05,349,465,"GIRPercentagefromFairway",2007
111,111,"Peter Lonard",85,75.03,565,753,"GIRPercentagefromFairway",2007
111,111,"Jeff Quinney",95,75.03,658,877,"GIRPercentagefromFairway",2007
113,113,"Davis Love III",66,75,402,536,"GIRPercentagefromFairway",2007
113,113,"Geoff Ogilvy",84,75,486,648,"GIRPercentagefromFairway",2007
115,115,"Bob Estes",88,74.97,602,803,"GIRPercentagefromFairway",2007
115,115,"Shaun Micheel",91,74.97,626,835,"GIRPercentagefromFairway",2007
117,117,"JB Holmes",71,74.96,425,567,"GIRPercentagefromFairway",2007
118,118,"Steve Lowery",74,74.92,493,658,"GIRPercentagefromFairway",2007
119,119,"Joey Sindelar",75,74.89,510,681,"GIRPercentagefromFairway",2007
120,120,"Frank Lickliter II",95,74.86,652,871,"GIRPercentagefromFairway",2007
120,120,"Carl Pettersson",111,74.86,688,919,"GIRPercentagefromFairway",2007
122,122,"Paul Stankowski",52,74.81,300,401,"GIRPercentagefromFairway",2007
123,123,"Craig Kanada",109,74.77,723,967,"GIRPercentagefromFairway",2007
124,124,"Woody Austin",95,74.73,627,839,"GIRPercentagefromFairway",2007
125,125,"Jeff Maggert",79,74.69,543,727,"GIRPercentagefromFairway",2007
126,126,"Eric Axley",107,74.64,624,836,"GIRPercentagefromFairway",2007
127,127,"Charley Hoffman",97,74.55,577,774,"GIRPercentagefromFairway",2007
128,128,"Aaron Baddeley",83,74.52,503,675,"GIRPercentagefromFairway",2007
129,129,"Chris Riley",59,74.5,409,549,"GIRPercentagefromFairway",2007
130,130,"Daniel Chopra",106,74.48,610,819,"GIRPercentagefromFairway",2007
131,131,"Jason Gore",86,74.47,566,760,"GIRPercentagefromFairway",2007
132,132,"Doug LaBelle II",104,74.41,756,1016,"GIRPercentagefromFairway",2007
133,133,"Tom Johnson",74,74.34,481,647,"GIRPercentagefromFairway",2007
134,134,"Retief Goosen",50,74.31,269,362,"GIRPercentagefromFairway",2007
135,135,"Robert Gamez",88,74.26,603,812,"GIRPercentagefromFairway",2007
136,136,"Vaughn Taylor",91,74.23,579,780,"GIRPercentagefromFairway",2007
137,137,"Jay Williamson",50,74.21,377,508,"GIRPercentagefromFairway",2007
138,138,"Stuart Appleby",74,74.19,460,620,"GIRPercentagefromFairway",2007
139,139,"David Branshaw",83,74.08,563,760,"GIRPercentagefromFairway",2007
140,140,"Ben Curtis",80,74.02,564,762,"GIRPercentagefromFairway",2007
141,141,"Rich Beem",89,73.99,603,815,"GIRPercentagefromFairway",2007
