"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2015","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2015","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2015","AverageDistancetoHoleAfterTeeShot_ROUNDS_2015","AverageDistancetoHoleAfterTeeShot_AVG_2015","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2015","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2015","stat_name","year"
1,1,"Bubba Watson",71,149.8,4202084,779,"AverageDistancetoHoleAfterTeeShot",2015
2,2,"Dustin Johnson",75,156.6,4198689,745,"AverageDistancetoHoleAfterTeeShot",2015
3,3,"Patrick Rodgers",57,157.5,3571867,630,"AverageDistancetoHoleAfterTeeShot",2015
4,4,"Jason Day",75,157.7,4472917,788,"AverageDistancetoHoleAfterTeeShot",2015
5,5,"JB Holmes",89,161.4,5293645,911,"AverageDistancetoHoleAfterTeeShot",2015
6,6,"Brooks Koepka",84,163.3,5255622,894,"AverageDistancetoHoleAfterTeeShot",2015
7,7,"Jason Kokrak",88,164.2,6490053,1098,"AverageDistancetoHoleAfterTeeShot",2015
7,7,"Ryan Palmer",80,164.2,4397996,744,"AverageDistancetoHoleAfterTeeShot",2015
9,9,"Tony Finau",106,164.3,7439317,1258,"AverageDistancetoHoleAfterTeeShot",2015
10,10,"Adam Scott",51,165.2,2605589,438,"AverageDistancetoHoleAfterTeeShot",2015
11,11,"Charlie Beljan",76,165.6,4661481,782,"AverageDistancetoHoleAfterTeeShot",2015
12,12,"Justin Thomas",106,165.7,7772158,1303,"AverageDistancetoHoleAfterTeeShot",2015
13,13,"Steven Bowditch",103,166.4,7230261,1207,"AverageDistancetoHoleAfterTeeShot",2015
14,14,"Charley Hoffman",97,166.7,6300746,1050,"AverageDistancetoHoleAfterTeeShot",2015
15,15,"Derek Ernst",75,167.8,5261312,871,"AverageDistancetoHoleAfterTeeShot",2015
15,15,"Jimmy Walker",89,167.8,5333949,883,"AverageDistancetoHoleAfterTeeShot",2015
17,17,"Robert Garrigus",70,167.9,4527513,749,"AverageDistancetoHoleAfterTeeShot",2015
17,17,"Charles Howell III",105,167.9,8263523,1367,"AverageDistancetoHoleAfterTeeShot",2015
19,19,"Russell Henley",87,168.9,5637137,927,"AverageDistancetoHoleAfterTeeShot",2015
20,20,"Martin Flores",95,169.1,6653250,1093,"AverageDistancetoHoleAfterTeeShot",2015
21,21,"Morgan Hoffmann",85,169.4,5787028,949,"AverageDistancetoHoleAfterTeeShot",2015
21,21,"Carlos Ortiz",100,169.4,6946413,1139,"AverageDistancetoHoleAfterTeeShot",2015
21,21,"Robert Streb",110,169.4,8155469,1337,"AverageDistancetoHoleAfterTeeShot",2015
24,24,"Sergio Garcia",59,169.7,3042124,498,"AverageDistancetoHoleAfterTeeShot",2015
25,25,"Cameron Percy",72,169.8,4860503,795,"AverageDistancetoHoleAfterTeeShot",2015
25,25,"Scott Piercy",90,169.8,7022395,1149,"AverageDistancetoHoleAfterTeeShot",2015
27,27,"Billy Horschel",99,170,6200722,1013,"AverageDistancetoHoleAfterTeeShot",2015
27,27,"Gary Woodland",81,170,4523364,739,"AverageDistancetoHoleAfterTeeShot",2015
29,29,"Brian Harman",90,170.1,6626842,1082,"AverageDistancetoHoleAfterTeeShot",2015
