"PuttingfromInside5_RANKTHISWEEK_2006","PuttingfromInside5_RANKLASTWEEK_2006","PuttingfromInside5_PLAYERNAME_2006","PuttingfromInside5_ROUNDS_2006","PuttingfromInside5_Pct_2006","PuttingfromInside5_ATTEMPTS_2006","PuttingfromInside5_PUTTSMADE_2006","stat_name","year"
1,1,"Geoff Ogilvy",76,98.07,725,711,"PuttingfromInside5",2006
2,2,"Steve Stricker",64,98.06,720,706,"PuttingfromInside5",2006
3,3,"Jimmy Walker",60,97.95,780,764,"PuttingfromInside5",2006
4,4,"Stewart Cink",93,97.89,994,973,"PuttingfromInside5",2006
5,5,"JJ Henry",96,97.74,1106,1081,"PuttingfromInside5",2006
6,6,"Ian Poulter",53,97.56,574,560,"PuttingfromInside5",2006
7,7,"Robert Allenby",79,97.53,849,828,"PuttingfromInside5",2006
7,7,"Richard Johnson",94,97.53,1172,1143,"PuttingfromInside5",2006
7,7,"Heath Slocum",96,97.53,1214,1184,"PuttingfromInside5",2006
10,10,"Daniel Chopra",110,97.49,1237,1206,"PuttingfromInside5",2006
11,11,"Ryan Hietala",61,97.42,736,717,"PuttingfromInside5",2006
12,12,"Ernie Els",69,97.34,677,659,"PuttingfromInside5",2006
13,13,"Harrison Frazar",95,97.33,1048,1020,"PuttingfromInside5",2006
14,14,"Brad Faxon",78,97.31,1005,978,"PuttingfromInside5",2006
14,14,"Jose Maria Olazabal",62,97.31,558,543,"PuttingfromInside5",2006
16,16,"Jim Furyk",89,97.28,955,929,"PuttingfromInside5",2006
16,16,"Arron Oberholser",82,97.28,881,857,"PuttingfromInside5",2006
18,18,"KJ Choi",93,97.23,1120,1089,"PuttingfromInside5",2006
19,19,"Brett Quigley",109,97.22,1297,1261,"PuttingfromInside5",2006
20,20,"Scott Gutschewski",53,97.19,640,622,"PuttingfromInside5",2006
21,21,"Ben Crane",85,97.18,816,793,"PuttingfromInside5",2006
22,22,"John Cook",67,97.17,777,755,"PuttingfromInside5",2006
23,23,"Bart Bryant",87,97.15,1017,988,"PuttingfromInside5",2006
24,24,"Danny Ellis",68,97.14,838,814,"PuttingfromInside5",2006
24,24,"Trevor Immelman",86,97.14,1050,1020,"PuttingfromInside5",2006
26,26,"Brian Gay",107,97.12,1352,1313,"PuttingfromInside5",2006
27,27,"Ryan Palmer",101,97.11,1143,1110,"PuttingfromInside5",2006
27,27,"Tiger Woods",55,97.11,519,504,"PuttingfromInside5",2006
29,29,"Shigeki Maruyama",94,97.09,1101,1069,"PuttingfromInside5",2006
30,30,"David Toms",76,97.08,857,832,"PuttingfromInside5",2006
31,31,"Retief Goosen",68,97.07,648,629,"PuttingfromInside5",2006
32,32,"Tom Lehman",70,97.03,673,653,"PuttingfromInside5",2006
33,33,"Ryan Moore",68,97,801,777,"PuttingfromInside5",2006
34,34,"Vance Veazey",59,96.99,763,740,"PuttingfromInside5",2006
35,35,"Stephen Leaney",84,96.98,1093,1060,"PuttingfromInside5",2006
36,36,"Larry Mize",53,96.95,590,572,"PuttingfromInside5",2006
36,36,"Jesper Parnevik",84,96.95,1015,984,"PuttingfromInside5",2006
38,38,"Shaun Micheel",96,96.94,1111,1077,"PuttingfromInside5",2006
38,38,"Corey Pavin",74,96.94,818,793,"PuttingfromInside5",2006
40,40,"Michael Allen",84,96.92,1007,976,"PuttingfromInside5",2006
41,41,"Justin Rose",98,96.91,1228,1190,"PuttingfromInside5",2006
42,42,"Padraig Harrington",54,96.89,546,529,"PuttingfromInside5",2006
43,43,"David Branshaw",98,96.88,1248,1209,"PuttingfromInside5",2006
43,43,"Tag Ridings",103,96.88,1248,1209,"PuttingfromInside5",2006
45,45,"JL Lewis",57,96.87,703,681,"PuttingfromInside5",2006
46,46,"David Howell",52,96.83,410,397,"PuttingfromInside5",2006
47,47,"Nathan Green",108,96.82,1291,1250,"PuttingfromInside5",2006
47,47,"Ian Leggatt",80,96.82,1007,975,"PuttingfromInside5",2006
47,47,"Carl Pettersson",95,96.82,1038,1005,"PuttingfromInside5",2006
50,50,"Duffy Waldorf",96,96.8,1189,1151,"PuttingfromInside5",2006
51,51,"Dean Wilson",115,96.79,1307,1265,"PuttingfromInside5",2006
