"GIRPercentage100yards_RANKTHISWEEK_2008","GIRPercentage100yards_RANKLASTWEEK_2008","GIRPercentage100yards_PLAYERNAME_2008","GIRPercentage100yards_ROUNDS_2008","GIRPercentage100yards_Pct_2008","GIRPercentage100yards_GREENSHIT_2008","GIRPercentage100yards_TOTALHOLES_2008","GIRPercentage100yards_RELATIVETOPAR_2008","stat_name","year"
1,NA,"Robert Allenby",108,69.55,900,1294,-0.18,"GIRPercentage100yards",2008
2,NA,"Hunter Mahan",87,68.51,731,1067,-0.18,"GIRPercentage100yards",2008
3,NA,"Joe Durant",92,67.39,775,1150,-0.13,"GIRPercentage100yards",2008
4,NA,"John Huston",56,67.2,459,683,-0.19,"GIRPercentage100yards",2008
5,NA,"Briny Baird",113,67.03,972,1450,-0.14,"GIRPercentage100yards",2008
6,NA,"John Senden",93,67,808,1206,-0.14,"GIRPercentage100yards",2008
7,NA,"Kent Jones",68,66.83,546,817,-0.18,"GIRPercentage100yards",2008
8,NA,"JJ Henry",108,66.55,991,1489,-0.14,"GIRPercentage100yards",2008
9,NA,"Zach Johnson",85,66.28,686,1035,-0.18,"GIRPercentage100yards",2008
10,NA,"Harrison Frazar",73,66.23,561,847,-0.09,"GIRPercentage100yards",2008
11,NA,"Boo Weekley",86,66.2,609,920,-0.13,"GIRPercentage100yards",2008
12,NA,"John Riegger",73,66.15,596,901,-0.13,"GIRPercentage100yards",2008
13,NA,"Chad Campbell",94,66.12,841,1272,-0.19,"GIRPercentage100yards",2008
14,NA,"Robert Garrigus",90,65.92,770,1168,-0.15,"GIRPercentage100yards",2008
15,NA,"Justin Leonard",101,65.69,718,1093,-0.21,"GIRPercentage100yards",2008
16,NA,"Heath Slocum",104,65.68,844,1285,-0.16,"GIRPercentage100yards",2008
17,NA,"Steve Marino",119,65.65,986,1502,-0.18,"GIRPercentage100yards",2008
18,NA,"Sergio Garcia",72,65.45,540,825,-0.17,"GIRPercentage100yards",2008
18,NA,"Jeff Gove",50,65.45,430,657,-0.12,"GIRPercentage100yards",2008
20,NA,"Bob Estes",90,65.43,844,1290,-0.18,"GIRPercentage100yards",2008
21,NA,"Stewart Cink",87,65.01,602,926,-0.17,"GIRPercentage100yards",2008
22,NA,"Tommy Armour III",77,64.88,630,971,-0.16,"GIRPercentage100yards",2008
22,NA,"Kevin Sutherland",98,64.88,837,1290,-0.17,"GIRPercentage100yards",2008
24,NA,"Chris Stroud",81,64.84,614,947,-0.11,"GIRPercentage100yards",2008
25,NA,"George McNeill",97,64.76,840,1297,-0.17,"GIRPercentage100yards",2008
26,NA,"Mathew Goggin",91,64.73,756,1168,-0.14,"GIRPercentage100yards",2008
26,NA,"Billy Mayfair",103,64.73,923,1426,-0.14,"GIRPercentage100yards",2008
28,NA,"Vijay Singh",82,64.67,551,852,-0.16,"GIRPercentage100yards",2008
29,NA,"Jay Williamson",96,64.63,771,1193,-0.14,"GIRPercentage100yards",2008
30,NA,"KJ Choi",74,64.6,553,856,-0.2,"GIRPercentage100yards",2008
31,NA,"Brandt Jobe",52,64.4,445,691,-0.16,"GIRPercentage100yards",2008
31,NA,"Chez Reavie",102,64.4,854,1326,-0.17,"GIRPercentage100yards",2008
31,NA,"Scott Sterling",89,64.4,729,1132,-0.15,"GIRPercentage100yards",2008
34,NA,"Gavin Coles",54,64.38,432,671,-0.17,"GIRPercentage100yards",2008
35,NA,"Mark Wilson",107,64.33,990,1539,-0.2,"GIRPercentage100yards",2008
36,NA,"Bob Tway",70,64.29,549,854,-0.23,"GIRPercentage100yards",2008
37,NA,"Steve Allan",58,64.25,426,663,-0.16,"GIRPercentage100yards",2008
37,NA,"John Merrick",98,64.25,719,1119,-0.14,"GIRPercentage100yards",2008
39,NA,"Pat Perez",93,64.2,721,1123,-0.18,"GIRPercentage100yards",2008
39,NA,"Charlie Wi",97,64.2,834,1299,-0.17,"GIRPercentage100yards",2008
41,NA,"Woody Austin",109,64.13,799,1246,-0.17,"GIRPercentage100yards",2008
42,NA,"Ryan Palmer",69,64.09,564,880,-0.24,"GIRPercentage100yards",2008
43,NA,"Kenny Perry",97,63.96,857,1340,-0.17,"GIRPercentage100yards",2008
44,NA,"Rich Beem",90,63.9,724,1133,-0.17,"GIRPercentage100yards",2008
45,NA,"Nick Watney",96,63.84,715,1120,-0.14,"GIRPercentage100yards",2008
46,NA,"Bubba Watson",97,63.78,699,1096,-0.16,"GIRPercentage100yards",2008
47,NA,"Kevin Streelman",114,63.66,876,1376,-0.16,"GIRPercentage100yards",2008
48,NA,"Rory Sabbatini",77,63.63,558,877,-0.17,"GIRPercentage100yards",2008
49,NA,"Stephen Ames",83,63.6,622,978,-0.18,"GIRPercentage100yards",2008
50,NA,"Robert Gamez",79,63.54,671,1056,-0.14,"GIRPercentage100yards",2008
51,NA,"Michael Allen",91,63.48,723,1139,-0.18,"GIRPercentage100yards",2008
52,NA,"Dudley Hart",74,63.4,646,1019,-0.19,"GIRPercentage100yards",2008
52,NA,"Charles Howell III",101,63.4,771,1216,-0.15,"GIRPercentage100yards",2008
54,NA,"Justin Bolli",87,63.18,676,1070,-0.13,"GIRPercentage100yards",2008
55,NA,"Bo Van Pelt",101,63.09,846,1341,-0.14,"GIRPercentage100yards",2008
56,NA,"Lucas Glover",91,63.07,765,1213,-0.17,"GIRPercentage100yards",2008
