"LeftRoughTendencyRTPScore_RANKTHISWEEK_2011","LeftRoughTendencyRTPScore_RANKLASTWEEK_2011","LeftRoughTendencyRTPScore_PLAYERNAME_2011","LeftRoughTendencyRTPScore_ROUNDS_2011","LeftRoughTendencyRTPScore_RTPSCORE_2011","stat_name","year"
1,1,"Aaron Baddeley",77,-0.112,"LeftRoughTendencyRTPScore",2011
2,2,"Charles Howell III",108,-0.088,"LeftRoughTendencyRTPScore",2011
3,3,"Steve Stricker",70,-0.076,"LeftRoughTendencyRTPScore",2011
4,4,"Rickie Fowler",84,-0.069,"LeftRoughTendencyRTPScore",2011
5,5,"JB Holmes",57,-0.055,"LeftRoughTendencyRTPScore",2011
6,6,"Chris Couch",73,-0.038,"LeftRoughTendencyRTPScore",2011
7,7,"Trevor Immelman",84,-0.031,"LeftRoughTendencyRTPScore",2011
8,8,"Stewart Cink",72,-0.019,"LeftRoughTendencyRTPScore",2011
9,9,"Ryan Palmer",82,-0.017,"LeftRoughTendencyRTPScore",2011
10,10,"Davis Love III",70,-0.009,"LeftRoughTendencyRTPScore",2011
11,11,"Steve Marino",76,-0.008,"LeftRoughTendencyRTPScore",2011
11,11,"Phil Mickelson",79,-0.008,"LeftRoughTendencyRTPScore",2011
13,13,"Jonathan Byrd",83,0,"LeftRoughTendencyRTPScore",2011
13,13,"Martin Laird",77,0,"LeftRoughTendencyRTPScore",2011
13,13,"John Rollins",85,0,"LeftRoughTendencyRTPScore",2011
13,13,"Vijay Singh",79,0,"LeftRoughTendencyRTPScore",2011
13,13,"Brandt Snedeker",85,0,"LeftRoughTendencyRTPScore",2011
18,18,"Nick Watney",80,0.008,"LeftRoughTendencyRTPScore",2011
19,19,"Kevin Na",84,0.012,"LeftRoughTendencyRTPScore",2011
20,20,"Paul Stankowski",78,0.019,"LeftRoughTendencyRTPScore",2011
21,21,"Robert Garrigus",83,0.02,"LeftRoughTendencyRTPScore",2011
22,22,"Ben Crane",76,0.024,"LeftRoughTendencyRTPScore",2011
23,23,"Padraig Harrington",60,0.025,"LeftRoughTendencyRTPScore",2011
24,24,"Ryuji Imada",83,0.026,"LeftRoughTendencyRTPScore",2011
25,25,"Tommy Gainey",104,0.027,"LeftRoughTendencyRTPScore",2011
25,25,"Matt Kuchar",94,0.027,"LeftRoughTendencyRTPScore",2011
27,27,"Brian Gay",90,0.031,"LeftRoughTendencyRTPScore",2011
27,27,"Bo Van Pelt",92,0.031,"LeftRoughTendencyRTPScore",2011
29,29,"YE Yang",63,0.032,"LeftRoughTendencyRTPScore",2011
30,30,"Chris Kirk",87,0.033,"LeftRoughTendencyRTPScore",2011
31,31,"Justin Rose",79,0.036,"LeftRoughTendencyRTPScore",2011
32,32,"Jason Day",76,0.037,"LeftRoughTendencyRTPScore",2011
32,32,"Marc Leishman",87,0.037,"LeftRoughTendencyRTPScore",2011
32,32,"William McGirt",103,0.037,"LeftRoughTendencyRTPScore",2011
35,35,"James Driscoll",71,0.038,"LeftRoughTendencyRTPScore",2011
36,36,"Anthony Kim",72,0.039,"LeftRoughTendencyRTPScore",2011
37,37,"Hunter Mahan",92,0.043,"LeftRoughTendencyRTPScore",2011
37,37,"Shaun Micheel",77,0.043,"LeftRoughTendencyRTPScore",2011
39,39,"Robert Allenby",84,0.044,"LeftRoughTendencyRTPScore",2011
39,39,"Bryce Molder",82,0.044,"LeftRoughTendencyRTPScore",2011
41,41,"JP Hayes",56,0.047,"LeftRoughTendencyRTPScore",2011
42,42,"Camilo Villegas",69,0.05,"LeftRoughTendencyRTPScore",2011
43,43,"Briny Baird",60,0.051,"LeftRoughTendencyRTPScore",2011
43,43,"Scott McCarron",65,0.051,"LeftRoughTendencyRTPScore",2011
43,43,"Webb Simpson",98,0.051,"LeftRoughTendencyRTPScore",2011
43,43,"Jhonattan Vegas",84,0.051,"LeftRoughTendencyRTPScore",2011
47,47,"Alex Cejka",59,0.052,"LeftRoughTendencyRTPScore",2011
47,47,"Bill Haas",93,0.052,"LeftRoughTendencyRTPScore",2011
47,47,"Bio Kim",71,0.052,"LeftRoughTendencyRTPScore",2011
50,50,"Cameron Beckman",71,0.054,"LeftRoughTendencyRTPScore",2011
51,51,"Pat Perez",76,0.055,"LeftRoughTendencyRTPScore",2011
52,52,"Sergio Garcia",61,0.056,"LeftRoughTendencyRTPScore",2011
53,53,"Chris Stroud",88,0.058,"LeftRoughTendencyRTPScore",2011
54,54,"Luke Donald",73,0.059,"LeftRoughTendencyRTPScore",2011
54,54,"Bubba Watson",85,0.059,"LeftRoughTendencyRTPScore",2011
56,56,"Brendon de Jonge",105,0.061,"LeftRoughTendencyRTPScore",2011
56,56,"Michael Thompson",79,0.061,"LeftRoughTendencyRTPScore",2011
58,58,"Matt Jones",71,0.067,"LeftRoughTendencyRTPScore",2011
58,58,"Geoff Ogilvy",69,0.067,"LeftRoughTendencyRTPScore",2011
58,58,"David Toms",78,0.067,"LeftRoughTendencyRTPScore",2011
61,61,"Stephen Ames",69,0.069,"LeftRoughTendencyRTPScore",2011
62,62,"Jim Herman",69,0.073,"LeftRoughTendencyRTPScore",2011
63,63,"Jerry Kelly",85,0.074,"LeftRoughTendencyRTPScore",2011
63,63,"Spencer Levin",113,0.074,"LeftRoughTendencyRTPScore",2011
65,65,"Carl Pettersson",95,0.075,"LeftRoughTendencyRTPScore",2011
66,66,"Adam Scott",60,0.077,"LeftRoughTendencyRTPScore",2011
66,66,"DJ Trahan",91,0.077,"LeftRoughTendencyRTPScore",2011
68,68,"JJ Henry",96,0.078,"LeftRoughTendencyRTPScore",2011
68,68,"Kyle Stanley",98,0.078,"LeftRoughTendencyRTPScore",2011
70,70,"Shane Bertsch",62,0.08,"LeftRoughTendencyRTPScore",2011
70,70,"Angel Cabrera",50,0.08,"LeftRoughTendencyRTPScore",2011
70,70,"Kevin Streelman",90,0.08,"LeftRoughTendencyRTPScore",2011
70,70,"Marc Turnesa",54,0.08,"LeftRoughTendencyRTPScore",2011
74,74,"Scott Piercy",78,0.081,"LeftRoughTendencyRTPScore",2011
75,75,"Greg Chalmers",88,0.082,"LeftRoughTendencyRTPScore",2011
76,76,"Joseph Bramlett",73,0.083,"LeftRoughTendencyRTPScore",2011
77,77,"Ricky Barnes",78,0.085,"LeftRoughTendencyRTPScore",2011
77,77,"Steve Elkington",50,0.085,"LeftRoughTendencyRTPScore",2011
79,79,"Gary Woodland",93,0.086,"LeftRoughTendencyRTPScore",2011
80,80,"Troy Matteson",91,0.088,"LeftRoughTendencyRTPScore",2011
