"YTDSubParRoundsStreak_RANKTHISWEEK_2006","YTDSubParRoundsStreak_RANKLASTWEEK_2006","YTDSubParRoundsStreak_PLAYERNAME_2006","YTDSubParRoundsStreak__2006","YTDSubParRoundsStreak_VALUE_2006","stat_name","year"
1,1,"Tiger Woods",NA,17,"YTDSubParRoundsStreak",2006
2,2,"Troy Matteson",NA,16,"YTDSubParRoundsStreak",2006
3,3,"Stephen Leaney",NA,14,"YTDSubParRoundsStreak",2006
4,4,"Jim Furyk",NA,13,"YTDSubParRoundsStreak",2006
5,5,"Nathan Green",NA,12,"YTDSubParRoundsStreak",2006
5,5,"Kevin Sutherland",NA,12,"YTDSubParRoundsStreak",2006
7,7,"Bubba Dickerson",NA,11,"YTDSubParRoundsStreak",2006
7,7,"Dan Forsman",NA,11,"YTDSubParRoundsStreak",2006
7,7,"Jason Gore",NA,11,"YTDSubParRoundsStreak",2006
7,7,"Dicky Pride",NA,11,"YTDSubParRoundsStreak",2006
11,11,"Arjun Atwal",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Woody Austin",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Jason Bohn",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Olin Browne",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Stewart Cink",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Joe Durant",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Fred Funk",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Frank Lickliter II",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Corey Pavin",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Brett Quigley",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Heath Slocum",NA,10,"YTDSubParRoundsStreak",2006
11,11,"Bo Van Pelt",NA,10,"YTDSubParRoundsStreak",2006
23,23,"Bart Bryant",NA,9,"YTDSubParRoundsStreak",2006
23,23,"Ben Crane",NA,9,"YTDSubParRoundsStreak",2006
23,23,"Harrison Frazar",NA,9,"YTDSubParRoundsStreak",2006
23,23,"Retief Goosen",NA,9,"YTDSubParRoundsStreak",2006
23,23,"Jeff Gove",NA,9,"YTDSubParRoundsStreak",2006
23,23,"Bill Haas",NA,9,"YTDSubParRoundsStreak",2006
