"OnePuttPercentageRound1_RANKTHISWEEK_2015","OnePuttPercentageRound1_RANKLASTWEEK_2015","OnePuttPercentageRound1_PLAYERNAME_2015","OnePuttPercentageRound1_ROUNDS_2015","OnePuttPercentageRound1_Pct_2015","OnePuttPercentageRound1_OF1PUTTS_2015","OnePuttPercentageRound1_OFHOLES_2015","stat_name","year"
1,1,"Phil Mickelson",70,45.61,156,342,"OnePuttPercentageRound1",2015
2,2,"Aaron Baddeley",76,45.14,195,432,"OnePuttPercentageRound1",2015
3,3,"Chesson Hadley",101,44.26,239,540,"OnePuttPercentageRound1",2015
4,4,"Kevin Na",98,44,198,450,"OnePuttPercentageRound1",2015
5,5,"Brian Harman",90,43.3,226,522,"OnePuttPercentageRound1",2015
6,6,"Carl Pettersson",106,43.06,248,576,"OnePuttPercentageRound1",2015
7,7,"Erik Compton",86,43,209,486,"OnePuttPercentageRound1",2015
8,8,"Scott Stallings",60,42.98,147,342,"OnePuttPercentageRound1",2015
9,9,"Brandt Snedeker",98,42.95,201,468,"OnePuttPercentageRound1",2015
10,10,"Ian Poulter",68,42.9,139,324,"OnePuttPercentageRound1",2015
11,11,"Webb Simpson",81,42.86,162,378,"OnePuttPercentageRound1",2015
12,12,"Michael Thompson",83,42.74,200,468,"OnePuttPercentageRound1",2015
12,12,"Brendon Todd",96,42.74,200,468,"OnePuttPercentageRound1",2015
14,14,"Jason Day",75,42.69,146,342,"OnePuttPercentageRound1",2015
15,15,"Jonathan Byrd",69,42.59,161,378,"OnePuttPercentageRound1",2015
15,15,"Brian Stuard",97,42.59,230,540,"OnePuttPercentageRound1",2015
17,17,"David Lingmerth",90,42.46,214,504,"OnePuttPercentageRound1",2015
18,18,"Retief Goosen",81,42.36,183,432,"OnePuttPercentageRound1",2015
18,18,"JB Holmes",89,42.36,183,432,"OnePuttPercentageRound1",2015
20,20,"Padraig Harrington",60,42.33,160,378,"OnePuttPercentageRound1",2015
21,21,"Nick Taylor",91,42.06,212,504,"OnePuttPercentageRound1",2015
22,22,"Steven Bowditch",103,42.01,242,576,"OnePuttPercentageRound1",2015
23,23,"Henrik Stenson",63,41.85,113,270,"OnePuttPercentageRound1",2015
24,24,"Kevin Chappell",86,41.67,195,468,"OnePuttPercentageRound1",2015
24,24,"KJ Choi",66,41.67,135,324,"OnePuttPercentageRound1",2015
24,24,"Sean OHair",86,41.67,195,468,"OnePuttPercentageRound1",2015
24,24,"Justin Thomas",106,41.67,225,540,"OnePuttPercentageRound1",2015
28,28,"Matt Kuchar",97,41.44,179,432,"OnePuttPercentageRound1",2015
28,28,"Jordan Spieth",91,41.44,179,432,"OnePuttPercentageRound1",2015
30,30,"Ryan Moore",81,41.3,171,414,"OnePuttPercentageRound1",2015
31,31,"Zach Johnson",90,41.2,178,432,"OnePuttPercentageRound1",2015
32,32,"Andres Gonzales",90,41.15,200,486,"OnePuttPercentageRound1",2015
33,33,"Matt Every",73,41.11,185,450,"OnePuttPercentageRound1",2015
33,33,"Oscar Fraustro",58,41.11,148,360,"OnePuttPercentageRound1",2015
33,33,"David Hearn",97,41.11,222,540,"OnePuttPercentageRound1",2015
36,36,"Vijay Singh",78,41.06,170,414,"OnePuttPercentageRound1",2015
37,37,"Ernie Els",57,41.05,133,324,"OnePuttPercentageRound1",2015
38,38,"William McGirt",103,40.93,221,540,"OnePuttPercentageRound1",2015
39,39,"Harris English",105,40.87,206,504,"OnePuttPercentageRound1",2015
40,40,"Eric Axley",57,40.83,147,360,"OnePuttPercentageRound1",2015
41,41,"Derek Fathauer",81,40.81,191,468,"OnePuttPercentageRound1",2015
41,41,"Patrick Reed",103,40.81,191,468,"OnePuttPercentageRound1",2015
43,43,"Daniel Summerhays",101,40.8,213,522,"OnePuttPercentageRound1",2015
44,44,"Danny Lee",120,40.74,264,648,"OnePuttPercentageRound1",2015
45,45,"Greg Chalmers",58,40.63,117,288,"OnePuttPercentageRound1",2015
46,46,"Ricky Barnes",82,40.6,190,468,"OnePuttPercentageRound1",2015
47,47,"Robert Garrigus",70,40.51,175,432,"OnePuttPercentageRound1",2015
48,48,"Bubba Watson",71,40.43,131,324,"OnePuttPercentageRound1",2015
49,49,"Ken Duke",93,40.42,211,522,"OnePuttPercentageRound1",2015
