"RoughProximity_RANKTHISWEEK_2011","RoughProximity_RANKLASTWEEK_2011","RoughProximity_PLAYERNAME_2011","RoughProximity_ROUNDS_2011","RoughProximity_AVG_2011","RoughProximity_TOTALDISTANCEINCHES_2011","RoughProximity_ATTEMPTS_2011","RoughProximity_TOTALDISTANCEFEET_2011","RoughProximity_RELATIVETOPAR_2011","stat_name","year"
1,1,"Graeme McDowell",50,NA,47064,106,3922,5,"RoughProximity",2011
2,2,"Davis Love III",70,NA,79058,177,6588.167,10,"RoughProximity",2011
3,3,"Woody Austin",59,NA,71232,157,5936,21,"RoughProximity",2011
4,4,"Carl Pettersson",95,NA,139708,302,11642.333,20,"RoughProximity",2011
4,4,"Brandt Snedeker",85,NA,111065,240,9255.417,12,"RoughProximity",2011
6,6,"Shaun Micheel",77,NA,119733,257,9977.75,45,"RoughProximity",2011
7,7,"Bubba Watson",85,NA,110095,235,9174.583,7,"RoughProximity",2011
8,8,"Shane Bertsch",62,NA,68847,146,5737.25,7,"RoughProximity",2011
9,9,"David Duval",67,NA,109253,231,9104.417,50,"RoughProximity",2011
10,10,"Chris DiMarco",93,NA,125766,265,10480.5,49,"RoughProximity",2011
11,11,"Stewart Cink",72,NA,91530,191,7627.5,3,"RoughProximity",2011
12,12,"Chez Reavie",92,NA,122881,256,10240.083,46,"RoughProximity",2011
13,13,"Ricky Barnes",78,NA,116452,242,9704.333,28,"RoughProximity",2011
14,14,"Chad Campbell",99,NA,125355,260,10446.25,42,"RoughProximity",2011
14,14,"Harrison Frazar",58,NA,88228,183,7352.333,14,"RoughProximity",2011
14,14,"Bill Lunde",92,NA,127333,264,10611.083,35,"RoughProximity",2011
14,14,"Heath Slocum",89,NA,95342,198,7945.167,32,"RoughProximity",2011
18,18,"JP Hayes",56,NA,77023,159,6418.583,24,"RoughProximity",2011
19,19,"Michael Bradley",74,NA,115894,239,9657.833,25,"RoughProximity",2011
20,20,"Kris Blanks",92,NA,126785,261,10565.417,34,"RoughProximity",2011
21,21,"Jim Herman",69,NA,114986,236,9582.167,23,"RoughProximity",2011
21,21,"Dustin Johnson",72,NA,101785,209,8482.083,11,"RoughProximity",2011
23,23,"Scott Stallings",84,NA,133675,274,11139.583,38,"RoughProximity",2011
23,23,"YE Yang",63,NA,74198,152,6183.167,13,"RoughProximity",2011
25,25,"Chris Couch",73,NA,111095,227,9257.917,5,"RoughProximity",2011
25,25,"Charley Hoffman",93,NA,125667,257,10472.25,20,"RoughProximity",2011
25,25,"Vijay Singh",79,NA,132442,271,11036.833,27,"RoughProximity",2011
25,25,"Kevin Stadler",88,NA,117881,241,9823.417,36,"RoughProximity",2011
29,29,"DJ Trahan",91,NA,156676,319,13056.333,44,"RoughProximity",2011
30,30,"Sergio Garcia",61,NA,83577,170,6964.75,4,"RoughProximity",2011
31,31,"Steven Bowditch",86,NA,165536,336,13794.667,42,"RoughProximity",2011
32,32,"Bobby Gates",82,NA,128021,259,10668.417,50,"RoughProximity",2011
