"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2011","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2011","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2011","AverageApproachDistanceBirdieorBetter_ROUNDS_2011","AverageApproachDistanceBirdieorBetter_AVGYARDS_2011","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2011","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2011","stat_name","year"
1,1,"Paul Goydos",81,149.3,1301133,242,"AverageApproachDistanceBirdieorBetter",2011
2,2,"Brian Gay",90,157.3,1500691,265,"AverageApproachDistanceBirdieorBetter",2011
3,3,"Richard Johnson",64,160.4,843176,146,"AverageApproachDistanceBirdieorBetter",2011
4,4,"Kent Jones",76,160.9,1280488,221,"AverageApproachDistanceBirdieorBetter",2011
5,5,"Colt Knost",80,161.5,1168819,201,"AverageApproachDistanceBirdieorBetter",2011
6,6,"Dean Wilson",62,162.6,1041928,178,"AverageApproachDistanceBirdieorBetter",2011
7,7,"Bryce Molder",82,163.1,1555856,265,"AverageApproachDistanceBirdieorBetter",2011
8,8,"Justin Hicks",60,163.5,735827,125,"AverageApproachDistanceBirdieorBetter",2011
9,9,"Ben Curtis",66,163.9,1185918,201,"AverageApproachDistanceBirdieorBetter",2011
10,10,"Shane Bertsch",62,164.3,1159539,196,"AverageApproachDistanceBirdieorBetter",2011
10,10,"David Hearn",88,164.3,1573031,266,"AverageApproachDistanceBirdieorBetter",2011
12,12,"Greg Chalmers",88,164.4,1591893,269,"AverageApproachDistanceBirdieorBetter",2011
13,13,"Stephen Ames",69,164.7,1150547,194,"AverageApproachDistanceBirdieorBetter",2011
14,14,"Chris DiMarco",93,165.5,1650534,277,"AverageApproachDistanceBirdieorBetter",2011
14,14,"JP Hayes",56,165.5,935482,157,"AverageApproachDistanceBirdieorBetter",2011
16,16,"Scott Stallings",84,165.6,1478367,248,"AverageApproachDistanceBirdieorBetter",2011
17,17,"Matt Kuchar",94,165.8,1742666,292,"AverageApproachDistanceBirdieorBetter",2011
17,17,"William McGirt",103,165.8,1796915,301,"AverageApproachDistanceBirdieorBetter",2011
19,19,"Nick OHern",89,166,1577621,264,"AverageApproachDistanceBirdieorBetter",2011
19,19,"Steve Stricker",70,166,1398757,234,"AverageApproachDistanceBirdieorBetter",2011
21,21,"Andres Gonzales",60,166.1,956726,160,"AverageApproachDistanceBirdieorBetter",2011
22,22,"Woody Austin",59,166.2,1082814,181,"AverageApproachDistanceBirdieorBetter",2011
23,23,"David Duval",67,166.3,1113569,186,"AverageApproachDistanceBirdieorBetter",2011
24,24,"Marc Turnesa",54,166.4,868418,145,"AverageApproachDistanceBirdieorBetter",2011
25,25,"Justin Leonard",82,166.7,1284337,214,"AverageApproachDistanceBirdieorBetter",2011
25,25,"Alex Prugh",82,166.7,1397893,233,"AverageApproachDistanceBirdieorBetter",2011
27,27,"Kevin Kisner",70,167,1093997,182,"AverageApproachDistanceBirdieorBetter",2011
28,28,"Briny Baird",60,167.2,1047572,174,"AverageApproachDistanceBirdieorBetter",2011
29,29,"Ben Martin",74,167.3,1385209,230,"AverageApproachDistanceBirdieorBetter",2011
30,30,"KJ Choi",77,167.4,1271367,211,"AverageApproachDistanceBirdieorBetter",2011
31,31,"Carl Pettersson",95,167.5,2128236,353,"AverageApproachDistanceBirdieorBetter",2011
32,32,"Cameron Beckman",71,167.6,1369952,227,"AverageApproachDistanceBirdieorBetter",2011
33,33,"Jason Bohn",74,167.9,1499224,248,"AverageApproachDistanceBirdieorBetter",2011
34,34,"Michael Thompson",79,168,1475605,244,"AverageApproachDistanceBirdieorBetter",2011
35,35,"David Mathis",83,168.2,1459611,241,"AverageApproachDistanceBirdieorBetter",2011
35,35,"Ian Poulter",52,168.2,884279,146,"AverageApproachDistanceBirdieorBetter",2011
37,37,"Blake Adams",116,168.4,2400476,396,"AverageApproachDistanceBirdieorBetter",2011
37,37,"Arjun Atwal",91,168.4,1801066,297,"AverageApproachDistanceBirdieorBetter",2011
