"ScoringAverage_RANKTHISWEEK_2010","ScoringAverage_RANKLASTWEEK_2010","ScoringAverage_PLAYERNAME_2010","ScoringAverage_ROUNDS_2010","ScoringAverage_AVG_2010","ScoringAverage_TOTALSTROKES_2010","ScoringAverage_TOTALADJUSTMENT_2010","ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Matt Kuchar",97,69.606,6596,16.569,95,"ScoringAverage",2010
2,2,"Steve Stricker",73,69.66,5024,NA,72,"ScoringAverage",2010
3,3,"Retief Goosen",75,69.718,4967,NA,71,"ScoringAverage",2010
4,4,"Paul Casey",64,69.72,4056,NA,58,"ScoringAverage",2010
5,5,"Jim Furyk",76,69.827,5197,NA,74,"ScoringAverage",2010
6,6,"Ernie Els",72,69.842,4926,NA,70,"ScoringAverage",2010
7,7,"Luke Donald",71,69.849,4777,NA,68,"ScoringAverage",2010
8,8,"Justin Rose",78,69.885,5454,NA,78,"ScoringAverage",2010
9,9,"Bo Van Pelt",104,69.955,7287,NA,104,"ScoringAverage",2010
10,10,"Phil Mickelson",76,69.966,5346,NA,76,"ScoringAverage",2010
11,11,"JB Holmes",100,70.088,7022,NA,100,"ScoringAverage",2010
12,12,"KJ Choi",82,70.099,5772,NA,82,"ScoringAverage",2010
13,13,"Robert Allenby",76,70.13,5219,NA,74,"ScoringAverage",2010
14,14,"Dustin Johnson",83,70.135,5778,NA,82,"ScoringAverage",2010
15,15,"Padraig Harrington",57,70.173,3964,NA,56,"ScoringAverage",2010
16,16,"Dean Wilson",54,70.223,3763,29.051,54,"ScoringAverage",2010
17,17,"Bubba Watson",77,70.228,5406,1.574,77,"ScoringAverage",2010
18,18,"Ben Crane",85,70.233,5765,NA,82,"ScoringAverage",2010
19,19,"Tim Clark",88,70.246,5976,NA,85,"ScoringAverage",2010
20,20,"Charley Hoffman",85,70.253,5944,27.54,85,"ScoringAverage",2010
21,21,"Brandt Snedeker",89,70.258,6255,NA,89,"ScoringAverage",2010
22,22,"Jason Day",82,70.273,5775,NA,82,"ScoringAverage",2010
23,23,"Charlie Wi",95,70.284,6655,21.949,95,"ScoringAverage",2010
24,24,"Nick Watney",91,70.291,6196,NA,88,"ScoringAverage",2010
25,25,"Charles Howell III",103,70.292,7206,34.082,103,"ScoringAverage",2010
26,26,"Bill Haas",87,70.308,6109,7.78,87,"ScoringAverage",2010
27,27,"Kevin Na",94,70.314,6514,25.197,93,"ScoringAverage",2010
28,28,"Steve Elkington",74,70.317,5182,21.469,74,"ScoringAverage",2010
29,29,"David Toms",86,70.337,5965,13.627,85,"ScoringAverage",2010
30,30,"Vijay Singh",75,70.342,5231,NA,74,"ScoringAverage",2010
31,31,"Brendon de Jonge",114,70.344,7996,23.211,114,"ScoringAverage",2010
31,31,"Chris Riley",73,70.344,5113,22.123,73,"ScoringAverage",2010
33,33,"Rory McIlroy",54,70.351,3689,NA,52,"ScoringAverage",2010
34,34,"Paul Stankowski",62,70.354,4327,34.978,62,"ScoringAverage",2010
35,35,"Joe Durant",67,70.365,4677,37.462,67,"ScoringAverage",2010
36,36,"Freddie Jacobson",83,70.367,5825,15.423,83,"ScoringAverage",2010
37,37,"Spencer Levin",110,70.384,7710,32.266,110,"ScoringAverage",2010
38,38,"Bryce Molder",84,70.402,5909,4.785,84,"ScoringAverage",2010
39,39,"Justin Leonard",89,70.419,6214,NA,88,"ScoringAverage",2010
40,40,"Camilo Villegas",78,70.425,5105,NA,72,"ScoringAverage",2010
41,41,"Rickie Fowler",98,70.429,6894,8.028,98,"ScoringAverage",2010
42,42,"Stewart Cink",84,70.431,5644,NA,80,"ScoringAverage",2010
