"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2013","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2013","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2013","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2013","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2013","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2013","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2013","stat_name","year"
1,1,"Bubba Watson",76,69.14,187373.2,271014,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
2,2,"Rory McIlroy",56,68.44,125748.5,183741,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
3,3,"Dustin Johnson",71,67.97,163436.8,240441,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
4,4,"Nicolas Colsaerts",50,67.67,113993.8,168444,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
5,5,"Kyle Stanley",71,67.31,184668.3,274343,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
6,6,"Robert Garrigus",69,67.26,147651.2,219524,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
7,7,"Luke List",65,67.25,159544.2,237242,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
8,8,"Scott Stallings",79,67.21,203552,302844,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
9,9,"Scott Piercy",78,67.19,195033.3,290285,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
10,10,"Steven Bowditch",67,67.16,179788.1,267695,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
11,11,"Keegan Bradley",88,67.11,228284.1,340187,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
12,12,"Morgan Hoffmann",64,66.98,169559.3,253158,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
13,13,"Eric Meierdierks",48,66.88,113365,169499,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
14,14,"Ryan Palmer",79,66.78,214375.9,321037,"PercentageofYardagecoveredbyTeeShotsPar4s",2013
