"TenthTeeEarlyRound4ScoringAverage_RANKTHISWEEK_2011","TenthTeeEarlyRound4ScoringAverage_RANKLASTWEEK_2011","TenthTeeEarlyRound4ScoringAverage_PLAYERNAME_2011","TenthTeeEarlyRound4ScoringAverage__2011","TenthTeeEarlyRound4ScoringAverage_AVG_2011","TenthTeeEarlyRound4ScoringAverage_TOTALSTROKES_2011","TenthTeeEarlyRound4ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Sergio Garcia",NA,65,65,1,"TenthTeeEarlyRound4ScoringAverage",2011
2,2,"Zach Johnson",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2011
2,2,"Martin Laird",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2011
2,2,"Paul Stankowski",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2011
2,2,"Steve Stricker",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2011
2,2,"Gary Woodland",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2011
7,7,"John Rollins",NA,66.5,133,2,"TenthTeeEarlyRound4ScoringAverage",2011
7,7,"Jhonattan Vegas",NA,66.5,133,2,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Briny Baird",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Brendon de Jonge",NA,67,201,3,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Luke Donald",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Andres Gonzales",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Troy Merritt",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Ryan Palmer",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Ian Poulter",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Scott Stallings",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2011
9,9,"Daniel Summerhays",NA,67,134,2,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Brandt Jobe",NA,68,136,2,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Marc Leishman",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Phil Mickelson",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Rod Pampling",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Charl Schwartzel",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Webb Simpson",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2011
18,18,"Heath Slocum",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2011
25,25,"Cameron Beckman",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2011
25,25,"Chris DiMarco",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2011
25,25,"Kevin Na",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2011
25,25,"Brandt Snedeker",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2011
29,29,"Hunter Haas",NA,68.67,206,3,"TenthTeeEarlyRound4ScoringAverage",2011
29,29,"Jeff Overton",NA,68.67,206,3,"TenthTeeEarlyRound4ScoringAverage",2011
31,31,"Carl Pettersson",NA,68.75,275,4,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Ricky Barnes",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Jonathan Byrd",NA,69,138,2,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Alex Cejka",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Steve Elkington",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Ryuji Imada",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Tim Petrovic",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Kevin Stadler",NA,69,138,2,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Roland Thatcher",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2011
32,32,"Boo Weekley",NA,69,138,2,"TenthTeeEarlyRound4ScoringAverage",2011
41,41,"Chris Kirk",NA,69.4,347,5,"TenthTeeEarlyRound4ScoringAverage",2011
42,42,"Kevin Chappell",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2011
42,42,"Paul Goydos",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2011
42,42,"John Merrick",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2011
42,42,"Rory Sabbatini",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2011
42,42,"John Senden",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2011
