"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2016","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2016","ofPotentialPtswonFedExCupRegularSeason_Pct_2016","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2016","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2016","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2016","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2016","stat_name","year"
147,142,"Vijay Singh",13,3.16,190,6000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
148,158,"Chris Stroud",17,3.11,258,8300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
149,150,"Jeff Overton",17,3.09,256,8300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
150,144,"Davis Love III",11,3.08,154,5000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
151,146,"Rob Oppenheim",11,3,153,5100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
152,169,"Scott Langley",13,2.99,183,6100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
153,151,"Matt Jones",15,2.94,224,7600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
154,147,"Ernie Els",10,2.92,131,4500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
155,156,"Marc Turnesa",5,2.9,61,2100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
156,153,"Greg Owen",18,2.87,258,9000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
157,159,"Luke Guthrie",11,2.85,146,5100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
158,137,"Jonathan Byrd",6,2.82,73,2600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
158,176,"Chesson Hadley",16,2.82,220,7800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
160,154,"Hiroshi Iwata",18,2.8,248,8850,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
161,157,"Morgan Hoffmann",15,2.69,196,7300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
162,163,"Hunter Mahan",14,2.65,173,6550,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
162,162,"Andres Romero",8,2.65,95,3600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
164,164,"Tim Clark",7,2.59,86,3300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
165,160,"Michael Thompson",14,2.58,170,6600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
166,160,"Thomas Aiken",13,2.57,163,6350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
167,166,"Erik Compton",16,2.45,191,7800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
168,180,"Dawie van der Walt",16,2.42,184,7600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
169,165,"Will Ma Kenzie",17,2.41,195,8100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
170,167,"Brendon de Jonge",19,2.35,219,9300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
171,167,"Mark Wilson",13,2.29,144,6300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
172,172,"Billy Mayfair",3,2.25,25,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
173,191,"Robert Garrigus",11,2.21,113,5100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
174,175,"Michael Bradley",5,2.18,46,2100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
