"ConsecutiveGIR_RANKTHISWEEK_2009","ConsecutiveGIR_RANKLASTWEEK_2009","ConsecutiveGIR_PLAYERNAME_2009","ConsecutiveGIR_EVENTS_2009","ConsecutiveGIR_STREAK_2009","ConsecutiveGIR_CURRENTSTREAK_2009","ConsecutiveGIR_ROUND_2009","ConsecutiveGIR_HOLE_2009","ConsecutiveGIR_YEARTOURN_2009","stat_name","year"
1,1,"Kenny Perry",24,38,5,4,10,2009270,"ConsecutiveGIR",2009
2,2,"Jeff Klauk",29,34,NA,1,6,2009440,"ConsecutiveGIR",2009
3,3,"Sean OHair",23,32,1,1,8,2009230,"ConsecutiveGIR",2009
4,4,"Steve Marino",29,30,1,4,18,2009020,"ConsecutiveGIR",2009
4,4,"Greg Owen",30,30,3,4,10,2009440,"ConsecutiveGIR",2009
4,4,"DJ Trahan",30,30,2,1,9,2009290,"ConsecutiveGIR",2009
7,7,"Rickie Fowler",6,29,1,4,11,2009440,"ConsecutiveGIR",2009
7,7,"JJ Henry",28,29,29,3,8,2009450,"ConsecutiveGIR",2009
7,7,"Will Ma Kenzie",24,29,3,2,7,2009010,"ConsecutiveGIR",2009
7,7,"Bryce Molder",21,29,1,3,6,2009450,"ConsecutiveGIR",2009
11,11,"Jonathan Byrd",25,28,3,4,8,2009400,"ConsecutiveGIR",2009
11,11,"Parker McLachlin",25,28,9,1,15,2009010,"ConsecutiveGIR",2009
13,13,"Bill Haas",29,27,NA,3,6,2009030,"ConsecutiveGIR",2009
13,13,"Mike Weir",24,27,4,4,15,2009280,"ConsecutiveGIR",2009
15,15,"Glen Day",26,26,2,4,7,2009020,"ConsecutiveGIR",2009
15,15,"Bob Estes",23,26,NA,2,18,2009290,"ConsecutiveGIR",2009
15,15,"Robert Garrigus",25,26,2,2,1,2009370,"ConsecutiveGIR",2009
15,15,"John Mallinger",27,26,NA,1,11,2009030,"ConsecutiveGIR",2009
15,15,"Tag Ridings",16,26,1,3,12,2009300,"ConsecutiveGIR",2009
20,20,"Brad Adamonis",25,25,NA,1,15,2009030,"ConsecutiveGIR",2009
20,20,"Brian Gay",27,25,11,4,15,2009020,"ConsecutiveGIR",2009
20,20,"Justin Leonard",26,25,1,1,13,2009010,"ConsecutiveGIR",2009
23,23,"John Huston",13,24,NA,3,11,2009030,"ConsecutiveGIR",2009
23,23,"David Peoples",6,24,2,1,6,2009300,"ConsecutiveGIR",2009
23,23,"Tom Pernice Jr",26,24,3,3,8,2009450,"ConsecutiveGIR",2009
23,23,"Jay Williamson",22,24,3,1,3,2009420,"ConsecutiveGIR",2009
27,27,"Tim Clark",23,23,11,2,14,2009030,"ConsecutiveGIR",2009
27,27,"Jim Furyk",23,23,6,1,1,2009390,"ConsecutiveGIR",2009
27,27,"Todd Hamilton",29,23,4,2,9,2009370,"ConsecutiveGIR",2009
27,27,"Scott Piercy",28,23,NA,1,15,2009420,"ConsecutiveGIR",2009
27,27,"John Senden",29,23,3,4,11,2009220,"ConsecutiveGIR",2009
27,27,"Chris Stroud",28,23,6,2,9,2009440,"ConsecutiveGIR",2009
27,27,"Kevin Sutherland",27,23,NA,4,5,2009030,"ConsecutiveGIR",2009
27,27,"Bo Van Pelt",30,23,NA,2,9,2009150,"ConsecutiveGIR",2009
35,35,"Ricky Barnes",23,22,5,2,11,2009480,"ConsecutiveGIR",2009
35,35,"Ben Curtis",18,22,2,2,18,2009270,"ConsecutiveGIR",2009
35,35,"Martin Laird",24,22,8,1,15,2009220,"ConsecutiveGIR",2009
35,35,"Troy Matteson",30,22,NA,4,11,2009390,"ConsecutiveGIR",2009
35,35,"Kevin Streelman",29,22,1,2,7,2009290,"ConsecutiveGIR",2009
35,35,"Bubba Watson",24,22,2,4,6,2009390,"ConsecutiveGIR",2009
41,41,"Rich Beem",26,21,2,2,1,2009370,"ConsecutiveGIR",2009
41,41,"Matt Bettencourt",31,21,NA,2,12,2009290,"ConsecutiveGIR",2009
41,41,"Colt Knost",24,21,NA,3,8,2009420,"ConsecutiveGIR",2009
41,41,"Marc Leishman",28,21,7,2,4,2009050,"ConsecutiveGIR",2009
41,41,"Justin Rose",22,21,2,2,6,2009370,"ConsecutiveGIR",2009
41,41,"Steve Stricker",22,21,2,3,11,2009030,"ConsecutiveGIR",2009
41,41,"Nicholas Thompson",31,21,NA,2,13,2009450,"ConsecutiveGIR",2009
41,41,"YE Yang",23,21,NA,1,9,2009320,"ConsecutiveGIR",2009
49,49,"David Berganio Jr",15,20,NA,2,6,2009020,"ConsecutiveGIR",2009
49,49,"Michael Bradley",17,20,NA,1,13,2009330,"ConsecutiveGIR",2009
49,49,"Mark Calcavecchia",23,20,NA,1,10,2009320,"ConsecutiveGIR",2009
49,49,"Chad Campbell",26,20,5,2,5,2009440,"ConsecutiveGIR",2009
49,49,"Zach Johnson",26,20,1,2,9,2009480,"ConsecutiveGIR",2009
49,49,"Peter Lonard",30,20,NA,2,8,2009150,"ConsecutiveGIR",2009
49,49,"Vijay Singh",21,20,4,2,6,2009220,"ConsecutiveGIR",2009
49,49,"Kirk Triplett",20,20,NA,1,10,2009440,"ConsecutiveGIR",2009
57,57,"Jason Bohn",25,19,1,3,7,2009370,"ConsecutiveGIR",2009
57,57,"Stewart Cink",22,19,NA,4,5,2009020,"ConsecutiveGIR",2009
57,57,"Nathan Green",30,19,NA,2,17,2009420,"ConsecutiveGIR",2009
57,57,"Charley Hoffman",27,19,NA,3,18,2009030,"ConsecutiveGIR",2009
57,57,"Michael Letzig",28,19,4,2,13,2009320,"ConsecutiveGIR",2009
57,57,"Billy Mayfair",28,19,2,4,4,2009320,"ConsecutiveGIR",2009
57,57,"Joe Ogilvie",29,19,2,2,12,2009330,"ConsecutiveGIR",2009
57,57,"Tim Petrovic",31,19,NA,2,15,2009370,"ConsecutiveGIR",2009
57,57,"Heath Slocum",30,19,7,3,7,2009450,"ConsecutiveGIR",2009
57,57,"Vaughn Taylor",28,19,2,3,16,2009030,"ConsecutiveGIR",2009
57,57,"Peter Tomasulo",25,19,2,2,14,2009450,"ConsecutiveGIR",2009
57,57,"David Toms",27,19,13,4,4,2009270,"ConsecutiveGIR",2009
57,57,"Camilo Villegas",21,19,5,1,4,2009010,"ConsecutiveGIR",2009
70,70,"Robert Allenby",21,18,7,1,15,2009250,"ConsecutiveGIR",2009
70,70,"Rich Barcelo",1,18,1,1,12,2009340,"ConsecutiveGIR",2009
70,70,"Kris Blanks",20,18,8,2,10,2009370,"ConsecutiveGIR",2009
70,70,"Alex Cejka",25,18,9,1,12,2009200,"ConsecutiveGIR",2009
70,70,"Jason Dufner",26,18,NA,4,13,2009400,"ConsecutiveGIR",2009
70,70,"Joe Durant",20,18,1,2,16,2009320,"ConsecutiveGIR",2009
70,70,"Scott Gutschewski",19,18,4,4,3,2009420,"ConsecutiveGIR",2009
70,70,"JB Holmes",25,18,NA,2,9,2009440,"ConsecutiveGIR",2009
70,70,"Tom Lehman",16,18,9,1,8,2009450,"ConsecutiveGIR",2009
70,70,"Hunter Mahan",25,18,NA,3,15,2009150,"ConsecutiveGIR",2009
70,70,"Scott McCarron",27,18,9,4,1,2009370,"ConsecutiveGIR",2009
70,70,"John Merrick",28,18,1,1,2,2009190,"ConsecutiveGIR",2009
70,70,"Rory Sabbatini",25,18,3,1,12,2009330,"ConsecutiveGIR",2009
70,70,"Charles Warren",20,18,NA,1,6,2009330,"ConsecutiveGIR",2009
70,70,"Nick Watney",24,18,1,3,6,2009030,"ConsecutiveGIR",2009
70,70,"Dean Wilson",29,18,NA,2,8,2009440,"ConsecutiveGIR",2009
86,86,"Michael Allen",22,17,NA,1,8,2009420,"ConsecutiveGIR",2009
86,86,"Stuart Appleby",25,17,2,3,10,2009150,"ConsecutiveGIR",2009
86,86,"Cameron Beckman",26,17,3,2,18,2009420,"ConsecutiveGIR",2009
86,86,"Daniel Chopra",28,17,4,2,4,2009450,"ConsecutiveGIR",2009
86,86,"Fred Couples",16,17,1,3,9,2009030,"ConsecutiveGIR",2009
86,86,"Brendon de Jonge",29,17,1,2,14,2009020,"ConsecutiveGIR",2009
86,86,"Sergio Garcia",17,17,4,3,14,2009390,"ConsecutiveGIR",2009
86,86,"Lucas Glover",26,17,NA,2,9,2009030,"ConsecutiveGIR",2009
86,86,"Mathew Goggin",26,17,NA,1,13,2009030,"ConsecutiveGIR",2009
86,86,"Dustin Johnson",25,17,3,3,13,2009010,"ConsecutiveGIR",2009
86,86,"Kent Jones",24,17,7,2,6,2009330,"ConsecutiveGIR",2009
86,86,"Davis Love III",27,17,1,3,18,2009010,"ConsecutiveGIR",2009
86,86,"Jeff Maggert",28,17,3,2,16,2009220,"ConsecutiveGIR",2009
86,86,"Prayad Marksaeng",6,17,2,2,14,2009160,"ConsecutiveGIR",2009
86,86,"Rocco Mediate",22,17,2,1,17,2009340,"ConsecutiveGIR",2009
86,86,"Shaun Micheel",16,17,5,3,3,2009210,"ConsecutiveGIR",2009
86,86,"Ryan Moore",27,17,2,2,12,2009200,"ConsecutiveGIR",2009
86,86,"DA Points",29,17,4,2,12,2009420,"ConsecutiveGIR",2009
86,86,"Aron Price",27,17,NA,2,2,2009270,"ConsecutiveGIR",2009
86,86,"Brett Quigley",28,17,NA,3,8,2009450,"ConsecutiveGIR",2009
86,86,"Brandt Snedeker",26,17,1,4,14,2009420,"ConsecutiveGIR",2009
86,86,"Kevin Stadler",20,17,NA,2,1,2009370,"ConsecutiveGIR",2009
86,86,"Henrik Stenson",10,17,2,1,5,2009350,"ConsecutiveGIR",2009
86,86,"Scott Verplank",24,17,1,4,10,2009290,"ConsecutiveGIR",2009
86,86,"Brian Vranesh",20,17,NA,4,17,2009340,"ConsecutiveGIR",2009
86,86,"Johnson Wagner",26,17,6,2,10,2009330,"ConsecutiveGIR",2009
86,86,"Lee Westwood",8,17,NA,1,15,2009150,"ConsecutiveGIR",2009
113,113,"James Driscoll",17,16,NA,4,1,2009210,"ConsecutiveGIR",2009
113,113,"Ken Duke",29,16,NA,1,15,2009060,"ConsecutiveGIR",2009
113,113,"Steve Elkington",23,16,3,1,16,2009440,"ConsecutiveGIR",2009
113,113,"Paul Goydos",25,16,3,2,18,2009150,"ConsecutiveGIR",2009
113,113,"Richard Johnson",26,16,4,4,1,2009420,"ConsecutiveGIR",2009
113,113,"Jerry Kelly",26,16,NA,4,14,2009300,"ConsecutiveGIR",2009
113,113,"Matt Kuchar",24,16,NA,2,14,2009240,"ConsecutiveGIR",2009
113,113,"Spencer Levin",25,16,1,3,8,2009100,"ConsecutiveGIR",2009
113,113,"Cortland Lowe",2,16,NA,1,13,2009050,"ConsecutiveGIR",2009
113,113,"Steve Lowery",27,16,NA,1,7,2009010,"ConsecutiveGIR",2009
113,113,"Kevin Na",26,16,NA,1,16,2009390,"ConsecutiveGIR",2009
113,113,"Pat Perez",22,16,1,1,7,2009450,"ConsecutiveGIR",2009
113,113,"Carl Pettersson",29,16,NA,2,9,2009010,"ConsecutiveGIR",2009
113,113,"Chez Reavie",27,16,NA,1,6,2009270,"ConsecutiveGIR",2009
113,113,"Jeev Milkha Singh",15,16,NA,2,3,2009420,"ConsecutiveGIR",2009
113,113,"Matt Weibring",22,16,1,1,2,2009270,"ConsecutiveGIR",2009
129,129,"Tommy Armour III",19,15,NA,2,7,2009440,"ConsecutiveGIR",2009
129,129,"Arjun Atwal",12,15,2,1,2,2009060,"ConsecutiveGIR",2009
129,129,"Paul Azinger",8,15,NA,1,11,2009340,"ConsecutiveGIR",2009
129,129,"Sangmoon Bae",2,15,8,1,17,2009260,"ConsecutiveGIR",2009
129,129,"Briny Baird",28,15,NA,4,4,2009220,"ConsecutiveGIR",2009
129,129,"KJ Choi",22,15,13,3,15,2009060,"ConsecutiveGIR",2009
129,129,"Jason Day",18,15,1,3,12,2009050,"ConsecutiveGIR",2009
129,129,"Ross Fisher",10,15,NA,1,4,2009140,"ConsecutiveGIR",2009
129,129,"Bobby Gates",1,15,6,2,13,2009210,"ConsecutiveGIR",2009
129,129,"Mathias Gronberg",13,15,NA,2,11,2009420,"ConsecutiveGIR",2009
129,129,"Scott Hebert",5,15,NA,1,9,2009330,"ConsecutiveGIR",2009
129,129,"Tim Herron",27,15,7,1,6,2009330,"ConsecutiveGIR",2009
129,129,"Freddie Jacobson",25,15,NA,3,5,2009370,"ConsecutiveGIR",2009
129,129,"Matt Jones",17,15,1,1,17,2009420,"ConsecutiveGIR",2009
129,129,"Anthony Kim",22,15,2,3,17,2009010,"ConsecutiveGIR",2009
129,129,"Frank Lickliter II",14,15,4,1,12,2009370,"ConsecutiveGIR",2009
129,129,"Bill Lunde",27,15,8,1,7,2009190,"ConsecutiveGIR",2009
129,129,"James Nitties",27,15,2,1,16,2009030,"ConsecutiveGIR",2009
129,129,"Nick OHern",27,15,3,1,1,2009240,"ConsecutiveGIR",2009
129,129,"Geoff Ogilvy",20,15,NA,2,1,2009010,"ConsecutiveGIR",2009
129,129,"Ryan Palmer",26,15,1,4,10,2009010,"ConsecutiveGIR",2009
129,129,"Patrick Sheehan",15,15,NA,2,17,2009180,"ConsecutiveGIR",2009
129,129,"Kyle Stanley",7,15,5,2,2,2009270,"ConsecutiveGIR",2009
129,129,"Marc Turnesa",30,15,NA,1,16,2009440,"ConsecutiveGIR",2009
129,129,"Jimmy Walker",24,15,NA,3,7,2009370,"ConsecutiveGIR",2009
129,129,"Boo Weekley",22,15,5,2,14,2009010,"ConsecutiveGIR",2009
129,129,"Casey Wittenberg",25,15,NA,1,18,2009030,"ConsecutiveGIR",2009
129,129,"Tiger Woods",17,15,NA,3,6,2009400,"ConsecutiveGIR",2009
157,157,"Thomas Aiken",3,14,NA,2,16,2009310,"ConsecutiveGIR",2009
157,157,"Tyler Aldridge",17,14,1,3,15,2009060,"ConsecutiveGIR",2009
157,157,"Chris DiMarco",29,14,1,1,13,2009450,"ConsecutiveGIR",2009
157,157,"Ernie Els",19,14,NA,4,6,2009380,"ConsecutiveGIR",2009
157,157,"Steve Flesch",27,14,1,1,11,2009030,"ConsecutiveGIR",2009
157,157,"Padraig Harrington",20,14,NA,1,11,2009390,"ConsecutiveGIR",2009
157,157,"Matt Hill",3,14,NA,1,10,2009320,"ConsecutiveGIR",2009
157,157,"Charles Howell III",29,14,3,2,4,2009050,"ConsecutiveGIR",2009
157,157,"Ryuji Imada",25,14,NA,1,2,2009020,"ConsecutiveGIR",2009
157,157,"Trevor Immelman",13,14,1,2,17,2009010,"ConsecutiveGIR",2009
157,157,"Lee Janzen",23,14,1,1,12,2009370,"ConsecutiveGIR",2009
157,157,"Cliff Kresge",28,14,3,4,13,2009020,"ConsecutiveGIR",2009
157,157,"Neal Lancaster",6,14,1,1,6,2009330,"ConsecutiveGIR",2009
157,157,"Danny Lee",12,14,2,1,2,2009370,"ConsecutiveGIR",2009
