"BallSpeed_RANKTHISWEEK_2013","BallSpeed_RANKLASTWEEK_2013","BallSpeed_PLAYERNAME_2013","BallSpeed_ROUNDS_2013","BallSpeed_AVG_2013","BallSpeed_TOTALBALLSPEED_2013","BallSpeed_TOTALATTEMPTS_2013","BallSpeed_FASTESTSPEED_2013","BallSpeed_SLOWESTSPEED_2013","stat_name","year"
1,1,"Bubba Watson",76,182.53,9491.56,52,187.34,177.22,"BallSpeed",2013
2,2,"Charlie Beljan",62,182.26,8201.82,45,188.92,174.15,"BallSpeed",2013
3,3,"Luke List",65,181.24,9243.45,51,186.03,175.25,"BallSpeed",2013
4,4,"Gary Woodland",94,180.64,9935.07,55,185.4,174.86,"BallSpeed",2013
5,5,"Dustin Johnson",71,180.32,7212.76,40,186.67,176.09,"BallSpeed",2013
6,6,"Rory McIlroy",56,179.86,6295.21,35,185.21,172.51,"BallSpeed",2013
7,7,"Nicolas Colsaerts",50,179.56,6464.19,36,183.22,172.8,"BallSpeed",2013
8,8,"Graham DeLaet",94,178.8,12695.1,71,184.81,173.77,"BallSpeed",2013
9,9,"Robert Garrigus",69,178.45,7316.31,41,183.88,172.78,"BallSpeed",2013
10,10,"Jason Kokrak",78,178.34,11235.56,63,186.56,171.06,"BallSpeed",2013
11,11,"Eric Meierdierks",48,177.9,6582.43,37,183.79,167.91,"BallSpeed",2013
12,12,"Angel Cabrera",73,177.89,9783.93,55,184.93,168.82,"BallSpeed",2013
13,13,"Seung Yul Noh",71,177.77,10666.47,60,181.69,173.04,"BallSpeed",2013
14,14,"Adam Scott",61,177.57,6747.64,38,182.11,174.23,"BallSpeed",2013
15,15,"Nick Watney",88,177.48,12956.31,73,181.82,172.76,"BallSpeed",2013
16,16,"Jason Day",86,177.04,8498.08,48,182.69,165.24,"BallSpeed",2013
17,17,"Scott Stallings",79,176.94,10970.07,62,182.7,171.64,"BallSpeed",2013
18,18,"Kyle Stanley",71,176.93,9908.15,56,186.03,156.41,"BallSpeed",2013
19,19,"Tag Ridings",69,176.87,8489.81,48,182.32,170.25,"BallSpeed",2013
20,20,"Sergio Garcia",65,176.34,6524.65,37,179.86,170.58,"BallSpeed",2013
21,21,"Aaron Baddeley",68,176.32,8463.57,48,181.09,169.77,"BallSpeed",2013
22,22,"Henrik Stenson",65,175.8,4043.3,23,182.92,164.95,"BallSpeed",2013
23,23,"Keegan Bradley",88,175.42,10700.33,61,178.74,171.65,"BallSpeed",2013
24,24,"Jimmy Walker",84,175.39,13154.38,75,181.31,170.46,"BallSpeed",2013
25,25,"Robert Streb",75,175.33,10870.56,62,180.09,168.43,"BallSpeed",2013
26,26,"Martin Flores",83,175.3,13673.71,78,180.68,170.68,"BallSpeed",2013
27,27,"Harris English",95,175.28,12444.61,71,181.56,169.66,"BallSpeed",2013
28,28,"Derek Ernst",58,175.23,9462.38,54,180.15,165.37,"BallSpeed",2013
29,29,"Tiger Woods",61,175.06,5426.84,31,180.45,170.96,"BallSpeed",2013
30,30,"Charl Schwartzel",69,174.62,8556.31,49,178.03,170.13,"BallSpeed",2013
31,31,"Matt Jones",83,174.61,12222.66,70,179.68,169.9,"BallSpeed",2013
32,32,"Bobby Gates",49,174.15,6966.02,40,179.21,154.75,"BallSpeed",2013
33,33,"Charles Howell III",87,173.62,14063.41,81,178.39,168.3,"BallSpeed",2013
34,34,"Martin Laird",68,173.6,7985.63,46,177.12,169.48,"BallSpeed",2013
35,35,"Patrick Reed",83,173.23,11779.32,68,178.11,165.14,"BallSpeed",2013
36,36,"Lucas Glover",65,173.07,8480.4,49,178.12,166.8,"BallSpeed",2013
37,37,"Sean OHair",56,172.98,6919.14,40,177.68,167.23,"BallSpeed",2013
38,38,"James Driscoll",76,172.97,10723.91,62,178.57,167.02,"BallSpeed",2013
38,38,"Ryan Palmer",79,172.97,10897.06,63,177.01,168.5,"BallSpeed",2013
40,40,"Steven Bowditch",67,172.96,10204.72,59,178.62,169.08,"BallSpeed",2013
41,41,"Stewart Cink",71,172.85,7087,41,178.62,160.94,"BallSpeed",2013
41,41,"Scott Piercy",78,172.85,9161.09,53,177.56,167.41,"BallSpeed",2013
43,43,"Greg Owen",73,172.76,11229.08,65,178.27,161.45,"BallSpeed",2013
44,44,"Charley Hoffman",84,172.65,13121.37,76,178.72,164.81,"BallSpeed",2013
44,44,"Marc Leishman",77,172.65,11049.7,64,177.97,167.07,"BallSpeed",2013
46,46,"Jim Herman",59,172.29,6546.98,38,174.85,167.83,"BallSpeed",2013
47,47,"George McNeill",68,172.07,10324.1,60,180.43,165.79,"BallSpeed",2013
48,48,"Trevor Immelman",73,171.87,9968.55,58,177.95,159.97,"BallSpeed",2013
49,49,"Kevin Chappell",80,171.85,9967.05,58,177.37,165.65,"BallSpeed",2013
50,50,"Shawn Stefani",63,171.75,7556.93,44,180.1,166.55,"BallSpeed",2013
51,51,"Lee Westwood",70,171.63,9611.48,56,175.28,166.24,"BallSpeed",2013
52,52,"John Senden",79,171.44,10286.52,60,174.95,166.11,"BallSpeed",2013
53,53,"Martin Kaymer",61,171.38,7711.88,45,175.18,165.43,"BallSpeed",2013
54,54,"Brad Fritsch",81,171.37,12167.29,71,178.73,165.37,"BallSpeed",2013
55,55,"Rickie Fowler",75,171.33,10108.28,59,177.41,167.51,"BallSpeed",2013
56,56,"Ricky Barnes",74,171.29,10106.05,59,175.93,166.15,"BallSpeed",2013
57,57,"Phil Mickelson",78,171.08,4448.02,26,177.03,164.4,"BallSpeed",2013
58,58,"Brendon de Jonge",110,171.02,15562.48,91,175.01,165.26,"BallSpeed",2013
59,59,"Steve LeBrun",66,170.66,8703.72,51,177,163.24,"BallSpeed",2013
60,60,"John Rollins",77,170.64,11432.59,67,176.9,164.69,"BallSpeed",2013
61,61,"Kevin Stadler",83,170.36,12436.46,73,177.89,159.81,"BallSpeed",2013
62,62,"Bill Haas",85,170.2,11914.2,70,174.48,163.81,"BallSpeed",2013
63,63,"Troy Matteson",68,170.17,9359.4,55,173.87,165.03,"BallSpeed",2013
64,64,"Justin Rose",62,170.03,6801.11,40,175.07,164.97,"BallSpeed",2013
65,65,"Andres Romero",63,170.01,7990.63,47,173.5,163.86,"BallSpeed",2013
66,66,"Pat Perez",69,169.98,11048.78,65,177.53,160.82,"BallSpeed",2013
67,67,"Josh Teater",86,169.88,10362.38,61,175.74,165.08,"BallSpeed",2013
68,68,"Padraig Harrington",52,169.64,5428.49,32,177.89,164.7,"BallSpeed",2013
68,68,"Henrik Norlander",70,169.64,9330.4,55,173.29,165.68,"BallSpeed",2013
70,70,"Brendan Steele",86,169.61,12720.61,75,174.78,160.46,"BallSpeed",2013
71,71,"Boo Weekley",100,169.33,14732.04,87,179.47,162.91,"BallSpeed",2013
72,72,"Morgan Hoffmann",64,169.3,8972.98,53,175.04,162.7,"BallSpeed",2013
73,73,"Cameron Tringale",80,169.27,11679.61,69,178.19,162.04,"BallSpeed",2013
74,74,"Russell Henley",80,169.23,11000.17,65,176.53,154.13,"BallSpeed",2013
75,75,"JJ Henry",83,169.22,9138.06,54,173.49,162.82,"BallSpeed",2013
76,76,"Geoff Ogilvy",57,169.2,6937.32,41,172.91,157.93,"BallSpeed",2013
77,77,"Erik Compton",74,169.15,10656.68,63,176.31,164.46,"BallSpeed",2013
78,78,"James Hahn",78,169.07,11158.59,66,176.6,154.61,"BallSpeed",2013
79,79,"Michael Bradley",56,169.05,6254.95,37,174.26,165.29,"BallSpeed",2013
79,79,"Scott Brown",65,169.05,9636.08,57,172.76,162.54,"BallSpeed",2013
81,81,"Camilo Villegas",79,168.89,10977.84,65,173.31,164.29,"BallSpeed",2013
82,82,"Brandt Jobe",62,168.81,8440.35,50,172.22,162.26,"BallSpeed",2013
83,83,"Carl Pettersson",82,168.79,10633.89,63,173.83,164.69,"BallSpeed",2013
84,84,"Cameron Percy",68,168.77,9451.37,56,174.5,162.51,"BallSpeed",2013
85,85,"Robert Karlsson",56,168.74,6412.27,38,172.99,163.79,"BallSpeed",2013
86,86,"Ryo Ishikawa",72,168.64,9443.75,56,176.17,162.21,"BallSpeed",2013
87,87,"Jeff Overton",78,168.57,12474.26,74,173.9,161.59,"BallSpeed",2013
88,88,"Rory Sabbatini",86,168.21,12447.33,74,173.06,158.05,"BallSpeed",2013
89,89,"Webb Simpson",92,168.18,10931.54,65,173.37,161.35,"BallSpeed",2013
90,90,"Sangmoon Bae",83,168.11,12272.34,73,175.44,162.61,"BallSpeed",2013
91,91,"Nicholas Thompson",99,168.01,14616.47,87,172.37,159.45,"BallSpeed",2013
92,92,"John Merrick",79,167.98,11086.62,66,171.32,163.53,"BallSpeed",2013
93,93,"Chad Campbell",78,167.97,11422.11,68,174.18,163.57,"BallSpeed",2013
94,94,"DJ Trahan",48,167.89,6044.08,36,172.71,159.66,"BallSpeed",2013
95,95,"Billy Horschel",96,167.88,13262.16,79,173.35,161.09,"BallSpeed",2013
96,96,"Bo Van Pelt",72,167.86,8896.58,53,172.46,162.93,"BallSpeed",2013
97,97,"Kevin Streelman",86,167.76,11911.06,71,172.68,157.17,"BallSpeed",2013
98,98,"Luke Guthrie",82,167.62,11565.58,69,171.99,162.27,"BallSpeed",2013
99,99,"Peter Hanson",45,167.58,5697.79,34,172.4,162.11,"BallSpeed",2013
100,100,"Freddie Jacobson",63,167.44,8204.33,49,171.03,161.76,"BallSpeed",2013
101,101,"Tom Gillis",69,167.41,10212.1,61,170.76,158.97,"BallSpeed",2013
102,102,"Tommy Gainey",84,167.36,12551.74,75,172.82,160.33,"BallSpeed",2013
103,103,"Chris Kirk",89,166.99,13192.44,79,173.4,160.73,"BallSpeed",2013
104,104,"Hunter Mahan",91,166.86,11346.19,68,176.34,163.33,"BallSpeed",2013
105,105,"Matt Every",89,166.83,14681.08,88,175.2,152.64,"BallSpeed",2013
106,106,"Scott Gardiner",61,166.7,9168.77,55,174,159.5,"BallSpeed",2013
107,107,"Ian Poulter",59,166.6,5997.7,36,172.08,161.86,"BallSpeed",2013
108,108,"Fabian Gomez",65,166.36,9316.01,56,169.9,160.08,"BallSpeed",2013
109,109,"Jason Dufner",78,166.34,10978.59,66,173.68,158.7,"BallSpeed",2013
110,110,"Stuart Appleby",88,166.27,12636.22,76,170.64,159.04,"BallSpeed",2013
111,111,"Vijay Singh",61,166.14,7974.57,48,171.62,161.27,"BallSpeed",2013
112,112,"Robert Allenby",58,166.08,7805.81,47,171.28,157.61,"BallSpeed",2013
112,112,"Jordan Spieth",82,166.08,11791.55,71,170.2,160.24,"BallSpeed",2013
114,114,"Jonas Blixt",76,165.98,11950.74,72,172.96,160.17,"BallSpeed",2013
115,115,"Tim Herron",45,165.97,6804.72,41,169.3,161.9,"BallSpeed",2013
116,116,"Ernie Els",63,165.96,7468,45,170.71,161.4,"BallSpeed",2013
117,117,"Roberto Castro",97,165.88,13104.15,79,169.91,159.55,"BallSpeed",2013
