"CarryDistance_RANKTHISWEEK_2016","CarryDistance_RANKLASTWEEK_2016","CarryDistance_PLAYERNAME_2016","CarryDistance_ROUNDS_2016","CarryDistance_AVG_2016","CarryDistance_TOTALDISTTOIMPACT_2016","CarryDistance_TOTALATTEMPTS_2016","CarryDistance_LONGESTCARRYDISTANCE_2016","CarryDistance_SHORTESTCARRYDISTANCE_2016","stat_name","year"
1,1,"JB Holmes",39,308.3,8323.9,27,337.4,284.3,"CarryDistance",2016
2,2,"Gary Woodland",45,302.6,9379.5,31,318.9,270.2,"CarryDistance",2016
3,3,"Andrew Loupe",50,301.7,11164.6,37,330.2,270.5,"CarryDistance",2016
4,5,"Tony Finau",49,301.1,9031.6,30,325.3,256.3,"CarryDistance",2016
5,7,"Rory McIlroy",37,299.1,6878.7,23,325.4,266.3,"CarryDistance",2016
5,4,"Bubba Watson",30,299.1,4186.9,14,321.1,282.4,"CarryDistance",2016
7,7,"Jamie Lovemark",57,298.7,13739.7,46,317.9,265.7,"CarryDistance",2016
8,6,"Dustin Johnson",37,297.8,6254.8,21,331.3,266.3,"CarryDistance",2016
9,9,"Jason Kokrak",52,296.1,10660.7,36,338.9,247.4,"CarryDistance",2016
10,11,"Luke List",51,295.6,10344.9,35,335.2,273.8,"CarryDistance",2016
11,16,"Patrick Rodgers",49,294.2,10591.3,36,347.4,259.1,"CarryDistance",2016
12,10,"Hudson Swafford",52,293.9,9110.6,31,323.6,254.8,"CarryDistance",2016
13,14,"Justin Thomas",53,293.5,12328.9,42,326.4,258.9,"CarryDistance",2016
14,17,"Brendan Steele",48,293.3,9093.3,31,314.9,266.1,"CarryDistance",2016
15,12,"Smylie Kaufman",57,292.6,10534.9,36,310.1,266,"CarryDistance",2016
16,13,"Jason Day",36,292.3,7600.1,26,325.3,265.2,"CarryDistance",2016
17,14,"Charlie Beljan",26,292.2,3798.8,13,322.1,273.7,"CarryDistance",2016
18,24,"Carlos Ortiz",47,291.9,10215.1,35,322.5,254,"CarryDistance",2016
19,21,"Justin Rose",35,291.7,7292.5,25,330.7,262.6,"CarryDistance",2016
19,21,"Adam Scott",39,291.7,7001.1,24,311.8,258.3,"CarryDistance",2016
21,20,"Ollie Schniederjans",23,290.4,4065.3,14,319.1,243.4,"CarryDistance",2016
22,25,"Robert Garrigus",34,290,5799.2,20,316.2,265,"CarryDistance",2016
22,18,"Brooks Koepka",39,290,7251,25,314.9,245.7,"CarryDistance",2016
24,19,"Keegan Bradley",40,289.8,8404.4,29,308.1,256,"CarryDistance",2016
24,26,"Jhonattan Vegas",49,289.8,8404.5,29,314.4,269.1,"CarryDistance",2016
