"ScramblingfromtheFringe_RANKTHISWEEK_2009","ScramblingfromtheFringe_RANKLASTWEEK_2009","ScramblingfromtheFringe_PLAYERNAME_2009","ScramblingfromtheFringe_ROUNDS_2009","ScramblingfromtheFringe_Pct_2009","ScramblingfromtheFringe_SUCCESSES_2009","ScramblingfromtheFringe_ATTEMPTS_2009","stat_name","year"
120,120,"Ken Duke",87,87.14,61,70,"ScramblingfromtheFringe",2009
121,121,"Kirk Triplett",60,86.96,60,69,"ScramblingfromtheFringe",2009
122,122,"Sean OHair",80,86.89,53,61,"ScramblingfromtheFringe",2009
123,123,"JJ Henry",97,86.76,59,68,"ScramblingfromtheFringe",2009
124,124,"Stephen Ames",77,86.67,52,60,"ScramblingfromtheFringe",2009
124,124,"Vaughn Taylor",88,86.67,65,75,"ScramblingfromtheFringe",2009
126,126,"Brian Gay",96,86.59,71,82,"ScramblingfromtheFringe",2009
127,127,"Billy Mayfair",83,86.57,58,67,"ScramblingfromtheFringe",2009
128,128,"Mark Calcavecchia",72,86.44,51,59,"ScramblingfromtheFringe",2009
129,129,"Scott Piercy",85,86.3,63,73,"ScramblingfromtheFringe",2009
130,130,"Charles Howell III",99,86.21,50,58,"ScramblingfromtheFringe",2009
130,130,"Ted Purdy",101,86.21,75,87,"ScramblingfromtheFringe",2009
132,132,"Darron Stiles",52,86.11,31,36,"ScramblingfromtheFringe",2009
133,133,"Anthony Kim",76,86,43,50,"ScramblingfromtheFringe",2009
134,134,"Robert Allenby",71,85.96,49,57,"ScramblingfromtheFringe",2009
134,134,"Dustin Johnson",85,85.96,49,57,"ScramblingfromtheFringe",2009
136,136,"Boo Weekley",79,85.94,55,64,"ScramblingfromtheFringe",2009
137,137,"Brendon de Jonge",90,85.92,61,71,"ScramblingfromtheFringe",2009
137,137,"Peter Lonard",86,85.92,61,71,"ScramblingfromtheFringe",2009
139,139,"David Toms",98,85.88,73,85,"ScramblingfromtheFringe",2009
140,140,"Michael Allen",73,85.71,60,70,"ScramblingfromtheFringe",2009
140,140,"Will Ma Kenzie",69,85.71,42,49,"ScramblingfromtheFringe",2009
142,142,"Charley Hoffman",97,85.53,65,76,"ScramblingfromtheFringe",2009
143,143,"Richard Johnson",85,85.25,52,61,"ScramblingfromtheFringe",2009
143,143,"Chris Stroud",88,85.25,52,61,"ScramblingfromtheFringe",2009
145,145,"Chad Campbell",90,85.14,63,74,"ScramblingfromtheFringe",2009
145,145,"Steve Lowery",83,85.14,63,74,"ScramblingfromtheFringe",2009
147,147,"Padraig Harrington",66,85.11,40,47,"ScramblingfromtheFringe",2009
148,148,"John Merrick",91,85.07,57,67,"ScramblingfromtheFringe",2009
149,149,"DA Points",99,84.95,79,93,"ScramblingfromtheFringe",2009
150,150,"Briny Baird",89,84.93,62,73,"ScramblingfromtheFringe",2009
151,151,"Fred Couples",54,84.85,28,33,"ScramblingfromtheFringe",2009
152,152,"Chris DiMarco",97,84.78,78,92,"ScramblingfromtheFringe",2009
153,153,"Stuart Appleby",79,84.75,50,59,"ScramblingfromtheFringe",2009
154,154,"Corey Pavin",73,84.72,61,72,"ScramblingfromtheFringe",2009
155,155,"Brian Vranesh",51,84.62,44,52,"ScramblingfromtheFringe",2009
156,156,"Jason Bohn",88,84.52,71,84,"ScramblingfromtheFringe",2009
157,157,"Greg Owen",97,84.38,54,64,"ScramblingfromtheFringe",2009
158,158,"Nick Watney",86,84.29,59,70,"ScramblingfromtheFringe",2009
159,159,"Cliff Kresge",78,84.21,48,57,"ScramblingfromtheFringe",2009
160,160,"Aron Price",89,84,63,75,"ScramblingfromtheFringe",2009
161,161,"Parker McLachlin",71,83.58,56,67,"ScramblingfromtheFringe",2009
162,162,"Jeff Quinney",78,83.33,70,84,"ScramblingfromtheFringe",2009
162,162,"Tag Ridings",50,83.33,35,42,"ScramblingfromtheFringe",2009
164,164,"Matt Bettencourt",98,83.13,69,83,"ScramblingfromtheFringe",2009
165,165,"Derek Fathauer",63,82.98,39,47,"ScramblingfromtheFringe",2009
166,166,"Justin Rose",71,82.5,33,40,"ScramblingfromtheFringe",2009
167,167,"Brian Bateman",55,82,41,50,"ScramblingfromtheFringe",2009
168,168,"Marc Turnesa",77,81.94,59,72,"ScramblingfromtheFringe",2009
169,169,"Adam Scott",53,81.82,36,44,"ScramblingfromtheFringe",2009
170,170,"Joe Durant",62,81.48,44,54,"ScramblingfromtheFringe",2009
171,171,"John Rollins",92,81.4,70,86,"ScramblingfromtheFringe",2009
172,172,"Jason Gore",74,80.88,55,68,"ScramblingfromtheFringe",2009
173,173,"Alex Cejka",82,80.65,50,62,"ScramblingfromtheFringe",2009
174,174,"Paul Goydos",79,80.6,54,67,"ScramblingfromtheFringe",2009
175,175,"KJ Choi",65,80,40,50,"ScramblingfromtheFringe",2009
175,175,"Brad Faxon",59,80,48,60,"ScramblingfromtheFringe",2009
177,177,"Glen Day",79,78.95,45,57,"ScramblingfromtheFringe",2009
178,178,"Andres Romero",58,77.42,24,31,"ScramblingfromtheFringe",2009
179,179,"JB Holmes",74,77.36,41,53,"ScramblingfromtheFringe",2009
180,180,"Gary Woodland",53,75.68,28,37,"ScramblingfromtheFringe",2009
181,181,"Peter Tomasulo",61,75.56,34,45,"ScramblingfromtheFringe",2009
182,182,"David Duval",56,75.51,37,49,"ScramblingfromtheFringe",2009
183,183,"Leif Olson",51,75,36,48,"ScramblingfromtheFringe",2009
184,184,"Brendon Todd",53,72.22,26,36,"ScramblingfromtheFringe",2009
