"RightTendency_RANKTHISWEEK_2013","RightTendency_RANKLASTWEEK_2013","RightTendency_PLAYERNAME_2013","RightTendency_EVENTS_2013","RightTendency_Pct_2013","RightTendency_NUMBEROFTIMES_2013","RightTendency_ATTEMPTS_2013","RightTendency_AVGRTPSCORE_2013","stat_name","year"
1,1,"Russell Henley",24,37.1,114,307,0.53,"RightTendency",2013
2,2,"Michael Bradley",21,39.2,102,260,1.27,"RightTendency",2013
3,3,"JJ Henry",26,40.6,140,345,1.86,"RightTendency",2013
4,4,"Sergio Garcia",17,41.2,100,243,1,"RightTendency",2013
5,5,"Robert Allenby",24,41.3,123,298,3.09,"RightTendency",2013
6,6,"Luke List",24,41.4,150,362,0.67,"RightTendency",2013
6,6,"Kevin Stadler",25,41.4,139,336,1.8,"RightTendency",2013
8,8,"Shawn Stefani",21,42.4,132,311,0.3,"RightTendency",2013
9,9,"Phil Mickelson",21,42.6,136,319,0.37,"RightTendency",2013
10,10,"Robert Streb",25,42.9,139,324,2.52,"RightTendency",2013
10,10,"Johnson Wagner",24,42.9,126,294,1.75,"RightTendency",2013
12,12,"Jeff Maggert",21,43.1,109,253,2.48,"RightTendency",2013
13,13,"Ryo Ishikawa",23,43.4,142,327,2.18,"RightTendency",2013
14,14,"Luke Donald",17,43.5,103,237,1.07,"RightTendency",2013
15,15,"Henrik Stenson",18,43.8,71,162,0.56,"RightTendency",2013
16,16,"Brian Davis",28,44.1,153,347,1.83,"RightTendency",2013
17,17,"Casey Wittenberg",27,45,170,378,2.35,"RightTendency",2013
18,18,"DA Points",28,45.3,150,331,0.73,"RightTendency",2013
19,19,"Martin Flores",25,45.4,216,476,0.69,"RightTendency",2013
19,19,"Nicholas Thompson",29,45.4,183,403,1.37,"RightTendency",2013
21,21,"Carl Pettersson",24,45.7,153,335,1.63,"RightTendency",2013
22,22,"Lucas Glover",23,45.9,122,266,1.8,"RightTendency",2013
23,23,"Chez Reavie",22,46,126,274,1.19,"RightTendency",2013
24,24,"Greg Owen",24,46.1,166,360,3.31,"RightTendency",2013
25,25,"James Driscoll",23,46.3,180,389,1.56,"RightTendency",2013
26,26,"Chris Stroud",26,46.4,182,392,1.1,"RightTendency",2013
27,27,"Tom Gillis",22,46.5,134,288,2.61,"RightTendency",2013
27,27,"Henrik Norlander",22,46.5,147,316,1.43,"RightTendency",2013
27,27,"Andres Romero",21,46.5,133,286,1.73,"RightTendency",2013
30,30,"Jonas Blixt",24,46.6,173,371,1.62,"RightTendency",2013
30,30,"Jason Kokrak",25,46.6,197,423,1.22,"RightTendency",2013
32,32,"Steven Bowditch",22,46.7,162,347,1.67,"RightTendency",2013
32,32,"Charley Hoffman",23,46.7,179,383,0.89,"RightTendency",2013
34,34,"Bill Haas",25,46.9,161,343,1.3,"RightTendency",2013
35,35,"Chad Campbell",25,47,179,381,2.51,"RightTendency",2013
35,35,"Lee Westwood",19,47,116,247,2.24,"RightTendency",2013
37,37,"Richard Lee",24,47.2,154,326,1.43,"RightTendency",2013
38,38,"Aaron Baddeley",24,47.5,182,383,0.99,"RightTendency",2013
39,39,"David Toms",16,47.7,73,153,2.47,"RightTendency",2013
40,40,"DJ Trahan",16,47.8,89,186,1.91,"RightTendency",2013
41,41,"Jason Bohn",23,47.9,147,307,2.45,"RightTendency",2013
41,41,"Doug LaBelle II",23,47.9,123,257,2.76,"RightTendency",2013
