"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2005","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2005","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2005","AverageApproachDistanceBirdieorBetter_ROUNDS_2005","AverageApproachDistanceBirdieorBetter_AVGYARDS_2005","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2005","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2005","stat_name","year"
1,1,"Mark OMeara",66,150.8,798226,147,"AverageApproachDistanceBirdieorBetter",2005
2,2,"Larry Mize",54,153.1,832391,151,"AverageApproachDistanceBirdieorBetter",2005
3,3,"Mark Wilson",74,156.4,1261577,224,"AverageApproachDistanceBirdieorBetter",2005
4,4,"Fred Funk",102,156.7,1415553,251,"AverageApproachDistanceBirdieorBetter",2005
4,4,"Len Mattiace",86,156.7,1275121,226,"AverageApproachDistanceBirdieorBetter",2005
6,6,"Jeff Hart",63,156.8,965488,171,"AverageApproachDistanceBirdieorBetter",2005
7,7,"Gavin Coles",70,157.5,1202341,212,"AverageApproachDistanceBirdieorBetter",2005
8,8,"JP Hayes",63,157.6,1146109,202,"AverageApproachDistanceBirdieorBetter",2005
9,9,"Mark Brooks",72,158.2,1002584,176,"AverageApproachDistanceBirdieorBetter",2005
9,9,"Olin Browne",99,158.2,1731618,304,"AverageApproachDistanceBirdieorBetter",2005
11,11,"Kirk Triplett",55,158.4,866568,152,"AverageApproachDistanceBirdieorBetter",2005
12,12,"Loren Roberts",54,158.5,901313,158,"AverageApproachDistanceBirdieorBetter",2005
13,13,"Bill Glasson",54,158.8,782990,137,"AverageApproachDistanceBirdieorBetter",2005
14,14,"Steve Stricker",62,159.1,1345901,235,"AverageApproachDistanceBirdieorBetter",2005
15,15,"Luke Donald",67,159.6,815904,142,"AverageApproachDistanceBirdieorBetter",2005
16,16,"Dan Forsman",52,159.8,1012713,176,"AverageApproachDistanceBirdieorBetter",2005
17,17,"Chris Anderson",66,159.9,1082230,188,"AverageApproachDistanceBirdieorBetter",2005
