"DrivingPct320Measured_RANKTHISWEEK_2009","DrivingPct320Measured_RANKLASTWEEK_2009","DrivingPct320Measured_PLAYERNAME_2009","DrivingPct320Measured_ROUNDS_2009","DrivingPct320Measured_Pct_2009","DrivingPct320Measured_TOTALDRIVESFOR320_2009","DrivingPct320Measured_TOTALDRVSOVERALL_2009","DrivingPct320Measured_RELATIVETOPAR_2009","stat_name","year"
1,1,"Bubba Watson",73,44.44,56,126,-0.38,"DrivingPct320Measured",2009
2,2,"Robert Garrigus",83,39.87,63,158,-0.25,"DrivingPct320Measured",2009
3,3,"Tag Ridings",50,32.95,29,88,-0.34,"DrivingPct320Measured",2009
4,4,"Nick Watney",86,32.24,49,152,-0.35,"DrivingPct320Measured",2009
5,5,"Angel Cabrera",55,30.95,26,84,-0.15,"DrivingPct320Measured",2009
6,6,"Gary Woodland",53,30.23,26,86,-0.31,"DrivingPct320Measured",2009
7,7,"Dustin Johnson",85,29.73,44,148,-0.32,"DrivingPct320Measured",2009
8,8,"JB Holmes",74,29.55,39,132,-0.15,"DrivingPct320Measured",2009
9,9,"Phil Mickelson",66,23.64,26,110,-0.08,"DrivingPct320Measured",2009
10,10,"Tiger Woods",64,23.08,24,104,-0.58,"DrivingPct320Measured",2009
11,11,"Martin Laird",72,22.73,30,132,-0.3,"DrivingPct320Measured",2009
12,12,"Andres Romero",58,22.22,20,90,-0.3,"DrivingPct320Measured",2009
13,13,"Davis Love III",89,21.69,36,166,-0.33,"DrivingPct320Measured",2009
14,14,"Troy Matteson",95,19.23,35,182,-0.49,"DrivingPct320Measured",2009
15,15,"Harrison Frazar",93,18.54,33,178,-0.58,"DrivingPct320Measured",2009
16,16,"Charles Warren",63,17.54,20,114,-0.25,"DrivingPct320Measured",2009
17,17,"Scott Piercy",85,17.28,28,162,-0.5,"DrivingPct320Measured",2009
18,18,"Lucas Glover",93,17.24,30,174,-0.33,"DrivingPct320Measured",2009
19,19,"Sean OHair",80,17.19,22,128,-0.27,"DrivingPct320Measured",2009
20,20,"Adam Scott",53,17.05,15,88,0.07,"DrivingPct320Measured",2009
21,21,"Marc Leishman",91,16.67,29,174,-0.17,"DrivingPct320Measured",2009
21,21,"Ryan Palmer",78,16.67,26,156,-0.31,"DrivingPct320Measured",2009
23,23,"Jonathan Byrd",89,16.47,28,170,-0.43,"DrivingPct320Measured",2009
24,24,"Kevin Streelman",97,16.13,30,186,-0.33,"DrivingPct320Measured",2009
25,25,"Rory Sabbatini",81,15.97,23,144,-0.3,"DrivingPct320Measured",2009
26,26,"Hunter Mahan",94,15.85,26,164,-0.46,"DrivingPct320Measured",2009
27,27,"Matt Jones",56,15.31,15,98,-0.33,"DrivingPct320Measured",2009
28,28,"Stewart Cink",79,15.08,19,126,-0.16,"DrivingPct320Measured",2009
29,29,"Bill Haas",91,14.94,26,174,-0.38,"DrivingPct320Measured",2009
30,30,"Vijay Singh",71,14.91,17,114,-0.29,"DrivingPct320Measured",2009
31,31,"Charley Hoffman",97,14.74,28,190,-0.25,"DrivingPct320Measured",2009
32,32,"Jeff Overton",92,14.29,24,168,-0.33,"DrivingPct320Measured",2009
33,33,"Anthony Kim",76,14.06,18,128,-0.39,"DrivingPct320Measured",2009
34,34,"Daniel Chopra",89,14.04,25,178,-0.12,"DrivingPct320Measured",2009
35,35,"David Duval",56,14,14,100,-0.21,"DrivingPct320Measured",2009
36,36,"John Rollins",92,13.64,24,176,-0.29,"DrivingPct320Measured",2009
37,37,"Robert Allenby",71,13.33,16,120,-0.38,"DrivingPct320Measured",2009
38,38,"Sergio Garcia",59,13.04,12,92,-0.33,"DrivingPct320Measured",2009
39,39,"John Merrick",91,12.99,20,154,-0.3,"DrivingPct320Measured",2009
40,40,"Padraig Harrington",66,12.73,14,110,0,"DrivingPct320Measured",2009
41,41,"Kenny Perry",92,12.66,20,158,-0.45,"DrivingPct320Measured",2009
42,42,"Fred Couples",54,12.5,13,104,-0.62,"DrivingPct320Measured",2009
43,43,"Ted Purdy",101,12.37,23,186,-0.39,"DrivingPct320Measured",2009
44,44,"Ryan Moore",89,12.35,20,162,-0.35,"DrivingPct320Measured",2009
