"Total3Putts1520_RANKTHISWEEK_2005","Total3Putts1520_RANKLASTWEEK_2005","Total3Putts1520_PLAYERNAME_2005","Total3Putts1520_ROUNDS_2005","Total3Putts1520_TOTAL3PUTTS1520_2005","Total3Putts1520_TOTAL3PUTTS_2005","stat_name","year"
1,1,"Woody Austin",100,8,59,"Total3Putts1520",2005
1,1,"Scott Hend",75,8,63,"Total3Putts1520",2005
3,3,"Kent Jones",99,7,47,"Total3Putts1520",2005
3,3,"Vaughn Taylor",99,7,52,"Total3Putts1520",2005
5,5,"Brian Bateman",98,6,45,"Total3Putts1520",2005
5,5,"Scott Gutschewski",86,6,34,"Total3Putts1520",2005
5,5,"Brendan Jones",81,6,52,"Total3Putts1520",2005
5,5,"Neal Lancaster",95,6,55,"Total3Putts1520",2005
5,5,"Steve Lowery",100,6,47,"Total3Putts1520",2005
5,5,"Justin Rose",99,6,54,"Total3Putts1520",2005
5,5,"Patrick Sheehan",114,6,45,"Total3Putts1520",2005
12,12,"Jason Allred",75,5,39,"Total3Putts1520",2005
12,12,"DJ Brigman",76,5,55,"Total3Putts1520",2005
12,12,"Mark Brooks",72,5,32,"Total3Putts1520",2005
12,12,"Mark Calcavecchia",92,5,45,"Total3Putts1520",2005
12,12,"Brian Davis",75,5,54,"Total3Putts1520",2005
12,12,"Joe Durant",81,5,62,"Total3Putts1520",2005
12,12,"Steve Flesch",90,5,43,"Total3Putts1520",2005
12,12,"David Hearn",68,5,52,"Total3Putts1520",2005
12,12,"Sean OHair",103,5,56,"Total3Putts1520",2005
12,12,"Pat Perez",89,5,47,"Total3Putts1520",2005
12,12,"DJ Trahan",81,5,48,"Total3Putts1520",2005
12,12,"Brett Wetterich",76,5,50,"Total3Putts1520",2005
24,24,"Robert Allenby",95,4,45,"Total3Putts1520",2005
24,24,"Olin Browne",99,4,31,"Total3Putts1520",2005
24,24,"Jonathan Byrd",103,4,61,"Total3Putts1520",2005
24,24,"Chad Campbell",95,4,41,"Total3Putts1520",2005
24,24,"Daniel Chopra",108,4,50,"Total3Putts1520",2005
24,24,"Jose Coceres",56,4,40,"Total3Putts1520",2005
24,24,"Glen Hnatiuk",59,4,31,"Total3Putts1520",2005
24,24,"John Huston",90,4,49,"Total3Putts1520",2005
24,24,"Matt Kuchar",60,4,27,"Total3Putts1520",2005
24,24,"Bernhard Langer",67,4,28,"Total3Putts1520",2005
24,24,"Thomas Levet",54,4,37,"Total3Putts1520",2005
24,24,"Frank Lickliter II",100,4,52,"Total3Putts1520",2005
24,24,"Michael Long",72,4,35,"Total3Putts1520",2005
24,24,"Will Ma Kenzie",75,4,58,"Total3Putts1520",2005
24,24,"Joe Ogilvie",103,4,44,"Total3Putts1520",2005
24,24,"Ted Purdy",122,4,67,"Total3Putts1520",2005
24,24,"David Toms",87,4,30,"Total3Putts1520",2005
24,24,"Bo Van Pelt",112,4,62,"Total3Putts1520",2005
24,24,"Charles Warren",89,4,54,"Total3Putts1520",2005
43,43,"Steve Allan",102,3,79,"Total3Putts1520",2005
43,43,"Stuart Appleby",84,3,28,"Total3Putts1520",2005
43,43,"Tommy Armour III",103,3,51,"Total3Putts1520",2005
43,43,"Cameron Beckman",96,3,51,"Total3Putts1520",2005
43,43,"Jason Bohn",91,3,33,"Total3Putts1520",2005
43,43,"Justin Bolli",65,3,22,"Total3Putts1520",2005
43,43,"Jim Carter",62,3,29,"Total3Putts1520",2005
43,43,"Fred Couples",72,3,29,"Total3Putts1520",2005
43,43,"Chris DiMarco",83,3,20,"Total3Putts1520",2005
43,43,"Steve Elkington",67,3,26,"Total3Putts1520",2005
43,43,"Paul Gow",78,3,42,"Total3Putts1520",2005
43,43,"JP Hayes",63,3,27,"Total3Putts1520",2005
43,43,"Bob Heintz",67,3,34,"Total3Putts1520",2005
43,43,"Steve Jones",56,3,29,"Total3Putts1520",2005
43,43,"Hank Kuehne",84,3,42,"Total3Putts1520",2005
43,43,"Stephen Leaney",89,3,46,"Total3Putts1520",2005
43,43,"Andrew Magee",82,3,38,"Total3Putts1520",2005
43,43,"Jeff Maggert",79,3,38,"Total3Putts1520",2005
43,43,"Hunter Mahan",103,3,42,"Total3Putts1520",2005
43,43,"Scott McCarron",78,3,29,"Total3Putts1520",2005
43,43,"Rocco Mediate",73,3,49,"Total3Putts1520",2005
43,43,"Tom Pernice Jr",111,3,35,"Total3Putts1520",2005
43,43,"DA Points",94,3,52,"Total3Putts1520",2005
43,43,"Tag Ridings",93,3,44,"Total3Putts1520",2005
43,43,"Roland Thatcher",75,3,64,"Total3Putts1520",2005
