"TotalEagles_RANKTHISWEEK_2016","TotalEagles_RANKLASTWEEK_2016","TotalEagles_PLAYERNAME_2016","TotalEagles_ROUNDS_2016","TotalEagles_TOTAL_2016","stat_name","year"
1,1,"Ben Martin",48,11,"TotalEagles",2016
2,2,"Sung Kang",51,10,"TotalEagles",2016
2,2,"Chez Reavie",56,10,"TotalEagles",2016
4,5,"Kyle Reifers",63,9,"TotalEagles",2016
4,4,"Patrick Rodgers",49,9,"TotalEagles",2016
6,17,"Mark Hubbard",73,8,"TotalEagles",2016
6,5,"Andrew Loupe",50,8,"TotalEagles",2016
6,5,"Adam Scott",39,8,"TotalEagles",2016
6,9,"Daniel Summerhays",55,8,"TotalEagles",2016
6,5,"Nick Taylor",57,8,"TotalEagles",2016
11,9,"Kevin Chappell",49,7,"TotalEagles",2016
11,9,"Tony Finau",49,7,"TotalEagles",2016
11,9,"Jim Herman",55,7,"TotalEagles",2016
11,9,"Hiroshi Iwata",51,7,"TotalEagles",2016
11,9,"Jerry Kelly",44,7,"TotalEagles",2016
11,17,"Patrick Reed",53,7,"TotalEagles",2016
11,17,"Chris Stroud",52,7,"TotalEagles",2016
11,9,"Tyrone Van Aswegen",67,7,"TotalEagles",2016
11,9,"Harold Varner III",58,7,"TotalEagles",2016
11,17,"Jhonattan Vegas",49,7,"TotalEagles",2016
21,17,"Blayne Barber",44,6,"TotalEagles",2016
21,17,"Scott Brown",59,6,"TotalEagles",2016
21,17,"Bronson Burgoon",53,6,"TotalEagles",2016
21,61,"Fabian Gomez",49,6,"TotalEagles",2016
21,17,"Jason Gore",51,6,"TotalEagles",2016
21,17,"David Hearn",55,6,"TotalEagles",2016
21,17,"Charley Hoffman",49,6,"TotalEagles",2016
21,17,"Morgan Hoffmann",43,6,"TotalEagles",2016
21,17,"Tom Hoge",47,6,"TotalEagles",2016
21,17,"Charles Howell III",63,6,"TotalEagles",2016
21,17,"Kevin Kisner",49,6,"TotalEagles",2016
21,17,"Colt Knost",56,6,"TotalEagles",2016
21,17,"DH Lee",35,6,"TotalEagles",2016
21,17,"Spencer Levin",62,6,"TotalEagles",2016
21,17,"Jamie Lovemark",57,6,"TotalEagles",2016
21,17,"Greg Owen",56,6,"TotalEagles",2016
21,17,"Ryan Palmer",46,6,"TotalEagles",2016
21,17,"Scott Piercy",45,6,"TotalEagles",2016
21,17,"Brendan Steele",48,6,"TotalEagles",2016
21,17,"Hudson Swafford",52,6,"TotalEagles",2016
21,17,"Justin Thomas",53,6,"TotalEagles",2016
21,17,"Jimmy Walker",43,6,"TotalEagles",2016
21,17,"Bubba Watson",30,6,"TotalEagles",2016
44,43,"Aaron Baddeley",51,5,"TotalEagles",2016
44,43,"Matt Every",34,5,"TotalEagles",2016
44,43,"Rickie Fowler",42,5,"TotalEagles",2016
44,61,"Lucas Glover",53,5,"TotalEagles",2016
44,43,"Bill Haas",42,5,"TotalEagles",2016
44,43,"Russell Henley",42,5,"TotalEagles",2016
44,43,"Smylie Kaufman",57,5,"TotalEagles",2016
44,43,"Si Woo Kim",63,5,"TotalEagles",2016
