"ConsecutiveBirdiesEaglesstreak_RANKTHISWEEK_2016","ConsecutiveBirdiesEaglesstreak_RANKLASTWEEK_2016","ConsecutiveBirdiesEaglesstreak_PLAYERNAME_2016","ConsecutiveBirdiesEaglesstreak_EVENTS_2016","ConsecutiveBirdiesEaglesstreak_NUMBEROFHOLES_2016","stat_name","year"
1,1,"Kevin Na",14,7,"ConsecutiveBirdiesEaglesstreak",2016
2,2,"Andrew Loupe",16,5,"ConsecutiveBirdiesEaglesstreak",2016
2,2,"Shawn Stefani",16,5,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Adam Hadwin",16,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Brian Harman",18,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Jim Herman",17,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Tom Hoge",15,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Charles Howell III",17,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Colt Knost",15,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"DH Lee",13,4,"ConsecutiveBirdiesEaglesstreak",2016
4,4,"Jamie Lovemark",17,4,"ConsecutiveBirdiesEaglesstreak",2016
4,12,"Rory McIlroy",9,4,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Thomas Aiken",13,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Daniel Berger",15,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Ryan Blaum",1,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Jonas Blixt",16,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Miguel Angel Carballo",11,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Alex Cejka",15,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Harris English",15,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Brice Garnett",9,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"David Hearn",18,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Mark Hubbard",20,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Smylie Kaufman",16,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Martin Kaymer",6,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"KT Kim",2,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Si Woo Kim",19,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Brooks Koepka",11,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Danny Lee",16,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Marc Leishman",12,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Luke List",17,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Ben Martin",14,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Sean OHair",14,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Ryan Palmer",12,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Cameron Percy",7,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Scott Piercy",12,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Ryan Ruffels",6,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Rory Sabbatini",14,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Adam Scott",10,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Cameron Smith",14,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Brendan Steele",14,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Henrik Stenson",8,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Chris Stroud",17,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Daniel Summerhays",15,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Justin Thomas",15,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Michael Thompson",14,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Tyrone Van Aswegen",20,3,"ConsecutiveBirdiesEaglesstreak",2016
13,164,"Dawie van der Walt",16,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Harold Varner III",18,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Jimmy Walker",12,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Will Wilcox",16,3,"ConsecutiveBirdiesEaglesstreak",2016
13,12,"Chris Wood",5,3,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Tyler Aldridge",18,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Robert Allenby",16,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Aaron Baddeley",15,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Blayne Barber",16,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Shane Bertsch",9,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Jason Bohn",11,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Michael Bradley",5,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Keegan Bradley",14,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Scott Brown",17,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Bronson Burgoon",17,2,"ConsecutiveBirdiesEaglesstreak",2016
52,51,"Jonathan Byrd",6,2,"ConsecutiveBirdiesEaglesstreak",2016
