"FedExCupBonusMoney_RANKTHISWEEK_2015","FedExCupBonusMoney_RANKLASTWEEK_2015","FedExCupBonusMoney_PLAYERNAME_2015","FedExCupBonusMoney_EVENTS_2015","FedExCupBonusMoney_MONEY_2015","stat_name","year"
1,1,"Jordan Spieth",25,1e+07,"FedExCupBonusMoney",2015
2,2,"Henrik Stenson",16,3e+06,"FedExCupBonusMoney",2015
3,3,"Jason Day",20,2e+06,"FedExCupBonusMoney",2015
4,4,"Rickie Fowler",21,1500000,"FedExCupBonusMoney",2015
5,5,"Bubba Watson",19,1e+06,"FedExCupBonusMoney",2015
6,6,"Zach Johnson",25,8e+05,"FedExCupBonusMoney",2015
7,7,"Dustin Johnson",21,7e+05,"FedExCupBonusMoney",2015
8,8,"Justin Rose",20,6e+05,"FedExCupBonusMoney",2015
9,9,"Danny Lee",36,550000,"FedExCupBonusMoney",2015
10,10,"Charley Hoffman",28,5e+05,"FedExCupBonusMoney",2015
11,11,"Daniel Berger",31,3e+05,"FedExCupBonusMoney",2015
12,12,"Patrick Reed",27,290000,"FedExCupBonusMoney",2015
13,13,"Paul Casey",24,280000,"FedExCupBonusMoney",2015
14,14,"JB Holmes",25,270000,"FedExCupBonusMoney",2015
15,15,"Rory McIlroy",12,250000,"FedExCupBonusMoney",2015
16,16,"Hideki Matsuyama",25,242500,"FedExCupBonusMoney",2015
16,16,"Jimmy Walker",24,242500,"FedExCupBonusMoney",2015
18,18,"Robert Streb",30,235000,"FedExCupBonusMoney",2015
19,19,"Matt Kuchar",25,230000,"FedExCupBonusMoney",2015
20,20,"Steven Bowditch",32,225000,"FedExCupBonusMoney",2015
21,21,"Kevin Kisner",30,220000,"FedExCupBonusMoney",2015
22,22,"Scott Piercy",28,215000,"FedExCupBonusMoney",2015
23,23,"Brandt Snedeker",27,210000,"FedExCupBonusMoney",2015
24,24,"Brooks Koepka",23,205000,"FedExCupBonusMoney",2015
25,25,"Kevin Na",27,2e+05,"FedExCupBonusMoney",2015
26,26,"Sangmoon Bae",30,195000,"FedExCupBonusMoney",2015
27,27,"Bill Haas",25,190000,"FedExCupBonusMoney",2015
28,28,"Harris English",29,185000,"FedExCupBonusMoney",2015
29,29,"Jim Furyk",19,180000,"FedExCupBonusMoney",2015
30,30,"Louis Oosthuizen",20,175000,"FedExCupBonusMoney",2015
31,31,"Daniel Summerhays",29,165000,"FedExCupBonusMoney",2015
32,32,"Justin Thomas",30,155000,"FedExCupBonusMoney",2015
33,33,"Matt Jones",25,150000,"FedExCupBonusMoney",2015
34,34,"Russell Knox",28,145000,"FedExCupBonusMoney",2015
35,35,"Ben Martin",27,142000,"FedExCupBonusMoney",2015
36,36,"Cameron Tringale",28,140000,"FedExCupBonusMoney",2015
37,37,"David Lingmerth",28,138000,"FedExCupBonusMoney",2015
38,38,"Ryan Palmer",22,137000,"FedExCupBonusMoney",2015
39,39,"Ryan Moore",24,136000,"FedExCupBonusMoney",2015
40,40,"Jason Bohn",27,135000,"FedExCupBonusMoney",2015
41,41,"Gary Woodland",24,134000,"FedExCupBonusMoney",2015
42,42,"Sean OHair",26,133000,"FedExCupBonusMoney",2015
43,43,"Tony Finau",31,132000,"FedExCupBonusMoney",2015
44,44,"Chris Kirk",21,131000,"FedExCupBonusMoney",2015
45,45,"Pat Perez",26,130000,"FedExCupBonusMoney",2015
46,46,"Brendon Todd",27,129000,"FedExCupBonusMoney",2015
47,47,"Brendon de Jonge",31,128000,"FedExCupBonusMoney",2015
48,48,"Webb Simpson",22,127000,"FedExCupBonusMoney",2015
49,49,"Hunter Mahan",24,126000,"FedExCupBonusMoney",2015
50,50,"Brendan Steele",24,125000,"FedExCupBonusMoney",2015
51,51,"James Hahn",28,120000,"FedExCupBonusMoney",2015
52,52,"Kevin Chappell",26,115000,"FedExCupBonusMoney",2015
53,53,"Sergio Garcia",15,114000,"FedExCupBonusMoney",2015
54,54,"Shawn Stefani",26,113000,"FedExCupBonusMoney",2015
55,55,"David Hearn",30,110000,"FedExCupBonusMoney",2015
56,56,"Troy Merritt",29,110000,"FedExCupBonusMoney",2015
57,57,"Brian Harman",29,110000,"FedExCupBonusMoney",2015
58,58,"Nick Watney",28,110000,"FedExCupBonusMoney",2015
59,59,"Zac Blair",34,110000,"FedExCupBonusMoney",2015
60,60,"Keegan Bradley",24,110000,"FedExCupBonusMoney",2015
61,61,"Phil Mickelson",19,110000,"FedExCupBonusMoney",2015
62,62,"George McNeill",27,110000,"FedExCupBonusMoney",2015
63,63,"Russell Henley",24,110000,"FedExCupBonusMoney",2015
64,64,"Fabian Gomez",26,110000,"FedExCupBonusMoney",2015
65,65,"Rory Sabbatini",25,110000,"FedExCupBonusMoney",2015
66,66,"Billy Horschel",28,110000,"FedExCupBonusMoney",2015
67,67,"Ian Poulter",19,110000,"FedExCupBonusMoney",2015
68,68,"Jerry Kelly",24,110000,"FedExCupBonusMoney",2015
69,69,"William McGirt",30,110000,"FedExCupBonusMoney",2015
70,70,"Bryce Molder",26,110000,"FedExCupBonusMoney",2015
71,71,"Alex Cejka",30,80000,"FedExCupBonusMoney",2015
72,72,"Marc Leishman",23,80000,"FedExCupBonusMoney",2015
73,73,"John Senden",24,80000,"FedExCupBonusMoney",2015
74,74,"Jim Herman",27,80000,"FedExCupBonusMoney",2015
75,75,"Kevin Streelman",27,80000,"FedExCupBonusMoney",2015
76,76,"Boo Weekley",24,80000,"FedExCupBonusMoney",2015
77,77,"Carl Pettersson",32,80000,"FedExCupBonusMoney",2015
78,78,"Kyle Reifers",31,80000,"FedExCupBonusMoney",2015
79,79,"Charles Howell III",30,80000,"FedExCupBonusMoney",2015
80,80,"Luke Donald",20,80000,"FedExCupBonusMoney",2015
81,81,"Hudson Swafford",30,75000,"FedExCupBonusMoney",2015
82,82,"Spencer Levin",31,75000,"FedExCupBonusMoney",2015
83,83,"Scott Pinckney",27,75000,"FedExCupBonusMoney",2015
84,84,"Camilo Villegas",27,75000,"FedExCupBonusMoney",2015
85,85,"Morgan Hoffmann",26,75000,"FedExCupBonusMoney",2015
86,86,"Davis Love III",18,75000,"FedExCupBonusMoney",2015
87,87,"Johnson Wagner",23,75000,"FedExCupBonusMoney",2015
88,88,"Jason Dufner",21,75000,"FedExCupBonusMoney",2015
89,89,"Matt Every",26,75000,"FedExCupBonusMoney",2015
90,90,"JJ Henry",30,75000,"FedExCupBonusMoney",2015
91,91,"Colt Knost",29,75000,"FedExCupBonusMoney",2015
92,92,"Jason Gore",26,75000,"FedExCupBonusMoney",2015
93,93,"Carlos Ortiz",30,75000,"FedExCupBonusMoney",2015
94,94,"Scott Brown",30,75000,"FedExCupBonusMoney",2015
95,95,"Mark Wilson",28,75000,"FedExCupBonusMoney",2015
96,96,"Chad Campbell",30,75000,"FedExCupBonusMoney",2015
97,97,"Will Wilcox",17,75000,"FedExCupBonusMoney",2015
98,98,"Chesson Hadley",30,75000,"FedExCupBonusMoney",2015
99,99,"Martin Laird",24,75000,"FedExCupBonusMoney",2015
100,100,"Jason Kokrak",28,75000,"FedExCupBonusMoney",2015
101,101,"Nick Taylor",28,70000,"FedExCupBonusMoney",2015
102,102,"Stewart Cink",23,70000,"FedExCupBonusMoney",2015
103,103,"Padraig Harrington",21,70000,"FedExCupBonusMoney",2015
104,104,"Greg Owen",19,70000,"FedExCupBonusMoney",2015
105,105,"John Peterson",25,70000,"FedExCupBonusMoney",2015
106,106,"Adam Scott",15,70000,"FedExCupBonusMoney",2015
107,107,"Adam Hadwin",30,70000,"FedExCupBonusMoney",2015
108,108,"Charl Schwartzel",19,70000,"FedExCupBonusMoney",2015
109,109,"Lee Westwood",15,70000,"FedExCupBonusMoney",2015
110,110,"John Huh",31,70000,"FedExCupBonusMoney",2015
111,111,"Francesco Molinari",16,70000,"FedExCupBonusMoney",2015
112,112,"Graham DeLaet",22,70000,"FedExCupBonusMoney",2015
113,113,"Jon Curran",28,70000,"FedExCupBonusMoney",2015
114,114,"Steve Wheatcroft",28,70000,"FedExCupBonusMoney",2015
115,115,"Andres Gonzales",28,70000,"FedExCupBonusMoney",2015
116,116,"Chris Stroud",28,70000,"FedExCupBonusMoney",2015
117,117,"Ken Duke",30,70000,"FedExCupBonusMoney",2015
118,118,"Retief Goosen",25,70000,"FedExCupBonusMoney",2015
119,119,"Vijay Singh",23,70000,"FedExCupBonusMoney",2015
120,120,"Chad Collins",24,70000,"FedExCupBonusMoney",2015
121,121,"Tim Clark",13,70000,"FedExCupBonusMoney",2015
122,122,"Ryo Ishikawa",28,70000,"FedExCupBonusMoney",2015
123,123,"Jonas Blixt",26,70000,"FedExCupBonusMoney",2015
124,124,"Erik Compton",28,70000,"FedExCupBonusMoney",2015
125,125,"Jeff Overton",30,70000,"FedExCupBonusMoney",2015
126,126,"Will Ma Kenzie",16,32000,"FedExCupBonusMoney",2015
127,127,"Scott Langley",28,32000,"FedExCupBonusMoney",2015
128,128,"Brian Stuard",31,32000,"FedExCupBonusMoney",2015
129,129,"Scott Stallings",19,32000,"FedExCupBonusMoney",2015
130,130,"Jamie Donaldson",16,32000,"FedExCupBonusMoney",2015
131,131,"Nicholas Thompson",31,32000,"FedExCupBonusMoney",2015
132,132,"Tom Hoge",26,32000,"FedExCupBonusMoney",2015
133,133,"Alex Prugh",27,32000,"FedExCupBonusMoney",2015
134,134,"Seung Yul Noh",21,32000,"FedExCupBonusMoney",2015
135,135,"SJ Park",27,32000,"FedExCupBonusMoney",2015
136,136,"Billy Hurley III",28,32000,"FedExCupBonusMoney",2015
137,137,"Sam Saunders",28,32000,"FedExCupBonusMoney",2015
138,138,"Michael Putnam",28,32000,"FedExCupBonusMoney",2015
139,139,"Martin Kaymer",13,32000,"FedExCupBonusMoney",2015
140,140,"Brice Garnett",29,32000,"FedExCupBonusMoney",2015
141,141,"Whee Kim",23,32000,"FedExCupBonusMoney",2015
142,142,"Tom Gillis",16,32000,"FedExCupBonusMoney",2015
143,143,"Brian Davis",31,32000,"FedExCupBonusMoney",2015
144,144,"David Toms",21,32000,"FedExCupBonusMoney",2015
145,145,"Blayne Barber",26,32000,"FedExCupBonusMoney",2015
146,146,"Michael Thompson",27,32000,"FedExCupBonusMoney",2015
147,147,"Lucas Glover",26,32000,"FedExCupBonusMoney",2015
148,148,"Luke Guthrie",27,32000,"FedExCupBonusMoney",2015
149,149,"Charlie Beljan",27,32000,"FedExCupBonusMoney",2015
150,150,"Cameron Percy",23,32000,"FedExCupBonusMoney",2015
