"Back9Round2ScoringAverage_RANKTHISWEEK_2010","Back9Round2ScoringAverage_RANKLASTWEEK_2010","Back9Round2ScoringAverage_PLAYERNAME_2010","Back9Round2ScoringAverage__2010","Back9Round2ScoringAverage_AVG_2010","Back9Round2ScoringAverage_TOTALSTROKES_2010","Back9Round2ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Jim Furyk",NA,34.6,692,20,"Back9Round2ScoringAverage",2010
2,2,"Matt Every",NA,34.61,623,18,"Back9Round2ScoringAverage",2010
3,3,"Johnson Wagner",NA,34.67,936,27,"Back9Round2ScoringAverage",2010
4,4,"Spencer Levin",NA,34.68,1075,31,"Back9Round2ScoringAverage",2010
5,5,"Charley Hoffman",NA,34.71,833,24,"Back9Round2ScoringAverage",2010
6,6,"Dustin Johnson",NA,34.73,764,22,"Back9Round2ScoringAverage",2010
7,7,"Kevin Sutherland",NA,34.8,870,25,"Back9Round2ScoringAverage",2010
8,8,"Lucas Glover",NA,34.82,766,22,"Back9Round2ScoringAverage",2010
9,9,"Steve Stricker",NA,34.83,627,18,"Back9Round2ScoringAverage",2010
10,10,"Steve Elkington",NA,34.86,732,21,"Back9Round2ScoringAverage",2010
11,11,"Matt Kuchar",NA,34.88,872,25,"Back9Round2ScoringAverage",2010
11,11,"Kevin Na",NA,34.88,872,25,"Back9Round2ScoringAverage",2010
13,13,"Charlie Wi",NA,34.89,942,27,"Back9Round2ScoringAverage",2010
14,14,"Shaun Micheel",NA,34.9,733,21,"Back9Round2ScoringAverage",2010
14,14,"Andres Romero",NA,34.9,733,21,"Back9Round2ScoringAverage",2010
16,16,"Charles Howell III",NA,34.93,978,28,"Back9Round2ScoringAverage",2010
16,16,"Brett Quigley",NA,34.93,978,28,"Back9Round2ScoringAverage",2010
18,18,"Paul Stankowski",NA,34.94,629,18,"Back9Round2ScoringAverage",2010
18,18,"Dean Wilson",NA,34.94,629,18,"Back9Round2ScoringAverage",2010
20,20,"Robert Allenby",NA,34.95,699,20,"Back9Round2ScoringAverage",2010
20,20,"Ben Crane",NA,34.95,769,22,"Back9Round2ScoringAverage",2010
22,22,"JB Holmes",NA,34.96,909,26,"Back9Round2ScoringAverage",2010
23,23,"Chris DiMarco",NA,35,805,23,"Back9Round2ScoringAverage",2010
23,23,"Joe Durant",NA,35,665,19,"Back9Round2ScoringAverage",2010
23,23,"Heath Slocum",NA,35,875,25,"Back9Round2ScoringAverage",2010
26,26,"Rickie Fowler",NA,35.04,981,28,"Back9Round2ScoringAverage",2010
27,27,"Justin Rose",NA,35.05,771,22,"Back9Round2ScoringAverage",2010
27,27,"Camilo Villegas",NA,35.05,666,19,"Back9Round2ScoringAverage",2010
29,29,"Ryuji Imada",NA,35.07,982,28,"Back9Round2ScoringAverage",2010
29,29,"DJ Trahan",NA,35.07,947,27,"Back9Round2ScoringAverage",2010
31,31,"Bryce Molder",NA,35.08,912,26,"Back9Round2ScoringAverage",2010
32,32,"Aron Price",NA,35.09,772,22,"Back9Round2ScoringAverage",2010
32,32,"Chris Tidland",NA,35.09,807,23,"Back9Round2ScoringAverage",2010
34,34,"Phil Mickelson",NA,35.1,702,20,"Back9Round2ScoringAverage",2010
35,35,"Greg Chalmers",NA,35.11,948,27,"Back9Round2ScoringAverage",2010
35,35,"Ernie Els",NA,35.11,667,19,"Back9Round2ScoringAverage",2010
35,35,"Tom Gillis",NA,35.11,948,27,"Back9Round2ScoringAverage",2010
38,38,"Robert Garrigus",NA,35.14,738,21,"Back9Round2ScoringAverage",2010
38,38,"Bo Van Pelt",NA,35.14,984,28,"Back9Round2ScoringAverage",2010
40,40,"Aaron Baddeley",NA,35.15,914,26,"Back9Round2ScoringAverage",2010
40,40,"Omar Uresti",NA,35.15,949,27,"Back9Round2ScoringAverage",2010
42,42,"Bill Haas",NA,35.16,879,25,"Back9Round2ScoringAverage",2010
43,43,"Cliff Kresge",NA,35.18,598,17,"Back9Round2ScoringAverage",2010
44,44,"Chad Campbell",NA,35.19,915,26,"Back9Round2ScoringAverage",2010
44,44,"Brett Wetterich",NA,35.19,563,16,"Back9Round2ScoringAverage",2010
46,46,"Troy Matteson",NA,35.21,986,28,"Back9Round2ScoringAverage",2010
47,47,"JP Hayes",NA,35.24,881,25,"Back9Round2ScoringAverage",2010
48,48,"Alex Prugh",NA,35.25,987,28,"Back9Round2ScoringAverage",2010
49,49,"Briny Baird",NA,35.26,952,27,"Back9Round2ScoringAverage",2010
50,50,"Alex Cejka",NA,35.27,917,26,"Back9Round2ScoringAverage",2010
50,50,"Pat Perez",NA,35.27,917,26,"Back9Round2ScoringAverage",2010
50,50,"Tom Pernice Jr",NA,35.27,776,22,"Back9Round2ScoringAverage",2010
50,50,"John Rollins",NA,35.27,917,26,"Back9Round2ScoringAverage",2010
54,54,"Woody Austin",NA,35.28,1023,29,"Back9Round2ScoringAverage",2010
54,54,"Michael Connell",NA,35.28,882,25,"Back9Round2ScoringAverage",2010
54,54,"Skip Kendall",NA,35.28,635,18,"Back9Round2ScoringAverage",2010
