"Back9LowestRound_RANKTHISWEEK_2007","Back9LowestRound_RANKLASTWEEK_2007","Back9LowestRound_PLAYERNAME_2007","Back9LowestRound_ROUNDS_2007","Back9LowestRound_LOWRND_2007","stat_name","year"
1,1,"Brandt Snedeker",105,27,"Back9LowestRound",2007
2,2,"John Daly",59,28,"Back9LowestRound",2007
3,3,"Padraig Harrington",64,29,"Back9LowestRound",2007
3,3,"Zach Johnson",76,29,"Back9LowestRound",2007
3,3,"Nick OHern",72,29,"Back9LowestRound",2007
3,3,"Tom Pernice Jr",104,29,"Back9LowestRound",2007
3,3,"John Rollins",102,29,"Back9LowestRound",2007
8,8,"Ryan Armour",107,30,"Back9LowestRound",2007
8,8,"Woody Austin",95,30,"Back9LowestRound",2007
8,8,"Cameron Beckman",96,30,"Back9LowestRound",2007
8,8,"Bart Bryant",87,30,"Back9LowestRound",2007
8,8,"Mark Calcavecchia",93,30,"Back9LowestRound",2007
8,8,"Chad Campbell",96,30,"Back9LowestRound",2007
8,8,"KJ Choi",87,30,"Back9LowestRound",2007
8,8,"Tim Clark",66,30,"Back9LowestRound",2007
8,8,"Gavin Coles",87,30,"Back9LowestRound",2007
8,8,"Marco Dawson",73,30,"Back9LowestRound",2007
8,8,"Brendon de Jonge",76,30,"Back9LowestRound",2007
8,8,"Jason Dufner",100,30,"Back9LowestRound",2007
8,8,"Steve Flesch",100,30,"Back9LowestRound",2007
8,8,"Sergio Garcia",68,30,"Back9LowestRound",2007
8,8,"Jason Gore",86,30,"Back9LowestRound",2007
8,8,"Jeff Gove",103,30,"Back9LowestRound",2007
8,8,"JP Hayes",89,30,"Back9LowestRound",2007
8,8,"Mark Hensby",81,30,"Back9LowestRound",2007
8,8,"Tim Herron",98,30,"Back9LowestRound",2007
8,8,"JB Holmes",71,30,"Back9LowestRound",2007
8,8,"Ryuji Imada",104,30,"Back9LowestRound",2007
8,8,"Anthony Kim",93,30,"Back9LowestRound",2007
8,8,"Jarrod Lyle",77,30,"Back9LowestRound",2007
8,8,"Will Ma Kenzie",100,30,"Back9LowestRound",2007
8,8,"Hunter Mahan",91,30,"Back9LowestRound",2007
8,8,"Troy Matteson",87,30,"Back9LowestRound",2007
8,8,"Arron Oberholser",69,30,"Back9LowestRound",2007
8,8,"Joe Ogilvie",102,30,"Back9LowestRound",2007
8,8,"Jesper Parnevik",88,30,"Back9LowestRound",2007
8,8,"Carl Pettersson",111,30,"Back9LowestRound",2007
8,8,"Rory Sabbatini",81,30,"Back9LowestRound",2007
8,8,"Adam Scott",69,30,"Back9LowestRound",2007
8,8,"Chris Stroud",66,30,"Back9LowestRound",2007
8,8,"Kevin Sutherland",85,30,"Back9LowestRound",2007
8,8,"Scott Verplank",82,30,"Back9LowestRound",2007
8,8,"Camilo Villegas",82,30,"Back9LowestRound",2007
8,8,"Charles Warren",101,30,"Back9LowestRound",2007
8,8,"Nick Watney",87,30,"Back9LowestRound",2007
8,8,"Bubba Watson",80,30,"Back9LowestRound",2007
47,47,"Michael Allen",74,31,"Back9LowestRound",2007
47,47,"Billy Andrade",88,31,"Back9LowestRound",2007
47,47,"Stuart Appleby",74,31,"Back9LowestRound",2007
47,47,"Tommy Armour III",81,31,"Back9LowestRound",2007
47,47,"Eric Axley",107,31,"Back9LowestRound",2007
47,47,"Aaron Baddeley",83,31,"Back9LowestRound",2007
47,47,"Craig Barlow",52,31,"Back9LowestRound",2007
47,47,"Brian Bateman",55,31,"Back9LowestRound",2007
47,47,"Rich Beem",89,31,"Back9LowestRound",2007
47,47,"Jason Bohn",57,31,"Back9LowestRound",2007
47,47,"Michael Boyd",61,31,"Back9LowestRound",2007
47,47,"David Branshaw",83,31,"Back9LowestRound",2007
47,47,"DJ Brigman",67,31,"Back9LowestRound",2007
47,47,"Andrew Buckle",77,31,"Back9LowestRound",2007
47,47,"Daniel Chopra",106,31,"Back9LowestRound",2007
47,47,"Stewart Cink",91,31,"Back9LowestRound",2007
47,47,"Chris Couch",76,31,"Back9LowestRound",2007
