"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2009","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2009","GoingfortheGreenBirdieorBetter_PLAYERNAME_2009","GoingfortheGreenBirdieorBetter_ROUNDS_2009","GoingfortheGreenBirdieorBetter_Pct_2009","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2009","GoingfortheGreenBirdieorBetter_ATTEMPTS_2009","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2009","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2009","stat_name","year"
109,109,"Mark Calcavecchia",72,55.83,67,120,-68,10,"GoingfortheGreenBirdieorBetter",2009
110,110,"Lee Janzen",74,55.81,48,86,-50,-14,"GoingfortheGreenBirdieorBetter",2009
111,111,"Nick OHern",90,55.77,58,104,-64,-18,"GoingfortheGreenBirdieorBetter",2009
112,112,"Steve Marino",98,55.62,94,169,-97,-26,"GoingfortheGreenBirdieorBetter",2009
113,113,"David Toms",98,55.56,70,126,-76,-31,"GoingfortheGreenBirdieorBetter",2009
113,113,"Scott Verplank",88,55.56,70,126,-76,-18,"GoingfortheGreenBirdieorBetter",2009
115,115,"Heath Slocum",95,55.47,71,128,-76,-12,"GoingfortheGreenBirdieorBetter",2009
116,116,"Vijay Singh",71,55.45,61,110,-62,-4,"GoingfortheGreenBirdieorBetter",2009
117,117,"Ernie Els",70,55.37,67,121,-72,0,"GoingfortheGreenBirdieorBetter",2009
118,118,"Marc Leishman",91,55.36,93,168,-100,8,"GoingfortheGreenBirdieorBetter",2009
119,119,"Vaughn Taylor",88,55.15,75,136,-79,-21,"GoingfortheGreenBirdieorBetter",2009
120,120,"Scott Sterling",51,55.1,27,49,-28,-11,"GoingfortheGreenBirdieorBetter",2009
121,121,"Colt Knost",71,55.07,38,69,-39,-6,"GoingfortheGreenBirdieorBetter",2009
122,122,"Jay Williamson",69,55.06,49,89,-52,-15,"GoingfortheGreenBirdieorBetter",2009
123,123,"Daniel Chopra",89,54.97,105,191,-112,-7,"GoingfortheGreenBirdieorBetter",2009
123,123,"JB Holmes",74,54.97,83,151,-86,17,"GoingfortheGreenBirdieorBetter",2009
125,125,"Will Ma Kenzie",69,54.89,73,133,-74,-1,"GoingfortheGreenBirdieorBetter",2009
126,126,"Ryan Palmer",78,54.88,90,164,-95,8,"GoingfortheGreenBirdieorBetter",2009
127,127,"Brad Faxon",59,54.84,34,62,-36,1,"GoingfortheGreenBirdieorBetter",2009
128,128,"Bart Bryant",58,54.72,29,53,-30,-11,"GoingfortheGreenBirdieorBetter",2009
129,129,"JJ Henry",97,54.55,84,154,-93,5,"GoingfortheGreenBirdieorBetter",2009
130,130,"Kevin Streelman",97,54.44,98,180,-105,-19,"GoingfortheGreenBirdieorBetter",2009
131,131,"Robert Allenby",71,54.37,56,103,-63,5,"GoingfortheGreenBirdieorBetter",2009
132,132,"Kent Jones",73,54.32,44,81,-46,-16,"GoingfortheGreenBirdieorBetter",2009
133,133,"Jason Bohn",88,54.31,63,116,-67,-22,"GoingfortheGreenBirdieorBetter",2009
134,134,"Brendon de Jonge",90,54.22,90,166,-92,-9,"GoingfortheGreenBirdieorBetter",2009
135,135,"Michael Allen",73,54.08,53,98,-57,-3,"GoingfortheGreenBirdieorBetter",2009
