"ScramblingAverageDistancetoHole_RANKTHISWEEK_2005","ScramblingAverageDistancetoHole_RANKLASTWEEK_2005","ScramblingAverageDistancetoHole_PLAYERNAME_2005","ScramblingAverageDistancetoHole_ROUNDS_2005","ScramblingAverageDistancetoHole_AVGDTP_2005","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2005","ScramblingAverageDistancetoHole_ATTEMPTS_2005","stat_name","year"
1,1,"Jim Furyk",94,NA,2251.417,328,"ScramblingAverageDistancetoHole",2005
2,2,"Jose Maria Olazabal",55,NA,1581.25,218,"ScramblingAverageDistancetoHole",2005
3,3,"Marco Dawson",82,NA,2933.917,401,"ScramblingAverageDistancetoHole",2005
3,3,"Luke Donald",67,NA,1342.083,184,"ScramblingAverageDistancetoHole",2005
5,5,"Vijay Singh",111,NA,3217.083,435,"ScramblingAverageDistancetoHole",2005
6,6,"Kevin Sutherland",89,NA,2933.583,390,"ScramblingAverageDistancetoHole",2005
7,7,"Corey Pavin",77,NA,2751.333,364,"ScramblingAverageDistancetoHole",2005
8,8,"Bob Estes",92,NA,3350,437,"ScramblingAverageDistancetoHole",2005
8,8,"Shigeki Maruyama",99,NA,3441,450,"ScramblingAverageDistancetoHole",2005
8,8,"Brett Quigley",96,NA,3511.833,460,"ScramblingAverageDistancetoHole",2005
11,11,"Woody Austin",100,NA,3970.083,511,"ScramblingAverageDistancetoHole",2005
11,11,"Glen Day",80,NA,3507.667,455,"ScramblingAverageDistancetoHole",2005
11,11,"Todd Fischer",99,NA,4076.083,526,"ScramblingAverageDistancetoHole",2005
11,11,"Dan Forsman",52,NA,1715.083,222,"ScramblingAverageDistancetoHole",2005
11,11,"Fred Funk",102,NA,3422.167,441,"ScramblingAverageDistancetoHole",2005
11,11,"Jeff Hart",63,NA,2628.917,338,"ScramblingAverageDistancetoHole",2005
11,11,"Mark Wilson",74,NA,2663.167,344,"ScramblingAverageDistancetoHole",2005
18,18,"Adam Scott",72,NA,2021.5,257,"ScramblingAverageDistancetoHole",2005
18,18,"Steve Stricker",62,NA,2687.5,344,"ScramblingAverageDistancetoHole",2005
20,20,"Paul Gow",78,NA,3237.917,410,"ScramblingAverageDistancetoHole",2005
20,20,"JP Hayes",63,NA,2371.25,300,"ScramblingAverageDistancetoHole",2005
20,20,"Matt Kuchar",60,NA,2496.417,314,"ScramblingAverageDistancetoHole",2005
20,20,"Phil Mickelson",81,NA,2095.667,265,"ScramblingAverageDistancetoHole",2005
20,20,"Carl Pettersson",109,NA,3959.5,498,"ScramblingAverageDistancetoHole",2005
20,20,"Omar Uresti",84,NA,3141.75,398,"ScramblingAverageDistancetoHole",2005
26,26,"Jose Coceres",56,NA,2625.333,327,"ScramblingAverageDistancetoHole",2005
26,26,"Tim Herron",100,NA,3485.25,435,"ScramblingAverageDistancetoHole",2005
26,26,"Tom Pernice Jr",111,NA,4344.667,544,"ScramblingAverageDistancetoHole",2005
26,26,"Phillip Price",77,NA,2739.25,341,"ScramblingAverageDistancetoHole",2005
26,26,"Justin Rose",99,NA,3609.833,451,"ScramblingAverageDistancetoHole",2005
26,26,"Jeff Sluman",94,NA,3624.333,451,"ScramblingAverageDistancetoHole",2005
32,32,"Peter Lonard",85,NA,2956.083,364,"ScramblingAverageDistancetoHole",2005
33,33,"Stuart Appleby",84,NA,2638,323,"ScramblingAverageDistancetoHole",2005
33,33,"Doug Barron",70,NA,2830.083,345,"ScramblingAverageDistancetoHole",2005
33,33,"KJ Choi",78,NA,2429.917,298,"ScramblingAverageDistancetoHole",2005
33,33,"Stewart Cink",98,NA,2965.333,364,"ScramblingAverageDistancetoHole",2005
33,33,"JJ Henry",102,NA,3359.167,410,"ScramblingAverageDistancetoHole",2005
33,33,"Ryuji Imada",78,NA,3207.083,392,"ScramblingAverageDistancetoHole",2005
33,33,"Billy Mayfair",114,NA,4082.083,499,"ScramblingAverageDistancetoHole",2005
33,33,"Jesper Parnevik",84,NA,3374.417,415,"ScramblingAverageDistancetoHole",2005
33,33,"Chris Riley",67,NA,2338.583,286,"ScramblingAverageDistancetoHole",2005
33,33,"Rory Sabbatini",81,NA,2806.667,343,"ScramblingAverageDistancetoHole",2005
33,33,"Heath Slocum",103,NA,3738.417,456,"ScramblingAverageDistancetoHole",2005
44,44,"Paul Azinger",66,NA,2879.667,348,"ScramblingAverageDistancetoHole",2005
44,44,"Craig Barlow",81,NA,2499.833,302,"ScramblingAverageDistancetoHole",2005
44,44,"Padraig Harrington",50,NA,1769.333,215,"ScramblingAverageDistancetoHole",2005
44,44,"David Hearn",68,NA,2538.917,307,"ScramblingAverageDistancetoHole",2005
44,44,"Richard Johnson",50,NA,1855.583,224,"ScramblingAverageDistancetoHole",2005
44,44,"Bernhard Langer",67,NA,2018.333,244,"ScramblingAverageDistancetoHole",2005
44,44,"Franklin Langham",91,NA,3738.833,453,"ScramblingAverageDistancetoHole",2005
44,44,"David Toms",87,NA,2529.333,307,"ScramblingAverageDistancetoHole",2005
44,44,"Charlie Wi",67,NA,3159.667,383,"ScramblingAverageDistancetoHole",2005
53,53,"Paul Claxton",79,NA,3068.083,367,"ScramblingAverageDistancetoHole",2005
53,53,"Steve Flesch",90,NA,2887.25,345,"ScramblingAverageDistancetoHole",2005
53,53,"Carlos Franco",78,NA,2826.5,340,"ScramblingAverageDistancetoHole",2005
53,53,"Jay Haas",54,NA,1980.667,238,"ScramblingAverageDistancetoHole",2005
53,53,"Jerry Kelly",101,NA,3468.083,417,"ScramblingAverageDistancetoHole",2005
53,53,"Tom Lehman",69,NA,2212.417,266,"ScramblingAverageDistancetoHole",2005
53,53,"Rocco Mediate",73,NA,2927.75,352,"ScramblingAverageDistancetoHole",2005
53,53,"Pat Perez",89,NA,3657.5,439,"ScramblingAverageDistancetoHole",2005
53,53,"John Senden",101,NA,3851.333,461,"ScramblingAverageDistancetoHole",2005
53,53,"Scott Verplank",87,NA,3053.167,366,"ScramblingAverageDistancetoHole",2005
