"CareerMoneyLeaders_RANKTHISWEEK_2011","CareerMoneyLeaders_RANKLASTWEEK_2011","CareerMoneyLeaders_PLAYERNAME_2011","CareerMoneyLeaders__2011","CareerMoneyLeaders_MONEY_2011","stat_name","year"
1,1,"Tiger Woods",NA,94817542,"CareerMoneyLeaders",2011
2,2,"Vijay Singh",NA,65691439,"CareerMoneyLeaders",2011
3,3,"Phil Mickelson",NA,63440877,"CareerMoneyLeaders",2011
4,4,"Jim Furyk",NA,49095654,"CareerMoneyLeaders",2011
5,5,"Ernie Els",NA,41318291,"CareerMoneyLeaders",2011
6,6,"Davis Love III",NA,41218723,"CareerMoneyLeaders",2011
7,7,"David Toms",NA,37207350,"CareerMoneyLeaders",2011
8,8,"Kenny Perry",NA,31720992,"CareerMoneyLeaders",2011
9,9,"Steve Stricker",NA,31659540,"CareerMoneyLeaders",2011
10,10,"Justin Leonard",NA,31321245,"CareerMoneyLeaders",2011
11,11,"Stewart Cink",NA,30359822,"CareerMoneyLeaders",2011
12,12,"Sergio Garcia",NA,28072459,"CareerMoneyLeaders",2011
13,13,"Scott Verplank",NA,27369774,"CareerMoneyLeaders",2011
14,14,"Retief Goosen",NA,26954468,"CareerMoneyLeaders",2011
15,15,"Mike Weir",NA,26821949,"CareerMoneyLeaders",2011
16,16,"KJ Choi",NA,26404797,"CareerMoneyLeaders",2011
17,17,"Stuart Appleby",NA,26380298,"CareerMoneyLeaders",2011
18,18,"Robert Allenby",NA,25599894,"CareerMoneyLeaders",2011
19,19,"Adam Scott",NA,25406897,"CareerMoneyLeaders",2011
20,20,"Luke Donald",NA,25348410,"CareerMoneyLeaders",2011
21,21,"Geoff Ogilvy",NA,24482934,"CareerMoneyLeaders",2011
22,22,"Rory Sabbatini",NA,24336018,"CareerMoneyLeaders",2011
23,23,"Mark Calcavecchia",NA,24023484,"CareerMoneyLeaders",2011
24,24,"Jerry Kelly",NA,23199462,"CareerMoneyLeaders",2011
25,25,"Charles Howell III",NA,22464003,"CareerMoneyLeaders",2011
26,26,"Fred Couples",NA,22087938,"CareerMoneyLeaders",2011
27,27,"Chris DiMarco",NA,22006220,"CareerMoneyLeaders",2011
28,28,"Zach Johnson",NA,21773048,"CareerMoneyLeaders",2011
29,29,"Tom Lehman",NA,21428810,"CareerMoneyLeaders",2011
30,30,"Fred Funk",NA,21052458,"CareerMoneyLeaders",2011
31,31,"Nick Price",NA,20576104,"CareerMoneyLeaders",2011
32,32,"Chad Campbell",NA,20386018,"CareerMoneyLeaders",2011
33,33,"Padraig Harrington",NA,20099542,"CareerMoneyLeaders",2011
34,34,"Bob Estes",NA,19600692,"CareerMoneyLeaders",2011
35,35,"Billy Mayfair",NA,19468273,"CareerMoneyLeaders",2011
36,36,"Stephen Ames",NA,19186730,"CareerMoneyLeaders",2011
37,37,"David Duval",NA,18813237,"CareerMoneyLeaders",2011
