"ProximitytoHolefromSand_RANKTHISWEEK_2007","ProximitytoHolefromSand_RANKLASTWEEK_2007","ProximitytoHolefromSand_PLAYERNAME_2007","ProximitytoHolefromSand_ROUNDS_2007","ProximitytoHolefromSand_AVGDTP_2007","ProximitytoHolefromSand_TOTALDISTANCEFEET_2007","ProximitytoHolefromSand_OFSHOTS_2007","ProximitytoHolefromSand_SCRAMBLINGRANK_2007","stat_name","year"
1,1,"Tim Clark",66,NA,505.583,87,4,"ProximitytoHolefromSand",2007
2,2,"Chris Riley",59,NA,484.25,77,1,"ProximitytoHolefromSand",2007
3,3,"Luke Donald",69,NA,561.167,79,97,"ProximitytoHolefromSand",2007
4,4,"KJ Choi",87,NA,791.083,111,9,"ProximitytoHolefromSand",2007
5,5,"Justin Leonard",95,NA,667.25,92,39,"ProximitytoHolefromSand",2007
5,5,"Arron Oberholser",69,NA,553.083,76,46,"ProximitytoHolefromSand",2007
5,5,"Mark Wilson",87,NA,744.667,103,28,"ProximitytoHolefromSand",2007
8,8,"Rod Pampling",92,NA,835.417,114,76,"ProximitytoHolefromSand",2007
8,8,"Mike Weir",82,NA,693.333,95,70,"ProximitytoHolefromSand",2007
10,10,"Justin Rose",63,NA,428.333,58,41,"ProximitytoHolefromSand",2007
11,11,"Jonathan Byrd",73,NA,815.5,105,69,"ProximitytoHolefromSand",2007
11,11,"Pat Perez",84,NA,732,94,168,"ProximitytoHolefromSand",2007
11,11,"Steve Stricker",81,NA,619.167,80,21,"ProximitytoHolefromSand",2007
14,14,"Alex Cejka",80,NA,748,96,11,"ProximitytoHolefromSand",2007
15,15,"Aaron Baddeley",83,NA,1013.833,128,25,"ProximitytoHolefromSand",2007
15,15,"Craig Barlow",52,NA,507.25,64,110,"ProximitytoHolefromSand",2007
15,15,"Marco Dawson",73,NA,720.25,91,44,"ProximitytoHolefromSand",2007
15,15,"Matt Kuchar",85,NA,832,105,5,"ProximitytoHolefromSand",2007
19,19,"Sergio Garcia",68,NA,573.583,72,84,"ProximitytoHolefromSand",2007
19,19,"Craig Kanada",109,NA,1089.75,136,48,"ProximitytoHolefromSand",2007
19,19,"Doug LaBelle II",104,NA,1203,150,34,"ProximitytoHolefromSand",2007
22,22,"Jason Dufner",100,NA,917.667,114,127,"ProximitytoHolefromSand",2007
22,22,"Steve Flesch",100,NA,902.75,112,82,"ProximitytoHolefromSand",2007
22,22,"Brett Wetterich",88,NA,726.667,90,196,"ProximitytoHolefromSand",2007
25,25,"Bob Heintz",85,NA,858.833,105,79,"ProximitytoHolefromSand",2007
25,25,"Geoff Ogilvy",84,NA,694.417,85,111,"ProximitytoHolefromSand",2007
25,25,"Ian Poulter",63,NA,604.5,74,51,"ProximitytoHolefromSand",2007
28,28,"Andrew Buckle",77,NA,810.167,98,91,"ProximitytoHolefromSand",2007
28,28,"John Senden",97,NA,940.333,114,112,"ProximitytoHolefromSand",2007
28,28,"Vijay Singh",102,NA,1165.25,141,61,"ProximitytoHolefromSand",2007
28,28,"Heath Slocum",101,NA,1020.167,124,16,"ProximitytoHolefromSand",2007
32,32,"Stuart Appleby",74,NA,769.583,92,71,"ProximitytoHolefromSand",2007
32,32,"Jose Coceres",50,NA,615,74,6,"ProximitytoHolefromSand",2007
32,32,"Sean OHair",98,NA,1008.75,121,36,"ProximitytoHolefromSand",2007
32,32,"Nick OHern",72,NA,660.167,79,120,"ProximitytoHolefromSand",2007
32,32,"Tom Pernice Jr",104,NA,1146.25,137,40,"ProximitytoHolefromSand",2007
32,32,"Carl Pettersson",111,NA,1237.083,148,93,"ProximitytoHolefromSand",2007
38,38,"Jim Furyk",84,NA,684.5,81,29,"ProximitytoHolefromSand",2007
38,38,"Rocco Mediate",72,NA,634,75,142,"ProximitytoHolefromSand",2007
40,40,"Briny Baird",115,NA,1152.75,135,45,"ProximitytoHolefromSand",2007
40,40,"Daniel Chopra",106,NA,1267.5,149,31,"ProximitytoHolefromSand",2007
40,40,"Jose Maria Olazabal",52,NA,535.833,63,140,"ProximitytoHolefromSand",2007
40,40,"Rory Sabbatini",81,NA,792.75,93,2,"ProximitytoHolefromSand",2007
40,40,"Scott Verplank",82,NA,769.917,91,18,"ProximitytoHolefromSand",2007
45,45,"Mark Brooks",53,NA,385.25,45,33,"ProximitytoHolefromSand",2007
45,45,"Shigeki Maruyama",84,NA,1019.25,119,64,"ProximitytoHolefromSand",2007
45,45,"Ted Purdy",102,NA,1030,120,136,"ProximitytoHolefromSand",2007
48,48,"Billy Andrade",88,NA,993.75,115,177,"ProximitytoHolefromSand",2007
48,48,"Brian Gay",107,NA,1250.833,145,19,"ProximitytoHolefromSand",2007
48,48,"Steve Marino",106,NA,1124.833,130,55,"ProximitytoHolefromSand",2007
48,48,"Phil Mickelson",73,NA,569.333,66,53,"ProximitytoHolefromSand",2007
48,48,"Jeff Sluman",60,NA,685.333,79,187,"ProximitytoHolefromSand",2007
48,48,"Brandt Snedeker",105,NA,1125.333,130,17,"ProximitytoHolefromSand",2007
48,48,"Tiger Woods",63,NA,521.833,60,20,"ProximitytoHolefromSand",2007
55,55,"Bubba Dickerson",51,NA,592.25,68,178,"ProximitytoHolefromSand",2007
55,55,"Kevin Na",84,NA,1114.083,127,3,"ProximitytoHolefromSand",2007
55,55,"David Toms",80,NA,602.333,69,66,"ProximitytoHolefromSand",2007
58,58,"Steve Allan",63,NA,809,92,138,"ProximitytoHolefromSand",2007
58,58,"Ernie Els",59,NA,681.75,77,37,"ProximitytoHolefromSand",2007
58,58,"Bryce Molder",56,NA,673.417,76,134,"ProximitytoHolefromSand",2007
58,58,"Corey Pavin",81,NA,814,92,14,"ProximitytoHolefromSand",2007
58,58,"Tim Petrovic",106,NA,1389.583,157,26,"ProximitytoHolefromSand",2007
63,63,"Stewart Cink",91,NA,969.417,109,107,"ProximitytoHolefromSand",2007
63,63,"Stephen Leaney",82,NA,805.5,90,50,"ProximitytoHolefromSand",2007
65,65,"Gavin Coles",87,NA,896.417,100,10,"ProximitytoHolefromSand",2007
65,65,"Fred Funk",65,NA,699.75,78,115,"ProximitytoHolefromSand",2007
65,65,"Paul Gow",70,NA,741.25,82,146,"ProximitytoHolefromSand",2007
65,65,"Ryuji Imada",104,NA,1247.75,139,48,"ProximitytoHolefromSand",2007
65,65,"Trevor Immelman",74,NA,566.417,63,123,"ProximitytoHolefromSand",2007
65,65,"Lee Janzen",66,NA,875.083,97,140,"ProximitytoHolefromSand",2007
65,65,"Michael Putnam",96,NA,848.333,94,194,"ProximitytoHolefromSand",2007
72,72,"Stephen Ames",81,NA,710.5,78,68,"ProximitytoHolefromSand",2007
72,72,"Mark Calcavecchia",93,NA,1100.833,121,117,"ProximitytoHolefromSand",2007
72,72,"Jason Gore",86,NA,1091.583,120,72,"ProximitytoHolefromSand",2007
72,72,"Anders Hansen",55,NA,345.167,38,137,"ProximitytoHolefromSand",2007
72,72,"Tim Herron",98,NA,924.083,102,115,"ProximitytoHolefromSand",2007
72,72,"JB Holmes",71,NA,742.333,82,182,"ProximitytoHolefromSand",2007
72,72,"Jerry Kelly",101,NA,1093.25,120,78,"ProximitytoHolefromSand",2007
72,72,"Brett Quigley",79,NA,863.583,95,190,"ProximitytoHolefromSand",2007
80,80,"Brian Davis",101,NA,1016.583,111,47,"ProximitytoHolefromSand",2007
80,80,"Joe Ogilvie",102,NA,1140.167,124,104,"ProximitytoHolefromSand",2007
80,80,"Charlie Wi",90,NA,1099.417,120,54,"ProximitytoHolefromSand",2007
83,83,"Zach Johnson",76,NA,805.917,87,30,"ProximitytoHolefromSand",2007
83,83,"George McNeill",95,NA,1082.5,117,74,"ProximitytoHolefromSand",2007
83,83,"Dicky Pride",71,NA,834.583,90,26,"ProximitytoHolefromSand",2007
83,83,"Kirk Triplett",77,NA,882,95,86,"ProximitytoHolefromSand",2007
87,87,"Jason Bohn",57,NA,740.583,79,143,"ProximitytoHolefromSand",2007
87,87,"Nathan Green",103,NA,1465.167,157,22,"ProximitytoHolefromSand",2007
87,87,"Parker McLachlin",83,NA,1059.333,113,56,"ProximitytoHolefromSand",2007
87,87,"Vaughn Taylor",91,NA,896.5,96,154,"ProximitytoHolefromSand",2007
87,87,"Charles Warren",101,NA,1292.833,139,157,"ProximitytoHolefromSand",2007
92,92,"Woody Austin",95,NA,1157.25,123,24,"ProximitytoHolefromSand",2007
92,92,"Craig Bowden",78,NA,809.25,86,12,"ProximitytoHolefromSand",2007
92,92,"Freddie Jacobson",70,NA,828.833,88,96,"ProximitytoHolefromSand",2007
92,92,"Davis Love III",66,NA,690.417,73,174,"ProximitytoHolefromSand",2007
92,92,"Greg Owen",81,NA,897.25,95,181,"ProximitytoHolefromSand",2007
97,97,"Mathias Gronberg",95,NA,1366.5,144,122,"ProximitytoHolefromSand",2007
97,97,"Bo Van Pelt",104,NA,1203.667,127,35,"ProximitytoHolefromSand",2007
97,97,"Camilo Villegas",82,NA,968.167,102,98,"ProximitytoHolefromSand",2007
100,100,"Michael Boyd",61,NA,677.667,71,73,"ProximitytoHolefromSand",2007
100,100,"Chris DiMarco",79,NA,950.333,99,156,"ProximitytoHolefromSand",2007
102,102,"Harrison Frazar",88,NA,1261,131,165,"ProximitytoHolefromSand",2007
102,102,"John Mallinger",96,NA,1165.333,121,12,"ProximitytoHolefromSand",2007
104,104,"Michael Allen",74,NA,858.083,88,153,"ProximitytoHolefromSand",2007
104,104,"Glen Day",85,NA,1044.083,107,62,"ProximitytoHolefromSand",2007
104,104,"JP Hayes",89,NA,1094.167,112,60,"ProximitytoHolefromSand",2007
104,104,"Tripp Isenhour",86,NA,1014.333,104,109,"ProximitytoHolefromSand",2007
104,104,"Peter Lonard",85,NA,1024.333,105,42,"ProximitytoHolefromSand",2007
104,104,"Steve Lowery",74,NA,866.5,89,125,"ProximitytoHolefromSand",2007
104,104,"Jarrod Lyle",77,NA,880.917,90,81,"ProximitytoHolefromSand",2007
104,104,"Jeff Quinney",95,NA,1170.583,120,146,"ProximitytoHolefromSand",2007
104,104,"Paul Stankowski",52,NA,743.5,76,161,"ProximitytoHolefromSand",2007
113,113,"Ben Curtis",80,NA,1157.917,118,176,"ProximitytoHolefromSand",2007
113,113,"Todd Hamilton",76,NA,1076,109,189,"ProximitytoHolefromSand",2007
113,113,"John Rollins",102,NA,1256.667,128,56,"ProximitytoHolefromSand",2007
113,113,"Adam Scott",69,NA,916.667,93,179,"ProximitytoHolefromSand",2007
117,117,"Ken Duke",112,NA,1248.333,126,23,"ProximitytoHolefromSand",2007
117,117,"Jeff Gove",103,NA,1292.25,130,151,"ProximitytoHolefromSand",2007
117,117,"Cliff Kresge",107,NA,1561.25,158,65,"ProximitytoHolefromSand",2007
117,117,"Will Ma Kenzie",100,NA,1306.667,132,128,"ProximitytoHolefromSand",2007
117,117,"Michael Sim",52,NA,437.75,44,8,"ProximitytoHolefromSand",2007
122,122,"Cameron Beckman",96,NA,1124.417,112,132,"ProximitytoHolefromSand",2007
122,122,"Tom Lehman",62,NA,541.417,54,160,"ProximitytoHolefromSand",2007
122,122,"Jay Williamson",50,NA,540.167,54,89,"ProximitytoHolefromSand",2007
125,125,"Rich Barcelo",80,NA,1071,106,130,"ProximitytoHolefromSand",2007
125,125,"Tom Byrum",50,NA,474.167,47,102,"ProximitytoHolefromSand",2007
125,125,"Mathew Goggin",97,NA,1218.167,121,90,"ProximitytoHolefromSand",2007
125,125,"Bill Haas",93,NA,1576.917,156,88,"ProximitytoHolefromSand",2007
125,125,"Jeff Maggert",79,NA,920.833,91,118,"ProximitytoHolefromSand",2007
125,125,"Daisuke Maruyama",86,NA,1036.75,103,149,"ProximitytoHolefromSand",2007
125,125,"Kevin Stadler",95,NA,1156.583,115,186,"ProximitytoHolefromSand",2007
125,125,"Jaco Van Zyl",51,NA,612.833,61,77,"ProximitytoHolefromSand",2007
133,133,"Anthony Kim",93,NA,1106.667,109,79,"ProximitytoHolefromSand",2007
133,133,"Billy Mayfair",98,NA,1214.333,119,74,"ProximitytoHolefromSand",2007
133,133,"Henrik Stenson",52,NA,621.333,61,167,"ProximitytoHolefromSand",2007
136,136,"Brian Bateman",55,NA,657.417,64,83,"ProximitytoHolefromSand",2007
136,136,"Jeff Brehaut",59,NA,698.417,68,95,"ProximitytoHolefromSand",2007
138,138,"Robert Allenby",90,NA,953.25,92,163,"ProximitytoHolefromSand",2007
138,138,"Padraig Harrington",64,NA,631.417,61,15,"ProximitytoHolefromSand",2007
138,138,"JJ Henry",86,NA,876.5,85,184,"ProximitytoHolefromSand",2007
