"3PuttAvoidance1015_RANKTHISWEEK_2009","3PuttAvoidance1015_RANKLASTWEEK_2009","3PuttAvoidance1015_PLAYERNAME_2009","3PuttAvoidance1015_ROUNDS_2009","3PuttAvoidance1015_Pct_2009","3PuttAvoidance1015_TOTAL3PUTTS_2009","3PuttAvoidance1015_ATTEMPTS_2009","3PuttAvoidance1015_2PUTTORBETTERPct_2009","stat_name","year"
97,97,"Sergio Garcia",59,0.86,1,116,99.1,"3PuttAvoidance1015",2009
98,98,"DA Points",99,0.87,2,231,99.1,"3PuttAvoidance1015",2009
99,99,"Tom Lehman",55,0.89,1,112,99.1,"3PuttAvoidance1015",2009
100,100,"Brendon de Jonge",90,0.9,2,222,99.1,"3PuttAvoidance1015",2009
100,100,"JJ Henry",97,0.9,2,221,99.1,"3PuttAvoidance1015",2009
100,100,"Zach Johnson",94,0.9,2,222,99.1,"3PuttAvoidance1015",2009
100,100,"Jeff Maggert",79,0.9,2,223,99.1,"3PuttAvoidance1015",2009
100,100,"Ian Poulter",59,0.9,1,111,99.1,"3PuttAvoidance1015",2009
105,105,"Mark Brooks",55,0.91,1,110,99,"3PuttAvoidance1015",2009
105,105,"Nathan Green",104,0.91,2,220,99,"3PuttAvoidance1015",2009
105,105,"Adam Scott",53,0.91,1,110,99,"3PuttAvoidance1015",2009
108,108,"Robert Garrigus",83,0.96,2,208,99,"3PuttAvoidance1015",2009
109,109,"Aron Price",89,0.97,2,206,99,"3PuttAvoidance1015",2009
110,110,"Bill Haas",91,0.98,2,205,99,"3PuttAvoidance1015",2009
111,111,"Angel Cabrera",55,0.99,1,101,99,"3PuttAvoidance1015",2009
111,111,"Matt Jones",56,0.99,1,101,99,"3PuttAvoidance1015",2009
113,113,"Fred Couples",54,1,1,100,99,"3PuttAvoidance1015",2009
114,114,"Davis Love III",89,1.01,2,198,98.9,"3PuttAvoidance1015",2009
115,115,"YE Yang",83,1.02,2,196,98.9,"3PuttAvoidance1015",2009
116,116,"Daniel Chopra",89,1.03,2,195,98.9,"3PuttAvoidance1015",2009
117,117,"Briny Baird",89,1.06,2,188,98.9,"3PuttAvoidance1015",2009
117,117,"Glen Day",79,1.06,2,189,98.9,"3PuttAvoidance1015",2009
117,117,"Brandt Snedeker",81,1.06,2,188,98.9,"3PuttAvoidance1015",2009
120,120,"Greg Owen",97,1.08,2,185,98.9,"3PuttAvoidance1015",2009
120,120,"Chez Reavie",81,1.08,2,185,98.9,"3PuttAvoidance1015",2009
122,122,"Mike Weir",85,1.13,2,177,98.8,"3PuttAvoidance1015",2009
123,123,"Lee Janzen",74,1.14,2,175,98.8,"3PuttAvoidance1015",2009
123,123,"Scott McCarron",91,1.14,2,175,98.8,"3PuttAvoidance1015",2009
125,125,"Bart Bryant",58,1.18,2,169,98.8,"3PuttAvoidance1015",2009
125,125,"Steve Flesch",77,1.18,2,170,98.8,"3PuttAvoidance1015",2009
127,127,"Cliff Kresge",78,1.21,2,165,98.7,"3PuttAvoidance1015",2009
128,128,"Stephen Ames",77,1.23,2,163,98.7,"3PuttAvoidance1015",2009
128,128,"Geoff Ogilvy",78,1.23,2,163,98.7,"3PuttAvoidance1015",2009
130,130,"Bryce Molder",69,1.29,2,155,98.7,"3PuttAvoidance1015",2009
131,131,"Nicholas Thompson",96,1.31,3,229,98.6,"3PuttAvoidance1015",2009
132,132,"Kevin Stadler",65,1.35,2,148,98.6,"3PuttAvoidance1015",2009
133,133,"Kevin Na",91,1.37,3,219,98.6,"3PuttAvoidance1015",2009
134,134,"Jason Dufner",90,1.38,3,217,98.6,"3PuttAvoidance1015",2009
135,135,"Peter Lonard",86,1.39,3,216,98.6,"3PuttAvoidance1015",2009
136,136,"Marc Leishman",91,1.4,3,214,98.6,"3PuttAvoidance1015",2009
137,137,"Rich Beem",77,1.42,2,141,98.5,"3PuttAvoidance1015",2009
138,138,"Jeff Klauk",97,1.46,3,206,98.5,"3PuttAvoidance1015",2009
138,138,"Ryan Moore",89,1.46,3,206,98.5,"3PuttAvoidance1015",2009
140,140,"Freddie Jacobson",83,1.51,3,199,98.4,"3PuttAvoidance1015",2009
141,141,"Ryan Palmer",78,1.52,3,198,98.4,"3PuttAvoidance1015",2009
142,142,"Casey Wittenberg",71,1.53,2,131,98.4,"3PuttAvoidance1015",2009
143,143,"Chad Campbell",90,1.59,3,189,98.4,"3PuttAvoidance1015",2009
144,144,"Michael Letzig",96,1.61,4,249,98.3,"3PuttAvoidance1015",2009
145,145,"Marc Turnesa",77,1.64,3,183,98.3,"3PuttAvoidance1015",2009
146,146,"Mark Calcavecchia",72,1.68,3,179,98.3,"3PuttAvoidance1015",2009
146,146,"Brian Davis",103,1.68,4,238,98.3,"3PuttAvoidance1015",2009
148,148,"David Toms",98,1.75,4,229,98.2,"3PuttAvoidance1015",2009
149,149,"Lucas Glover",93,1.83,4,219,98.1,"3PuttAvoidance1015",2009
150,150,"Jonathan Byrd",89,1.85,4,216,98.1,"3PuttAvoidance1015",2009
150,150,"Martin Laird",72,1.85,3,162,98.1,"3PuttAvoidance1015",2009
152,152,"Padraig Harrington",66,1.87,2,107,98.1,"3PuttAvoidance1015",2009
152,152,"Patrick Sheehan",51,1.87,2,107,98.1,"3PuttAvoidance1015",2009
152,152,"Vaughn Taylor",88,1.87,4,214,98.1,"3PuttAvoidance1015",2009
155,155,"Andres Romero",58,1.89,2,106,98.1,"3PuttAvoidance1015",2009
156,156,"Robert Allenby",71,1.9,3,158,98.1,"3PuttAvoidance1015",2009
156,156,"Justin Leonard",95,1.9,4,210,98.1,"3PuttAvoidance1015",2009
158,158,"Tom Pernice Jr",82,1.91,4,209,98,"3PuttAvoidance1015",2009
159,159,"Sean OHair",80,1.94,3,155,98,"3PuttAvoidance1015",2009
160,160,"Scott Piercy",85,1.95,4,205,98,"3PuttAvoidance1015",2009
160,160,"Justin Rose",71,1.95,3,154,98,"3PuttAvoidance1015",2009
160,160,"Camilo Villegas",76,1.95,3,154,98,"3PuttAvoidance1015",2009
163,163,"Johnson Wagner",81,1.99,4,201,98,"3PuttAvoidance1015",2009
163,163,"Charles Warren",63,1.99,3,151,98,"3PuttAvoidance1015",2009
165,165,"Ted Purdy",101,2.02,5,248,97.9,"3PuttAvoidance1015",2009
166,166,"Charley Hoffman",97,2.04,5,245,97.9,"3PuttAvoidance1015",2009
