"ProximitytoHoleARG_RANKTHISWEEK_2014","ProximitytoHoleARG_RANKLASTWEEK_2014","ProximitytoHoleARG_PLAYERNAME_2014","ProximitytoHoleARG_ROUNDS_2014","ProximitytoHoleARG_AVGDTP_2014","ProximitytoHoleARG_TOTALDISTANCEFEET_2014","ProximitytoHoleARG_OFSHOTS_2014","ProximitytoHoleARG_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Jim Furyk",84,NA,2304.583,387,1,"ProximitytoHoleARG",2014
2,2,"Bud Cauley",56,NA,1870.333,311,57,"ProximitytoHoleARG",2014
3,3,"Justin Rose",70,NA,2211.333,359,31,"ProximitytoHoleARG",2014
4,4,"Luke Donald",57,NA,1871.833,299,38,"ProximitytoHoleARG",2014
4,4,"Justin Leonard",75,NA,2880.167,460,6,"ProximitytoHoleARG",2014
4,4,"Kevin Na",94,NA,3489.5,556,4,"ProximitytoHoleARG",2014
7,7,"Zach Johnson",97,NA,3347.417,527,36,"ProximitytoHoleARG",2014
8,8,"Jason Day",54,NA,1495.167,233,5,"ProximitytoHoleARG",2014
9,9,"Paul Casey",56,NA,1948.083,301,128,"ProximitytoHoleARG",2014
9,9,"Roberto Castro",76,NA,2809.583,430,136,"ProximitytoHoleARG",2014
9,9,"Gonzalo Fdez Castano",83,NA,3403.167,526,100,"ProximitytoHoleARG",2014
9,9,"Brian Gay",81,NA,3143.25,481,3,"ProximitytoHoleARG",2014
9,9,"Matt Kuchar",91,NA,3156,483,12,"ProximitytoHoleARG",2014
9,9,"Tyrone Van Aswegen",79,NA,2793.333,428,94,"ProximitytoHoleARG",2014
15,15,"Tim Clark",75,NA,2561.917,388,70,"ProximitytoHoleARG",2014
15,15,"Chris Stroud",88,NA,3416.75,516,18,"ProximitytoHoleARG",2014
15,15,"Charlie Wi",72,NA,3175.75,483,15,"ProximitytoHoleARG",2014
18,18,"Stuart Appleby",92,NA,3863.167,579,34,"ProximitytoHoleARG",2014
18,18,"Kevin Chappell",100,NA,3810.333,569,114,"ProximitytoHoleARG",2014
18,18,"Phil Mickelson",71,NA,2570.417,384,20,"ProximitytoHoleARG",2014
18,18,"Ian Poulter",57,NA,2052.417,309,98,"ProximitytoHoleARG",2014
18,18,"Jordan Spieth",102,NA,4148.083,622,13,"ProximitytoHoleARG",2014
18,18,"Mike Weir",69,NA,2747.833,411,56,"ProximitytoHoleARG",2014
24,24,"Scott Brown",100,NA,3961.917,588,86,"ProximitytoHoleARG",2014
24,24,"Jonathan Byrd",76,NA,3188.083,471,99,"ProximitytoHoleARG",2014
24,24,"Brian Davis",93,NA,4138.583,614,25,"ProximitytoHoleARG",2014
