"AveragePuttingDistanceAll3putts_RANKTHISWEEK_2013","AveragePuttingDistanceAll3putts_RANKLASTWEEK_2013","AveragePuttingDistanceAll3putts_PLAYERNAME_2013","AveragePuttingDistanceAll3putts_ROUNDS_2013","AveragePuttingDistanceAll3putts_AVG_2013","AveragePuttingDistanceAll3putts_DISTANCEFEET_2013","AveragePuttingDistanceAll3putts_TOTALPUTTS_2013","stat_name","year"
1,1,"Aaron Baddeley",68,NA,1403.333,27,"AveragePuttingDistanceAll3putts",2013
2,2,"JJ Henry",83,NA,1795.833,36,"AveragePuttingDistanceAll3putts",2013
3,3,"Andrew Svoboda",46,NA,590.75,12,"AveragePuttingDistanceAll3putts",2013
4,4,"Will Claxton",67,NA,1991.25,42,"AveragePuttingDistanceAll3putts",2013
5,5,"Bubba Watson",76,NA,1263.833,27,"AveragePuttingDistanceAll3putts",2013
6,6,"Brendon de Jonge",110,NA,2053.167,44,"AveragePuttingDistanceAll3putts",2013
7,7,"Fabian Gomez",65,NA,1200.417,26,"AveragePuttingDistanceAll3putts",2013
8,8,"Angel Cabrera",73,NA,1917.167,42,"AveragePuttingDistanceAll3putts",2013
8,8,"Derek Ernst",58,NA,1141.583,25,"AveragePuttingDistanceAll3putts",2013
10,10,"Matt Kuchar",93,NA,1002.833,22,"AveragePuttingDistanceAll3putts",2013
10,10,"Alistair Presnell",59,NA,1412.333,31,"AveragePuttingDistanceAll3putts",2013
12,12,"Scott Gardiner",61,NA,1275.083,28,"AveragePuttingDistanceAll3putts",2013
13,13,"KJ Choi",85,NA,1586.667,35,"AveragePuttingDistanceAll3putts",2013
14,14,"Padraig Harrington",52,NA,858.583,19,"AveragePuttingDistanceAll3putts",2013
15,15,"Justin Leonard",86,NA,1169.5,26,"AveragePuttingDistanceAll3putts",2013
16,16,"Keegan Bradley",88,NA,1303.333,29,"AveragePuttingDistanceAll3putts",2013
17,17,"Trevor Immelman",73,NA,1835,41,"AveragePuttingDistanceAll3putts",2013
18,18,"Greg Chalmers",77,NA,983,22,"AveragePuttingDistanceAll3putts",2013
18,18,"Ben Curtis",59,NA,1385.167,31,"AveragePuttingDistanceAll3putts",2013
20,20,"Ben Crane",62,NA,1331.75,30,"AveragePuttingDistanceAll3putts",2013
21,21,"Bill Haas",85,NA,1197,27,"AveragePuttingDistanceAll3putts",2013
22,22,"Vaughn Taylor",50,NA,1017.083,23,"AveragePuttingDistanceAll3putts",2013
23,23,"Chris Stroud",88,NA,1546.5,35,"AveragePuttingDistanceAll3putts",2013
