"BestYTDStreakwoa3Putt_RANKTHISWEEK_2009","BestYTDStreakwoa3Putt_RANKLASTWEEK_2009","BestYTDStreakwoa3Putt_PLAYERNAME_2009","BestYTDStreakwoa3Putt_EVENTS_2009","BestYTDStreakwoa3Putt_BESTSTREAK_2009","BestYTDStreakwoa3Putt_CURRENTSTREAK_2009","stat_name","year"
1,1,"John Senden",29,292,30,"BestYTDStreakwoa3Putt",2009
2,2,"Jim Furyk",23,279,31,"BestYTDStreakwoa3Putt",2009
3,3,"Charlie Wi",28,266,12,"BestYTDStreakwoa3Putt",2009
4,4,"Chez Reavie",27,258,2,"BestYTDStreakwoa3Putt",2009
5,5,"Brandt Snedeker",26,254,8,"BestYTDStreakwoa3Putt",2009
6,6,"Jason Bohn",25,251,28,"BestYTDStreakwoa3Putt",2009
7,7,"Lee Janzen",23,229,NA,"BestYTDStreakwoa3Putt",2009
8,8,"Rory Sabbatini",25,228,45,"BestYTDStreakwoa3Putt",2009
9,9,"Brad Faxon",23,227,11,"BestYTDStreakwoa3Putt",2009
10,10,"Dean Wilson",29,220,63,"BestYTDStreakwoa3Putt",2009
11,11,"Shaun Micheel",16,219,18,"BestYTDStreakwoa3Putt",2009
12,12,"Corey Pavin",23,215,10,"BestYTDStreakwoa3Putt",2009
13,13,"Vaughn Taylor",28,212,35,"BestYTDStreakwoa3Putt",2009
14,14,"Bo Van Pelt",30,211,47,"BestYTDStreakwoa3Putt",2009
15,15,"Carl Pettersson",29,202,117,"BestYTDStreakwoa3Putt",2009
16,16,"Michael Allen",22,201,1,"BestYTDStreakwoa3Putt",2009
17,17,"Brian Gay",27,199,24,"BestYTDStreakwoa3Putt",2009
18,18,"Steve Flesch",27,197,101,"BestYTDStreakwoa3Putt",2009
19,19,"Casey Wittenberg",25,192,19,"BestYTDStreakwoa3Putt",2009
20,20,"Jose Maria Olazabal",4,191,26,"BestYTDStreakwoa3Putt",2009
21,21,"Bryce Molder",21,189,81,"BestYTDStreakwoa3Putt",2009
22,22,"Tim Clark",23,187,1,"BestYTDStreakwoa3Putt",2009
22,22,"Padraig Harrington",20,187,13,"BestYTDStreakwoa3Putt",2009
22,22,"Tim Herron",27,187,4,"BestYTDStreakwoa3Putt",2009
25,25,"Ryuji Imada",25,186,115,"BestYTDStreakwoa3Putt",2009
25,25,"Nick Watney",24,186,39,"BestYTDStreakwoa3Putt",2009
27,27,"Ben Curtis",18,185,26,"BestYTDStreakwoa3Putt",2009
28,28,"KJ Choi",22,184,7,"BestYTDStreakwoa3Putt",2009
28,28,"Freddie Jacobson",25,184,17,"BestYTDStreakwoa3Putt",2009
28,28,"Scott Verplank",24,184,26,"BestYTDStreakwoa3Putt",2009
31,31,"Daniel Chopra",28,182,33,"BestYTDStreakwoa3Putt",2009
31,31,"Retief Goosen",20,182,11,"BestYTDStreakwoa3Putt",2009
31,31,"Stephen Leaney",11,182,1,"BestYTDStreakwoa3Putt",2009
31,31,"John Merrick",28,182,14,"BestYTDStreakwoa3Putt",2009
35,35,"Dustin Johnson",25,179,6,"BestYTDStreakwoa3Putt",2009
36,36,"Charley Hoffman",27,176,56,"BestYTDStreakwoa3Putt",2009
37,37,"Harrison Frazar",28,174,34,"BestYTDStreakwoa3Putt",2009
38,38,"Mark Wilson",28,172,35,"BestYTDStreakwoa3Putt",2009
39,39,"Justin Leonard",26,167,42,"BestYTDStreakwoa3Putt",2009
39,39,"Steve Stricker",22,167,1,"BestYTDStreakwoa3Putt",2009
41,41,"Mark Brooks",17,166,6,"BestYTDStreakwoa3Putt",2009
41,41,"Patrick Sheehan",15,166,166,"BestYTDStreakwoa3Putt",2009
43,43,"Jeff Klauk",29,165,24,"BestYTDStreakwoa3Putt",2009
43,43,"Jeff Overton",28,165,63,"BestYTDStreakwoa3Putt",2009
45,45,"Stuart Appleby",25,164,84,"BestYTDStreakwoa3Putt",2009
45,45,"Woody Austin",24,164,NA,"BestYTDStreakwoa3Putt",2009
45,45,"Kent Jones",24,164,47,"BestYTDStreakwoa3Putt",2009
48,48,"Tim Petrovic",31,163,11,"BestYTDStreakwoa3Putt",2009
49,49,"Nathan Green",30,161,1,"BestYTDStreakwoa3Putt",2009
49,49,"Steve Marino",29,161,6,"BestYTDStreakwoa3Putt",2009
51,51,"Richard Johnson",26,159,NA,"BestYTDStreakwoa3Putt",2009
51,51,"Michael Letzig",28,159,NA,"BestYTDStreakwoa3Putt",2009
51,51,"David Toms",27,159,4,"BestYTDStreakwoa3Putt",2009
54,54,"Mathew Goggin",26,157,8,"BestYTDStreakwoa3Putt",2009
54,54,"Todd Hamilton",29,157,52,"BestYTDStreakwoa3Putt",2009
56,56,"Anthony Kim",22,156,61,"BestYTDStreakwoa3Putt",2009
57,57,"Brian Bateman",25,155,21,"BestYTDStreakwoa3Putt",2009
57,57,"Nick OHern",27,155,24,"BestYTDStreakwoa3Putt",2009
59,59,"Brandt Jobe",8,153,55,"BestYTDStreakwoa3Putt",2009
59,59,"Zach Johnson",26,153,3,"BestYTDStreakwoa3Putt",2009
59,59,"Oliver Wilson",9,153,45,"BestYTDStreakwoa3Putt",2009
62,62,"Jason Day",18,152,6,"BestYTDStreakwoa3Putt",2009
62,62,"Steve Elkington",23,152,73,"BestYTDStreakwoa3Putt",2009
62,62,"John Mallinger",27,152,13,"BestYTDStreakwoa3Putt",2009
65,65,"Ryan Palmer",26,151,73,"BestYTDStreakwoa3Putt",2009
66,66,"Ken Duke",29,150,NA,"BestYTDStreakwoa3Putt",2009
66,66,"George McNeill",26,150,72,"BestYTDStreakwoa3Putt",2009
68,68,"Bill Haas",29,148,5,"BestYTDStreakwoa3Putt",2009
68,68,"Matt Kuchar",24,148,35,"BestYTDStreakwoa3Putt",2009
68,68,"Spencer Levin",25,148,98,"BestYTDStreakwoa3Putt",2009
71,71,"Rich Beem",26,147,28,"BestYTDStreakwoa3Putt",2009
71,71,"Bob Estes",23,147,1,"BestYTDStreakwoa3Putt",2009
71,71,"Peter Lonard",30,147,9,"BestYTDStreakwoa3Putt",2009
71,71,"Bubba Watson",24,147,19,"BestYTDStreakwoa3Putt",2009
75,75,"Guy Boros",7,146,2,"BestYTDStreakwoa3Putt",2009
75,75,"Pat Perez",22,146,87,"BestYTDStreakwoa3Putt",2009
77,77,"Ian Poulter",17,145,15,"BestYTDStreakwoa3Putt",2009
78,78,"Tommy Armour III",19,144,63,"BestYTDStreakwoa3Putt",2009
78,78,"Bart Bryant",17,144,73,"BestYTDStreakwoa3Putt",2009
78,78,"Rickie Fowler",6,144,8,"BestYTDStreakwoa3Putt",2009
78,78,"Graeme McDowell",11,144,45,"BestYTDStreakwoa3Putt",2009
82,82,"Jarrod Lyle",21,143,14,"BestYTDStreakwoa3Putt",2009
83,83,"Sergio Garcia",17,142,6,"BestYTDStreakwoa3Putt",2009
83,83,"Kevin Sutherland",27,142,55,"BestYTDStreakwoa3Putt",2009
85,85,"Tyler Aldridge",17,141,7,"BestYTDStreakwoa3Putt",2009
85,85,"Chris Couch",8,141,114,"BestYTDStreakwoa3Putt",2009
85,85,"Ted Purdy",30,141,NA,"BestYTDStreakwoa3Putt",2009
85,85,"Tag Ridings",16,141,5,"BestYTDStreakwoa3Putt",2009
89,89,"David Duval",22,140,16,"BestYTDStreakwoa3Putt",2009
89,89,"Charles Howell III",29,140,33,"BestYTDStreakwoa3Putt",2009
91,91,"Kris Blanks",20,139,4,"BestYTDStreakwoa3Putt",2009
92,92,"Chris DiMarco",29,138,72,"BestYTDStreakwoa3Putt",2009
92,92,"Thomas Levet",3,138,20,"BestYTDStreakwoa3Putt",2009
92,92,"Bob Tway",13,138,8,"BestYTDStreakwoa3Putt",2009
92,92,"Tiger Woods",17,138,49,"BestYTDStreakwoa3Putt",2009
96,96,"Mathias Gronberg",13,137,47,"BestYTDStreakwoa3Putt",2009
96,96,"Martin Kaymer",11,137,44,"BestYTDStreakwoa3Putt",2009
98,98,"Cliff Kresge",28,135,2,"BestYTDStreakwoa3Putt",2009
98,98,"Garrett Willis",6,135,5,"BestYTDStreakwoa3Putt",2009
100,100,"Aaron Baddeley",23,134,134,"BestYTDStreakwoa3Putt",2009
100,100,"Troy Matteson",30,134,11,"BestYTDStreakwoa3Putt",2009
102,102,"Billy Andrade",17,133,17,"BestYTDStreakwoa3Putt",2009
102,102,"Eric Axley",30,133,8,"BestYTDStreakwoa3Putt",2009
102,102,"Bob Heintz",20,133,18,"BestYTDStreakwoa3Putt",2009
105,105,"Chad Campbell",26,132,4,"BestYTDStreakwoa3Putt",2009
105,105,"John Rollins",27,132,41,"BestYTDStreakwoa3Putt",2009
107,107,"Alex Cejka",25,131,13,"BestYTDStreakwoa3Putt",2009
107,107,"JB Holmes",25,131,19,"BestYTDStreakwoa3Putt",2009
107,107,"Jerry Kelly",26,131,68,"BestYTDStreakwoa3Putt",2009
110,110,"Greg Chalmers",26,129,4,"BestYTDStreakwoa3Putt",2009
110,110,"JJ Henry",28,129,90,"BestYTDStreakwoa3Putt",2009
110,110,"Davis Love III",27,129,6,"BestYTDStreakwoa3Putt",2009
110,110,"Parker McLachlin",25,129,63,"BestYTDStreakwoa3Putt",2009
110,110,"Joe Ogilvie",29,129,38,"BestYTDStreakwoa3Putt",2009
110,110,"Rod Pampling",23,129,11,"BestYTDStreakwoa3Putt",2009
116,116,"Dicky Pride",10,128,1,"BestYTDStreakwoa3Putt",2009
116,116,"Chris Riley",22,128,21,"BestYTDStreakwoa3Putt",2009
116,116,"Jay Williamson",22,128,NA,"BestYTDStreakwoa3Putt",2009
119,119,"Paul Casey",12,127,1,"BestYTDStreakwoa3Putt",2009
119,119,"Marc Leishman",28,127,6,"BestYTDStreakwoa3Putt",2009
121,121,"Ben Crane",27,126,73,"BestYTDStreakwoa3Putt",2009
121,121,"Brian Davis",32,126,21,"BestYTDStreakwoa3Putt",2009
121,121,"Billy Mayfair",28,126,1,"BestYTDStreakwoa3Putt",2009
121,121,"Brendon Todd",21,126,NA,"BestYTDStreakwoa3Putt",2009
121,121,"Tim Wilkinson",14,126,13,"BestYTDStreakwoa3Putt",2009
126,126,"Kevin Na",26,125,76,"BestYTDStreakwoa3Putt",2009
127,127,"Mark Calcavecchia",23,124,8,"BestYTDStreakwoa3Putt",2009
127,127,"Scott McCarron",27,124,69,"BestYTDStreakwoa3Putt",2009
127,127,"Ryan Moore",27,124,35,"BestYTDStreakwoa3Putt",2009
127,127,"Kyle Stanley",7,124,41,"BestYTDStreakwoa3Putt",2009
127,127,"Chris Stroud",28,124,99,"BestYTDStreakwoa3Putt",2009
132,132,"Geoff Ogilvy",20,123,51,"BestYTDStreakwoa3Putt",2009
132,132,"Greg Owen",30,123,83,"BestYTDStreakwoa3Putt",2009
134,134,"Robert Allenby",21,122,3,"BestYTDStreakwoa3Putt",2009
