"DistancefromCenterofFairway_RANKTHISWEEK_2008","DistancefromCenterofFairway_RANKLASTWEEK_2008","DistancefromCenterofFairway_PLAYERNAME_2008","DistancefromCenterofFairway_EVENTS_2008","DistancefromCenterofFairway_AVG_2008","DistancefromCenterofFairway_TOTALDISTANCEFEET_2008","DistancefromCenterofFairway_TOTALSTROKES_2008","stat_name","year"
110,110,"Shane Bertsch",29,NA,16911.583,632,"DistancefromCenterofFairway",2008
110,110,"Dustin Johnson",30,NA,10973,410,"DistancefromCenterofFairway",2008
110,110,"Tom Pernice Jr",30,NA,16870.583,630,"DistancefromCenterofFairway",2008
110,110,"Charlie Wi",27,NA,15452.417,578,"DistancefromCenterofFairway",2008
110,110,"Tim Wilkinson",29,NA,15136.417,566,"DistancefromCenterofFairway",2008
115,115,"Brad Adamonis",29,NA,11005,410,"DistancefromCenterofFairway",2008
115,115,"Michael Allen",28,NA,17033.583,635,"DistancefromCenterofFairway",2008
115,115,"Bart Bryant",23,NA,13667.917,509,"DistancefromCenterofFairway",2008
115,115,"Chad Campbell",28,NA,16013.083,596,"DistancefromCenterofFairway",2008
115,115,"Ryuji Imada",25,NA,13215.833,493,"DistancefromCenterofFairway",2008
115,115,"Peter Lonard",30,NA,15544.25,579,"DistancefromCenterofFairway",2008
121,121,"Aaron Baddeley",22,NA,11403.083,424,"DistancefromCenterofFairway",2008
121,121,"Tommy Gainey",24,NA,7955.583,296,"DistancefromCenterofFairway",2008
121,121,"Doug LaBelle II",22,NA,10616.583,395,"DistancefromCenterofFairway",2008
121,121,"DJ Trahan",27,NA,13417.333,499,"DistancefromCenterofFairway",2008
125,125,"Bo Van Pelt",32,NA,15368,569,"DistancefromCenterofFairway",2008
126,126,"Cameron Beckman",29,NA,13044.333,481,"DistancefromCenterofFairway",2008
126,126,"Lucas Glover",26,NA,14172.75,523,"DistancefromCenterofFairway",2008
126,126,"Hunter Mahan",27,NA,14914.083,550,"DistancefromCenterofFairway",2008
129,129,"George McNeill",29,NA,15653.083,576,"DistancefromCenterofFairway",2008
129,129,"Mark Wilson",29,NA,20850.667,767,"DistancefromCenterofFairway",2008
131,131,"Rich Beem",29,NA,15756.333,578,"DistancefromCenterofFairway",2008
131,131,"JB Holmes",26,NA,10719.333,393,"DistancefromCenterofFairway",2008
131,131,"Greg Kraft",21,NA,10109.833,371,"DistancefromCenterofFairway",2008
131,131,"Kevin Na",29,NA,17068.167,626,"DistancefromCenterofFairway",2008
131,131,"Jesper Parnevik",29,NA,13968.083,512,"DistancefromCenterofFairway",2008
131,131,"Rory Sabbatini",23,NA,14838.583,544,"DistancefromCenterofFairway",2008
137,137,"Jonathan Byrd",27,NA,15371.583,562,"DistancefromCenterofFairway",2008
138,138,"Glen Day",19,NA,9018.5,329,"DistancefromCenterofFairway",2008
138,138,"Nick OHern",26,NA,13819.417,504,"DistancefromCenterofFairway",2008
138,138,"Scott Sterling",28,NA,14137,515,"DistancefromCenterofFairway",2008
141,141,"Alex Cejka",25,NA,10315.75,375,"DistancefromCenterofFairway",2008
141,141,"Todd Hamilton",28,NA,13878,505,"DistancefromCenterofFairway",2008
141,141,"Shigeki Maruyama",18,NA,6679.25,243,"DistancefromCenterofFairway",2008
141,141,"Dean Wilson",32,NA,14829.417,540,"DistancefromCenterofFairway",2008
145,145,"Brad Elder",23,NA,8837.083,320,"DistancefromCenterofFairway",2008
145,145,"Marc Turnesa",29,NA,14454.833,524,"DistancefromCenterofFairway",2008
147,147,"Steve Allan",21,NA,7397.167,267,"DistancefromCenterofFairway",2008
147,147,"JP Hayes",26,NA,10001.75,361,"DistancefromCenterofFairway",2008
147,147,"Martin Laird",29,NA,15846.167,572,"DistancefromCenterofFairway",2008
150,150,"Jason Allred",23,NA,6576.583,237,"DistancefromCenterofFairway",2008
150,150,"Jason Gore",33,NA,16770.917,605,"DistancefromCenterofFairway",2008
152,152,"Ryan Armour",32,NA,14949.5,537,"DistancefromCenterofFairway",2008
152,152,"Marco Dawson",21,NA,8215.083,295,"DistancefromCenterofFairway",2008
152,152,"Charles Howell III",31,NA,15758.083,567,"DistancefromCenterofFairway",2008
152,152,"Zach Johnson",25,NA,17219.667,619,"DistancefromCenterofFairway",2008
152,152,"Tim Petrovic",32,NA,15520.583,557,"DistancefromCenterofFairway",2008
157,157,"Matt Jones",31,NA,14324.833,513,"DistancefromCenterofFairway",2008
157,157,"Craig Kanada",23,NA,9432.25,338,"DistancefromCenterofFairway",2008
159,159,"Woody Austin",30,NA,18561.75,662,"DistancefromCenterofFairway",2008
159,159,"Bill Haas",31,NA,13571.5,485,"DistancefromCenterofFairway",2008
159,159,"Matt Kuchar",27,NA,12586.833,449,"DistancefromCenterofFairway",2008
159,159,"Scott Verplank",24,NA,16506.167,590,"DistancefromCenterofFairway",2008
163,163,"Olin Browne",27,NA,15516.667,553,"DistancefromCenterofFairway",2008
163,163,"Mark Calcavecchia",25,NA,11075.25,394,"DistancefromCenterofFairway",2008
163,163,"Padraig Harrington",15,NA,6144.417,219,"DistancefromCenterofFairway",2008
163,163,"Bob Tway",20,NA,8897,317,"DistancefromCenterofFairway",2008
167,167,"Nick Watney",27,NA,15729.75,559,"DistancefromCenterofFairway",2008
168,168,"Cody Freeman",26,NA,9435.583,334,"DistancefromCenterofFairway",2008
168,168,"Adam Scott",15,NA,7198.5,255,"DistancefromCenterofFairway",2008
168,168,"Mike Weir",26,NA,13051.167,462,"DistancefromCenterofFairway",2008
171,171,"Brian Gay",31,NA,18608,651,"DistancefromCenterofFairway",2008
171,171,"Bubba Watson",29,NA,12984.083,454,"DistancefromCenterofFairway",2008
173,173,"Stephen Leaney",17,NA,7440.083,259,"DistancefromCenterofFairway",2008
173,173,"Joe Ogilvie",29,NA,16137.833,562,"DistancefromCenterofFairway",2008
173,173,"Jin Park",30,NA,12224.333,425,"DistancefromCenterofFairway",2008
173,173,"Jeff Quinney",28,NA,14806.833,515,"DistancefromCenterofFairway",2008
177,177,"Paul Goydos",25,NA,16394.333,569,"DistancefromCenterofFairway",2008
177,177,"Lee Janzen",28,NA,13131.25,455,"DistancefromCenterofFairway",2008
177,177,"Kent Jones",23,NA,10199.833,354,"DistancefromCenterofFairway",2008
180,180,"Ron Whittaker",22,NA,7574,262,"DistancefromCenterofFairway",2008
181,181,"Steve Stricker",22,NA,12528.083,431,"DistancefromCenterofFairway",2008
182,182,"Todd Demsey",25,NA,11808.417,405,"DistancefromCenterofFairway",2008
182,182,"Jim McGovern",26,NA,9886.5,339,"DistancefromCenterofFairway",2008
184,184,"Angel Cabrera",17,NA,7943.167,271,"DistancefromCenterofFairway",2008
184,184,"Daniel Chopra",27,NA,12289.083,419,"DistancefromCenterofFairway",2008
184,184,"Steve Flesch",29,NA,15945.25,543,"DistancefromCenterofFairway",2008
187,187,"John Huston",18,NA,6742.5,229,"DistancefromCenterofFairway",2008
188,188,"Jeff Gove",18,NA,7878.083,266,"DistancefromCenterofFairway",2008
189,189,"Eric Axley",35,NA,16486.833,553,"DistancefromCenterofFairway",2008
189,189,"Chris Riley",17,NA,5813.167,195,"DistancefromCenterofFairway",2008
191,191,"Bob Estes",28,NA,18335.917,608,"DistancefromCenterofFairway",2008
192,192,"Chad Collins",24,NA,11163.917,369,"DistancefromCenterofFairway",2008
193,193,"Tom Scherrer",20,NA,9006.25,297,"DistancefromCenterofFairway",2008
194,194,"Billy Andrade",24,NA,9766.917,320,"DistancefromCenterofFairway",2008
195,195,"David Duval",20,NA,7723.333,241,"DistancefromCenterofFairway",2008
196,196,"Corey Pavin",20,NA,9143.167,284,"DistancefromCenterofFairway",2008
197,197,"Gavin Coles",16,NA,7404.667,200,"DistancefromCenterofFairway",2008
