"ProximitytoHolefrom_RANKTHISWEEK_2008","ProximitytoHolefrom_RANKLASTWEEK_2008","ProximitytoHolefrom_PLAYERNAME_2008","ProximitytoHolefrom_ROUNDS_2008","ProximitytoHolefrom_AVGDTP_2008","ProximitytoHolefrom_TOTALDISTANCEFEET_2008","ProximitytoHolefrom_OFSHOTS_2008","ProximitytoHolefrom_SCRAMBLINGRANK_2008","stat_name","year"
1,1,"Jeff Gove",50,NA,155.5,61,80,"ProximitytoHolefrom",2008
1,1,"Ron Whittaker",54,NA,145.583,57,164,"ProximitytoHolefrom",2008
3,3,"Anthony Kim",81,NA,282.75,106,45,"ProximitytoHolefrom",2008
4,4,"Briny Baird",113,NA,375.5,136,5,"ProximitytoHolefrom",2008
5,5,"John Mallinger",95,NA,438.25,154,61,"ProximitytoHolefrom",2008
5,5,"Charlie Wi",97,NA,381.667,134,4,"ProximitytoHolefrom",2008
7,7,"Ben Curtis",80,NA,358.667,123,46,"ProximitytoHolefrom",2008
7,7,"Zach Johnson",85,NA,314.333,109,103,"ProximitytoHolefrom",2008
7,7,"Vijay Singh",82,NA,306.5,105,51,"ProximitytoHolefrom",2008
7,7,"Bob Tway",70,NA,257.75,88,27,"ProximitytoHolefrom",2008
11,11,"Tommy Armour III",77,NA,273.333,90,132,"ProximitytoHolefrom",2008
11,11,"Chad Collins",72,NA,271.167,90,88,"ProximitytoHolefrom",2008
11,11,"Harrison Frazar",73,NA,301.667,100,175,"ProximitytoHolefrom",2008
11,11,"Brian Gay",102,NA,426.167,141,1,"ProximitytoHolefrom",2008
11,11,"Ryuji Imada",80,NA,359.5,119,34,"ProximitytoHolefrom",2008
11,11,"Trevor Immelman",70,NA,219.25,74,181,"ProximitytoHolefrom",2008
11,11,"Pat Perez",93,NA,380,127,124,"ProximitytoHolefrom",2008
11,11,"Omar Uresti",74,NA,272.833,90,8,"ProximitytoHolefrom",2008
19,19,"Shane Bertsch",96,NA,467.167,153,18,"ProximitytoHolefrom",2008
19,19,"Carlos Franco",73,NA,275.25,90,153,"ProximitytoHolefrom",2008
