"ScoringAverage_RANKTHISWEEK_2014","ScoringAverage_RANKLASTWEEK_2014","ScoringAverage_PLAYERNAME_2014","ScoringAverage_ROUNDS_2014","ScoringAverage_AVG_2014","ScoringAverage_TOTALSTROKES_2014","ScoringAverage_TOTALADJUSTMENT_2014","ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",66,68.827,4433,NA,64,"ScoringAverage",2014
2,2,"Sergio Garcia",61,68.95,4024,NA,58,"ScoringAverage",2014
3,3,"Jim Furyk",84,69.2,5583,NA,80,"ScoringAverage",2014
4,4,"Adam Scott",68,69.205,4725,NA,68,"ScoringAverage",2014
5,5,"Matt Kuchar",91,69.416,6140,NA,88,"ScoringAverage",2014
6,6,"Dustin Johnson",58,69.546,3983,NA,57,"ScoringAverage",2014
7,7,"Justin Rose",70,69.624,4772,NA,68,"ScoringAverage",2014
8,8,"Jason Day",54,69.626,3369,NA,48,"ScoringAverage",2014
9,9,"Graeme McDowell",66,69.642,4353,NA,62,"ScoringAverage",2014
10,10,"Charl Schwartzel",64,69.671,4344,NA,62,"ScoringAverage",2014
11,11,"Bubba Watson",76,69.712,5108,NA,73,"ScoringAverage",2014
12,12,"Jimmy Walker",98,69.789,6718,NA,96,"ScoringAverage",2014
13,13,"Graham DeLaet",80,69.943,5545,NA,79,"ScoringAverage",2014
14,14,"Jordan Spieth",102,69.946,6893,NA,98,"ScoringAverage",2014
15,15,"Ryan Palmer",85,69.993,5955,NA,85,"ScoringAverage",2014
16,16,"Kevin Na",94,69.996,6589,NA,94,"ScoringAverage",2014
17,17,"Keegan Bradley",89,70.031,6181,NA,88,"ScoringAverage",2014
18,18,"Brendon Todd",108,70.049,7587,NA,108,"ScoringAverage",2014
19,19,"Brooks Koepka",56,70.052,3933,NA,56,"ScoringAverage",2014
20,20,"Hideki Matsuyama",82,70.083,5635,NA,80,"ScoringAverage",2014
21,21,"Harris English",95,70.094,6450,NA,92,"ScoringAverage",2014
22,22,"Russell Knox",92,70.111,6454,NA,92,"ScoringAverage",2014
23,23,"Bill Haas",107,70.132,7380,NA,105,"ScoringAverage",2014
24,24,"Charles Howell III",106,70.134,7423,11.207,106,"ScoringAverage",2014
25,25,"Chris Kirk",105,70.15,7318,NA,104,"ScoringAverage",2014
26,26,"Paul Casey",56,70.152,3949,NA,56,"ScoringAverage",2014
26,26,"Marc Leishman",81,70.152,5635,NA,80,"ScoringAverage",2014
28,28,"Zach Johnson",97,70.159,6741,NA,96,"ScoringAverage",2014
29,29,"Henrik Stenson",56,70.166,3815,NA,54,"ScoringAverage",2014
30,30,"Rickie Fowler",91,70.172,5985,NA,85,"ScoringAverage",2014
31,31,"Webb Simpson",87,70.234,5914,NA,84,"ScoringAverage",2014
32,32,"George McNeill",79,70.248,5560,NA,79,"ScoringAverage",2014
33,33,"Gary Woodland",93,70.249,6490,NA,92,"ScoringAverage",2014
34,34,"John Senden",99,70.27,6960,NA,99,"ScoringAverage",2014
35,35,"Phil Mickelson",71,70.278,5023,NA,71,"ScoringAverage",2014
36,36,"Jason Kokrak",65,70.307,4575,NA,65,"ScoringAverage",2014
37,37,"Ryan Moore",86,70.344,5906,2.881,84,"ScoringAverage",2014
38,38,"Jerry Kelly",80,70.349,5609,18.913,80,"ScoringAverage",2014
39,39,"David Toms",64,70.35,4350,11.721,62,"ScoringAverage",2014
40,40,"Brian Harman",111,70.391,7809,4.41,111,"ScoringAverage",2014
41,41,"Charley Hoffman",93,70.464,6556,NA,93,"ScoringAverage",2014
42,42,"Kevin Chappell",100,70.466,6763,1.761,96,"ScoringAverage",2014
43,43,"Martin Kaymer",65,70.468,4542,NA,64,"ScoringAverage",2014
44,44,"Chris Stroud",88,70.476,6182,19.924,88,"ScoringAverage",2014
45,45,"Robert Streb",75,70.502,5002,3.642,71,"ScoringAverage",2014
46,46,"Carl Pettersson",91,70.52,6420,NA,91,"ScoringAverage",2014
47,47,"Billy Horschel",92,70.521,6364,NA,90,"ScoringAverage",2014
48,48,"Brian Stuard",91,70.549,6122,15.797,87,"ScoringAverage",2014
49,49,"Daniel Summerhays",98,70.566,6904,11.426,98,"ScoringAverage",2014
50,50,"Hunter Mahan",88,70.574,6041,NA,85,"ScoringAverage",2014
51,51,"Chad Campbell",57,70.59,3724,17.29,53,"ScoringAverage",2014
52,52,"Patrick Reed",92,70.598,6371,NA,90,"ScoringAverage",2014
53,53,"Stuart Appleby",92,70.599,6359,NA,90,"ScoringAverage",2014
54,54,"Freddie Jacobson",91,70.604,6432,NA,91,"ScoringAverage",2014
55,55,"Shawn Stefani",60,70.609,4243,NA,60,"ScoringAverage",2014
56,56,"Kevin Stadler",90,70.62,6294,NA,89,"ScoringAverage",2014
57,57,"Cameron Tringale",111,70.63,7855,NA,111,"ScoringAverage",2014
58,58,"Luke Guthrie",85,70.638,5994,10.248,85,"ScoringAverage",2014
59,59,"Seung Yul Noh",92,70.661,6503,NA,92,"ScoringAverage",2014
60,60,"Scott Langley",95,70.662,6560,11.585,93,"ScoringAverage",2014
61,61,"Ricky Barnes",92,70.671,6200,19.038,88,"ScoringAverage",2014
61,61,"Brandt Snedeker",89,70.671,6169,NA,87,"ScoringAverage",2014
63,63,"Angel Cabrera",69,70.675,4902,NA,69,"ScoringAverage",2014
64,64,"Will Ma Kenzie",82,70.685,5792,4.157,82,"ScoringAverage",2014
65,65,"Billy Hurley III",86,70.696,6082,NA,86,"ScoringAverage",2014
66,66,"William McGirt",96,70.712,6763,25.354,96,"ScoringAverage",2014
67,67,"Andrew Svoboda",77,70.713,5431,13.935,77,"ScoringAverage",2014
68,68,"Tim Wilkinson",86,70.714,5803,NA,82,"ScoringAverage",2014
69,69,"Camilo Villegas",95,70.716,6705,12.992,95,"ScoringAverage",2014
70,70,"Kevin Kisner",85,70.718,6005,6.069,85,"ScoringAverage",2014
71,71,"JB Holmes",86,70.721,6126,NA,86,"ScoringAverage",2014
72,72,"Matt Every",85,70.722,6031,NA,85,"ScoringAverage",2014
72,72,"Ian Poulter",57,70.722,3993,NA,56,"ScoringAverage",2014
74,74,"Robert Garrigus",80,70.728,5658,0.253,80,"ScoringAverage",2014
74,74,"Retief Goosen",94,70.728,6379,NA,90,"ScoringAverage",2014
76,76,"Ben Martin",80,70.732,5657,1.571,80,"ScoringAverage",2014
77,77,"Jeff Overton",80,70.734,5354,21.757,76,"ScoringAverage",2014
78,78,"Luke Donald",57,70.735,3989,NA,56,"ScoringAverage",2014
79,79,"Ernie Els",85,70.736,5619,NA,79,"ScoringAverage",2014
80,80,"Heath Slocum",71,70.737,4871,9.883,69,"ScoringAverage",2014
81,81,"Tim Clark",75,70.738,5303,2.386,75,"ScoringAverage",2014
81,81,"Lee Westwood",57,70.738,3992,NA,56,"ScoringAverage",2014
83,83,"Nick Watney",80,70.756,5327,NA,75,"ScoringAverage",2014
84,84,"Aaron Baddeley",74,70.796,5122,NA,72,"ScoringAverage",2014
85,85,"Brendan Steele",89,70.798,6015,2.81,85,"ScoringAverage",2014
86,86,"Brendon de Jonge",109,70.801,7747,NA,109,"ScoringAverage",2014
87,87,"Danny Lee",84,70.802,5654,10.181,80,"ScoringAverage",2014
88,88,"Will Wilcox",51,70.819,3456,14.153,49,"ScoringAverage",2014
89,89,"Bo Van Pelt",83,70.827,5882,NA,83,"ScoringAverage",2014
90,90,"Erik Compton",88,70.829,6251,NA,88,"ScoringAverage",2014
91,91,"David Hearn",97,70.83,6856,14.477,97,"ScoringAverage",2014
92,92,"Justin Hicks",103,70.836,7006,6.718,99,"ScoringAverage",2014
93,93,"Stewart Cink",91,70.847,6471,NA,91,"ScoringAverage",2014
94,94,"Louis Oosthuizen",50,70.852,3292,NA,46,"ScoringAverage",2014
94,94,"Andres Romero",81,70.852,5466,NA,77,"ScoringAverage",2014
96,96,"KJ Choi",80,70.87,5701,NA,80,"ScoringAverage",2014
97,97,"Brad Fritsch",50,70.888,3388,14.612,48,"ScoringAverage",2014
98,98,"Jason Bohn",81,70.892,5741,1.29,81,"ScoringAverage",2014
99,99,"Justin Leonard",75,70.895,5335,NA,75,"ScoringAverage",2014
100,100,"Morgan Hoffmann",103,70.899,7008,11.01,99,"ScoringAverage",2014
101,101,"Jason Dufner",57,70.9,3843,NA,54,"ScoringAverage",2014
101,101,"Troy Merritt",62,70.9,4391,4.79,62,"ScoringAverage",2014
103,103,"Michael Putnam",106,70.905,7232,0.36,102,"ScoringAverage",2014
104,104,"Robert Allenby",83,70.92,5741,3.554,81,"ScoringAverage",2014
105,105,"Vijay Singh",83,70.933,5899,NA,83,"ScoringAverage",2014
106,106,"Scott Brown",100,70.936,7071,22.568,100,"ScoringAverage",2014
107,107,"Ben Crane",81,70.954,5740,7.304,81,"ScoringAverage",2014
108,108,"Ryo Ishikawa",75,70.98,5313,10.513,75,"ScoringAverage",2014
109,109,"Matt Jones",83,71.021,5896,NA,83,"ScoringAverage",2014
110,110,"Jhonattan Vegas",77,71.022,5308,18.65,75,"ScoringAverage",2014
111,111,"Brice Garnett",92,71.039,6234,17.411,88,"ScoringAverage",2014
112,112,"Bud Cauley",56,71.06,3960,19.363,56,"ScoringAverage",2014
113,113,"JJ Henry",91,71.064,6170,12.599,87,"ScoringAverage",2014
114,114,"Charlie Wi",72,71.067,4973,1.658,70,"ScoringAverage",2014
115,115,"Tyrone Van Aswegen",79,71.07,5533,10.453,78,"ScoringAverage",2014
116,116,"Jonathan Byrd",76,71.083,5107,10.986,72,"ScoringAverage",2014
117,117,"Spencer Levin",59,71.086,4187,7.084,59,"ScoringAverage",2014
118,118,"Ted Potter Jr",68,71.087,4836,NA,68,"ScoringAverage",2014
119,119,"Pat Perez",84,71.11,5973,0.241,84,"ScoringAverage",2014
120,120,"Bryce Molder",77,71.112,5182,9.147,73,"ScoringAverage",2014
121,121,"Ken Duke",80,71.137,5532,16.68,78,"ScoringAverage",2014
122,122,"Andrew Loupe",65,71.142,4340,NA,61,"ScoringAverage",2014
123,123,"Steven Bowditch",93,71.145,6622,NA,93,"ScoringAverage",2014
124,124,"Hudson Swafford",75,71.167,5049,3.824,71,"ScoringAverage",2014
125,125,"Sangmoon Bae",76,71.168,5402,6.739,76,"ScoringAverage",2014
126,126,"James Hahn",82,71.186,5698,NA,80,"ScoringAverage",2014
127,127,"Michael Thompson",74,71.194,5258,10.336,74,"ScoringAverage",2014
128,128,"Martin Flores",85,71.199,6046,5.942,85,"ScoringAverage",2014
129,129,"Wes Roach",67,71.206,4479,6.997,63,"ScoringAverage",2014
130,130,"Chesson Hadley",84,71.212,5991,NA,84,"ScoringAverage",2014
131,131,"Brian Davis",93,71.232,6618,6.621,93,"ScoringAverage",2014
132,132,"John Huh",87,71.24,5920,NA,83,"ScoringAverage",2014
132,132,"Sean OHair",77,71.24,5480,5.511,77,"ScoringAverage",2014
134,134,"Greg Chalmers",85,71.251,5767,4.338,81,"ScoringAverage",2014
135,135,"Charlie Beljan",76,71.28,5127,5.155,72,"ScoringAverage",2014
136,136,"Gonzalo Fdez Castano",83,71.294,5872,NA,82,"ScoringAverage",2014
137,137,"Josh Teater",90,71.301,6269,5.507,88,"ScoringAverage",2014
138,138,"Boo Weekley",73,71.307,5155,NA,72,"ScoringAverage",2014
139,139,"Chad Collins",78,71.315,5277,0.328,74,"ScoringAverage",2014
140,140,"Jamie Lovemark",64,71.345,4262,18.724,60,"ScoringAverage",2014
141,141,"Ben Curtis",77,71.354,5217,NA,73,"ScoringAverage",2014
141,141,"Kevin Streelman",79,71.354,5581,NA,78,"ScoringAverage",2014
143,143,"Davis Love III",74,71.364,5138,0.227,72,"ScoringAverage",2014
144,144,"Russell Henley",92,71.379,6594,NA,92,"ScoringAverage",2014
145,145,"Rory Sabbatini",82,71.381,5569,NA,78,"ScoringAverage",2014
146,146,"Geoff Ogilvy",84,71.422,5723,NA,80,"ScoringAverage",2014
