"ScramblingfromtheFringe_RANKTHISWEEK_2010","ScramblingfromtheFringe_RANKLASTWEEK_2010","ScramblingfromtheFringe_PLAYERNAME_2010","ScramblingfromtheFringe_ROUNDS_2010","ScramblingfromtheFringe_Pct_2010","ScramblingfromtheFringe_SUCCESSES_2010","ScramblingfromtheFringe_ATTEMPTS_2010","stat_name","year"
1,1,"Pat Perez",90,98.04,50,51,"ScramblingfromtheFringe",2010
2,2,"Michael Letzig",84,97.96,48,49,"ScramblingfromtheFringe",2010
3,3,"Alex Cejka",81,96.72,59,61,"ScramblingfromtheFringe",2010
4,4,"Chris Tidland",77,96.43,54,56,"ScramblingfromtheFringe",2010
5,5,"Jeff Gove",57,96.3,26,27,"ScramblingfromtheFringe",2010
5,5,"John Mallinger",78,96.3,52,54,"ScramblingfromtheFringe",2010
7,7,"Kevin Na",94,96.25,77,80,"ScramblingfromtheFringe",2010
8,8,"Greg Chalmers",93,95.65,66,69,"ScramblingfromtheFringe",2010
9,9,"Blake Adams",84,95.52,64,67,"ScramblingfromtheFringe",2010
10,10,"Charles Howell III",103,95.45,84,88,"ScramblingfromtheFringe",2010
11,11,"Daniel Chopra",74,95.38,62,65,"ScramblingfromtheFringe",2010
12,12,"Jeff Quinney",91,94.37,67,71,"ScramblingfromtheFringe",2010
13,13,"JJ Henry",92,94.12,64,68,"ScramblingfromtheFringe",2010
13,13,"Freddie Jacobson",83,94.12,64,68,"ScramblingfromtheFringe",2010
15,15,"James Driscoll",78,93.85,61,65,"ScramblingfromtheFringe",2010
16,16,"Rickie Fowler",98,93.81,91,97,"ScramblingfromtheFringe",2010
17,17,"Scott Verplank",74,93.75,60,64,"ScramblingfromtheFringe",2010
18,18,"Bo Van Pelt",104,93.59,73,78,"ScramblingfromtheFringe",2010
19,19,"Cameron Beckman",68,93.55,58,62,"ScramblingfromtheFringe",2010
19,19,"Paul Casey",64,93.55,29,31,"ScramblingfromtheFringe",2010
21,21,"JB Holmes",100,93.52,101,108,"ScramblingfromtheFringe",2010
22,22,"Steve Stricker",73,93.48,43,46,"ScramblingfromtheFringe",2010
23,23,"Kevin Streelman",90,93.44,57,61,"ScramblingfromtheFringe",2010
24,24,"Tim Clark",88,93.42,71,76,"ScramblingfromtheFringe",2010
25,25,"Webb Simpson",98,93.33,84,90,"ScramblingfromtheFringe",2010
25,25,"Brandt Snedeker",89,93.33,84,90,"ScramblingfromtheFringe",2010
25,25,"Roland Thatcher",72,93.33,70,75,"ScramblingfromtheFringe",2010
28,28,"Retief Goosen",75,93.18,41,44,"ScramblingfromtheFringe",2010
29,29,"Carl Pettersson",99,93.1,81,87,"ScramblingfromtheFringe",2010
30,30,"Charley Hoffman",85,93.06,67,72,"ScramblingfromtheFringe",2010
31,31,"Luke Donald",71,93.02,40,43,"ScramblingfromtheFringe",2010
32,32,"Alex Prugh",88,92.98,53,57,"ScramblingfromtheFringe",2010
33,33,"Rocco Mediate",71,92.45,49,53,"ScramblingfromtheFringe",2010
34,34,"Matt Jones",89,92.42,61,66,"ScramblingfromtheFringe",2010
35,35,"Ryan Moore",80,92.31,48,52,"ScramblingfromtheFringe",2010
35,35,"Tom Pernice Jr",74,92.31,48,52,"ScramblingfromtheFringe",2010
37,37,"Tim Petrovic",105,92.22,83,90,"ScramblingfromtheFringe",2010
38,38,"Steve Lowery",67,92.16,47,51,"ScramblingfromtheFringe",2010
