"LeftRoughProximity_RANKTHISWEEK_2012","LeftRoughProximity_RANKLASTWEEK_2012","LeftRoughProximity_PLAYERNAME_2012","LeftRoughProximity_ROUNDS_2012","LeftRoughProximity_AVG_2012","LeftRoughProximity_ATTEMPTS_2012","LeftRoughProximity_TOTALDISTANCEFEET_2012","LeftRoughProximity_RELATIVETOPAR_2012","stat_name","year"
1,1,"Josh Teater",97,NA,122,4152.5,3,"LeftRoughProximity",2012
2,2,"Dustin Johnson",70,NA,124,4467.917,6,"LeftRoughProximity",2012
3,3,"Charl Schwartzel",56,NA,62,2252.583,-1,"LeftRoughProximity",2012
4,4,"Kyle Stanley",86,NA,130,4766.167,4,"LeftRoughProximity",2012
5,5,"Louis Oosthuizen",65,NA,86,3160.833,7,"LeftRoughProximity",2012
6,6,"Charlie Beljan",61,NA,81,3016.333,0,"LeftRoughProximity",2012
7,7,"Kyle Thompson",51,NA,68,2573.167,8,"LeftRoughProximity",2012
8,8,"Vijay Singh",99,NA,134,5128.667,11,"LeftRoughProximity",2012
8,8,"Boo Weekley",74,NA,80,3057.083,7,"LeftRoughProximity",2012
10,10,"Trevor Immelman",76,NA,99,3825.833,11,"LeftRoughProximity",2012
11,11,"Garth Mulroy",59,NA,92,3581.833,12,"LeftRoughProximity",2012
12,12,"Scott Stallings",78,NA,139,5457.5,14,"LeftRoughProximity",2012
13,13,"Ricky Barnes",92,NA,145,5714,19,"LeftRoughProximity",2012
14,14,"Jonathan Byrd",69,NA,131,5171.833,21,"LeftRoughProximity",2012
14,14,"Rory McIlroy",60,NA,88,3476.25,-3,"LeftRoughProximity",2012
16,16,"Bud Cauley",99,NA,166,6571.583,14,"LeftRoughProximity",2012
16,16,"Bill Lunde",83,NA,114,4512,-1,"LeftRoughProximity",2012
18,18,"Ryo Ishikawa",54,NA,75,2981.167,9,"LeftRoughProximity",2012
19,19,"Jeff Overton",101,NA,162,6449.917,11,"LeftRoughProximity",2012
20,20,"Troy Kelly",68,NA,115,4590.583,16,"LeftRoughProximity",2012
20,20,"Greg Owen",90,NA,129,5144.833,13,"LeftRoughProximity",2012
22,22,"Angel Cabrera",54,NA,69,2770.5,0,"LeftRoughProximity",2012
22,22,"Charley Hoffman",88,NA,126,5057.25,26,"LeftRoughProximity",2012
22,22,"Webb Simpson",77,NA,149,5989.417,7,"LeftRoughProximity",2012
25,25,"Miguel Angel Carballo",73,NA,112,4503.5,22,"LeftRoughProximity",2012
25,25,"Roland Thatcher",55,NA,72,2898.917,14,"LeftRoughProximity",2012
27,27,"Nick Watney",97,NA,117,4737.25,13,"LeftRoughProximity",2012
28,28,"Tim Herron",88,NA,131,5323.333,24,"LeftRoughProximity",2012
28,28,"Bo Van Pelt",84,NA,123,5002.917,8,"LeftRoughProximity",2012
30,30,"Tommy Biershenk",74,NA,118,4808.25,19,"LeftRoughProximity",2012
31,31,"Danny Lee",74,NA,105,4299.417,-1,"LeftRoughProximity",2012
31,31,"Kyle Reifers",86,NA,148,6058.917,13,"LeftRoughProximity",2012
33,33,"Jason Dufner",83,NA,100,4110.417,12,"LeftRoughProximity",2012
34,34,"DA Points",88,NA,143,5885,7,"LeftRoughProximity",2012
35,35,"Rory Sabbatini",84,NA,118,4875.083,19,"LeftRoughProximity",2012
36,36,"Brian Harman",101,NA,144,5967.75,30,"LeftRoughProximity",2012
