"ScoringAverageBeforeCut_RANKTHISWEEK_2012","ScoringAverageBeforeCut_RANKLASTWEEK_2012","ScoringAverageBeforeCut_PLAYERNAME_2012","ScoringAverageBeforeCut__2012","ScoringAverageBeforeCut_AVG_2012","ScoringAverageBeforeCut_TOTALSTROKES_2012","ScoringAverageBeforeCut_TOTALROUNDS_2012","stat_name","year"
1,1,"Jason Dufner",NA,68.81,2959,43,"ScoringAverageBeforeCut",2012
2,2,"Tiger Woods",NA,69.24,2562,37,"ScoringAverageBeforeCut",2012
3,3,"Zach Johnson",NA,69.42,3471,50,"ScoringAverageBeforeCut",2012
4,4,"Steve Stricker",NA,69.72,2510,36,"ScoringAverageBeforeCut",2012
5,5,"Ryan Moore",NA,69.82,3491,50,"ScoringAverageBeforeCut",2012
6,6,"Brendon de Jonge",NA,69.87,4402,63,"ScoringAverageBeforeCut",2012
6,6,"Rory McIlroy",NA,69.87,2096,30,"ScoringAverageBeforeCut",2012
8,8,"Harris English",NA,69.91,3915,56,"ScoringAverageBeforeCut",2012
9,9,"Matt Kuchar",NA,69.93,3007,43,"ScoringAverageBeforeCut",2012
9,9,"John Senden",NA,69.93,3007,43,"ScoringAverageBeforeCut",2012
11,11,"Ken Duke",NA,69.97,4338,62,"ScoringAverageBeforeCut",2012
12,12,"Webb Simpson",NA,70,2940,42,"ScoringAverageBeforeCut",2012
12,12,"Vijay Singh",NA,70,3780,54,"ScoringAverageBeforeCut",2012
14,14,"Justin Rose",NA,70.03,2521,36,"ScoringAverageBeforeCut",2012
15,15,"Dustin Johnson",NA,70.06,2522,36,"ScoringAverageBeforeCut",2012
16,16,"Billy Horschel",NA,70.09,2313,33,"ScoringAverageBeforeCut",2012
16,16,"Brandt Snedeker",NA,70.09,3014,43,"ScoringAverageBeforeCut",2012
18,18,"Will Claxton",NA,70.11,3996,57,"ScoringAverageBeforeCut",2012
19,19,"Carl Pettersson",NA,70.13,3717,53,"ScoringAverageBeforeCut",2012
19,19,"Adam Scott",NA,70.13,2104,30,"ScoringAverageBeforeCut",2012
21,21,"Jim Furyk",NA,70.15,3297,47,"ScoringAverageBeforeCut",2012
22,22,"Padraig Harrington",NA,70.23,2458,35,"ScoringAverageBeforeCut",2012
23,23,"Jimmy Walker",NA,70.24,4074,58,"ScoringAverageBeforeCut",2012
24,24,"Camilo Villegas",NA,70.25,3372,48,"ScoringAverageBeforeCut",2012
25,25,"Bo Van Pelt",NA,70.26,3232,46,"ScoringAverageBeforeCut",2012
