"FirstTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2008","FirstTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2008","FirstTeeEarlyPar4ScoringAverage_PLAYERNAME_2008","FirstTeeEarlyPar4ScoringAverage_ROUNDS_2008","FirstTeeEarlyPar4ScoringAverage_AVG_2008","FirstTeeEarlyPar4ScoringAverage_TOTALSTROKES_2008","FirstTeeEarlyPar4ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Mark Wilson",107,3.96,1563,395,"FirstTeeEarlyPar4ScoringAverage",2008
2,2,"Briny Baird",113,3.97,1402,353,"FirstTeeEarlyPar4ScoringAverage",2008
2,2,"Padraig Harrington",52,3.97,647,163,"FirstTeeEarlyPar4ScoringAverage",2008
2,2,"Tim Wilkinson",95,3.97,1216,306,"FirstTeeEarlyPar4ScoringAverage",2008
5,5,"Ben Curtis",80,3.98,1023,257,"FirstTeeEarlyPar4ScoringAverage",2008
5,5,"Bill Haas",99,3.98,939,236,"FirstTeeEarlyPar4ScoringAverage",2008
5,5,"Tom Lehman",51,3.98,518,130,"FirstTeeEarlyPar4ScoringAverage",2008
5,5,"Steve Marino",119,3.98,1871,470,"FirstTeeEarlyPar4ScoringAverage",2008
5,5,"Bob Tway",70,3.98,1075,270,"FirstTeeEarlyPar4ScoringAverage",2008
10,10,"Ben Crane",86,3.99,1108,278,"FirstTeeEarlyPar4ScoringAverage",2008
10,10,"Dudley Hart",74,3.99,751,188,"FirstTeeEarlyPar4ScoringAverage",2008
10,10,"Tim Herron",97,3.99,1418,355,"FirstTeeEarlyPar4ScoringAverage",2008
10,10,"Freddie Jacobson",78,3.99,1108,278,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"Steve Allan",58,4,592,148,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"Aaron Baddeley",76,4,1004,251,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"Chad Collins",72,4,1193,298,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"Ken Duke",116,4,1667,417,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"JJ Henry",108,4,1719,430,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"Jeff Maggert",86,4,1144,286,"FirstTeeEarlyPar4ScoringAverage",2008
14,14,"Rod Pampling",83,4,897,224,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Billy Andrade",71,4.01,742,185,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Joe Durant",92,4.01,1341,334,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Jim Furyk",95,4.01,847,211,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Charley Hoffman",94,4.01,1621,404,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Justin Leonard",101,4.01,1283,320,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Brett Quigley",80,4.01,1108,276,"FirstTeeEarlyPar4ScoringAverage",2008
21,21,"Nicholas Thompson",113,4.01,1777,443,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Michael Allen",91,4.02,1060,264,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"KJ Choi",74,4.02,747,186,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Stewart Cink",87,4.02,937,233,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Gavin Coles",54,4.02,704,175,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Steve Elkington",84,4.02,1311,326,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Robert Garrigus",90,4.02,1110,276,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"John Huston",56,4.02,724,180,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Greg Kraft",63,4.02,837,208,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"John Mallinger",95,4.02,1275,317,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Parker McLachlin",88,4.02,1014,252,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Jeff Overton",103,4.02,1318,328,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Chez Reavie",102,4.02,1226,305,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Kevin Streelman",114,4.02,1795,446,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Steve Stricker",75,4.02,917,228,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Kevin Sutherland",98,4.02,1114,277,"FirstTeeEarlyPar4ScoringAverage",2008
28,28,"Dean Wilson",109,4.02,1637,407,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Stuart Appleby",87,4.03,890,221,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Nick Flanagan",89,4.03,1096,272,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Sergio Garcia",72,4.03,568,141,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Scott McCarron",63,4.03,488,121,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Corey Pavin",69,4.03,1214,301,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Tom Pernice Jr",104,4.03,1507,374,"FirstTeeEarlyPar4ScoringAverage",2008
44,44,"Chris Riley",51,4.03,730,181,"FirstTeeEarlyPar4ScoringAverage",2008
