"Approachesfrom50125yards_RANKTHISWEEK_2012","Approachesfrom50125yards_RANKLASTWEEK_2012","Approachesfrom50125yards_PLAYERNAME_2012","Approachesfrom50125yards_ROUNDS_2012","Approachesfrom50125yards_AVG_2012","Approachesfrom50125yards_TOTALDISTANCEFEET_2012","Approachesfrom50125yards_OFATTEMPTS_2012","Approachesfrom50125yards_RELATIVETOPAR_2012","stat_name","year"
1,1,"Steve Stricker",73,NA,2334.583,159,-22,"Approachesfrom50125yards",2012
2,2,"Padraig Harrington",67,NA,1443,96,-14,"Approachesfrom50125yards",2012
3,3,"Jason Bohn",81,NA,2861,182,-31,"Approachesfrom50125yards",2012
4,4,"Graeme McDowell",55,NA,1561.583,98,-21,"Approachesfrom50125yards",2012
5,5,"Charlie Wi",86,NA,2795.167,174,-39,"Approachesfrom50125yards",2012
6,6,"Rickie Fowler",84,NA,2715.417,166,-25,"Approachesfrom50125yards",2012
7,7,"Marco Dawson",60,NA,2185,133,-10,"Approachesfrom50125yards",2012
7,7,"Charley Hoffman",88,NA,3069.083,187,-41,"Approachesfrom50125yards",2012
7,7,"Justin Leonard",79,NA,3165.583,193,-28,"Approachesfrom50125yards",2012
10,10,"Tim Clark",60,NA,2752.333,167,-26,"Approachesfrom50125yards",2012
11,11,"Brian Gay",91,NA,4054.917,244,-48,"Approachesfrom50125yards",2012
12,12,"Daniel Chopra",55,NA,1885.417,113,-19,"Approachesfrom50125yards",2012
12,12,"Brandt Snedeker",81,NA,2537.5,152,-37,"Approachesfrom50125yards",2012
14,14,"John Daly",50,NA,1978,118,-24,"Approachesfrom50125yards",2012
14,14,"Vaughn Taylor",81,NA,3346.667,200,-38,"Approachesfrom50125yards",2012
16,16,"Ryuji Imada",78,NA,2523.333,150,-23,"Approachesfrom50125yards",2012
16,16,"Jeff Overton",101,NA,3840.25,228,-39,"Approachesfrom50125yards",2012
16,16,"Vijay Singh",99,NA,3462,206,-32,"Approachesfrom50125yards",2012
19,19,"Brian Davis",91,NA,3920.417,231,-37,"Approachesfrom50125yards",2012
19,19,"Sergio Garcia",57,NA,1496.833,88,-7,"Approachesfrom50125yards",2012
21,21,"Ben Curtis",62,NA,2409.667,141,-31,"Approachesfrom50125yards",2012
21,21,"Rocco Mediate",70,NA,2573.667,151,-28,"Approachesfrom50125yards",2012
21,21,"Webb Simpson",77,NA,2558.333,150,-24,"Approachesfrom50125yards",2012
24,24,"Lee Westwood",60,NA,1511.5,88,-10,"Approachesfrom50125yards",2012
25,25,"Gary Christian",91,NA,3379.75,196,-32,"Approachesfrom50125yards",2012
25,25,"Billy Mayfair",90,NA,2760.333,160,-18,"Approachesfrom50125yards",2012
27,27,"John Mallinger",74,NA,2687.833,155,-21,"Approachesfrom50125yards",2012
27,27,"Greg Owen",90,NA,3123,180,-32,"Approachesfrom50125yards",2012
29,29,"Heath Slocum",93,NA,3774.833,217,-37,"Approachesfrom50125yards",2012
29,29,"Nick Watney",97,NA,3379.25,194,-33,"Approachesfrom50125yards",2012
31,31,"Luke Donald",63,NA,2065.667,118,-21,"Approachesfrom50125yards",2012
31,31,"Nick OHern",78,NA,2969.75,170,-35,"Approachesfrom50125yards",2012
31,31,"Kyle Thompson",51,NA,1822.667,104,-3,"Approachesfrom50125yards",2012
34,34,"Freddie Jacobson",61,NA,1919,109,-10,"Approachesfrom50125yards",2012
34,34,"Russell Knox",72,NA,2831.083,161,-25,"Approachesfrom50125yards",2012
36,36,"Jonathan Byrd",69,NA,2327.917,132,-31,"Approachesfrom50125yards",2012
36,36,"Brendon de Jonge",115,NA,3981.917,225,-34,"Approachesfrom50125yards",2012
36,36,"Jason Dufner",83,NA,3106.167,176,-37,"Approachesfrom50125yards",2012
36,36,"YE Yang",64,NA,1837.833,104,-15,"Approachesfrom50125yards",2012
40,40,"Chris DiMarco",83,NA,3048.667,172,-19,"Approachesfrom50125yards",2012
40,40,"William McGirt",96,NA,3554.833,200,-42,"Approachesfrom50125yards",2012
40,40,"Phil Mickelson",79,NA,2327.25,131,-26,"Approachesfrom50125yards",2012
40,40,"Roland Thatcher",55,NA,2302.75,130,-12,"Approachesfrom50125yards",2012
40,40,"Bo Van Pelt",84,NA,2501,141,-15,"Approachesfrom50125yards",2012
45,45,"Stephen Ames",54,NA,1641.083,92,-7,"Approachesfrom50125yards",2012
45,45,"Robert Garrigus",89,NA,3157.25,177,-8,"Approachesfrom50125yards",2012
45,45,"Andres Romero",68,NA,1711,96,-10,"Approachesfrom50125yards",2012
45,45,"Steve Wheatcroft",56,NA,1874.833,105,-22,"Approachesfrom50125yards",2012
49,49,"Tommy Biershenk",74,NA,2523.833,141,-18,"Approachesfrom50125yards",2012
49,49,"KJ Choi",71,NA,2543.5,142,-26,"Approachesfrom50125yards",2012
49,49,"Jeff Maggert",83,NA,3665,205,-29,"Approachesfrom50125yards",2012
49,49,"Rory McIlroy",60,NA,1614,90,-14,"Approachesfrom50125yards",2012
49,49,"Bryce Molder",83,NA,3755.75,210,-28,"Approachesfrom50125yards",2012
